debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
10634000,10635000,54,1700224169260,1700224169500
10634000,10635000,63,1700224169254,1700224169500
10634000,10635000,13,1700224169263,1700224169528
10634000,10635000,100,1700224169279,1700224169528
10634000,10635000,24,1700224169255,1700224169529
10634000,10635000,47,1700224169276,1700224169529
10635000,10636000,54,1700224169260,1700224170563
10635000,10636000,63,1700224169468,1700224170563
10635000,10636000,13,1700224169478,1700224170685
10635000,10636000,100,1700224169490,1700224170685
10635000,10636000,24,1700224169468,1700224170697
10635000,10636000,47,1700224169492,1700224170697
10636000,10637000,54,1700224170219,1700224171628
10636000,10637000,63,1700224170531,1700224171628
10636000,10637000,24,1700224170636,1700224171765
10636000,10637000,47,1700224170660,1700224171765
10636000,10637000,13,1700224170651,1700224171856
10636000,10637000,100,1700224170556,1700224171856
10637000,10638000,54,1700224171389,1700224172694
10637000,10638000,63,1700224171597,1700224172694
10637000,10638000,24,1700224171705,1700224172933
10637000,10638000,47,1700224171725,1700224172933
10637000,10638000,13,1700224171823,1700224173029
10637000,10638000,100,1700224171518,1700224173029
10638000,10639000,54,1700224172458,1700224173762
10638000,10639000,63,1700224172663,1700224173762
10638000,10639000,24,1700224172664,1700224173999
10638000,10639000,47,1700224172895,1700224173999
10638000,10639000,13,1700224172991,1700224174094
10638000,10639000,100,1700224172585,1700224174094
10639000,10640000,54,1700224173521,1700224174936
10639000,10640000,63,1700224173731,1700224174936
10639000,10640000,24,1700224173835,1700224175062
10639000,10640000,47,1700224173961,1700224175062
10639000,10640000,13,1700224174059,1700224175263
10639000,10640000,100,1700224173650,1700224175263
10640000,10641000,54,1700224174694,1700224175997
10640000,10641000,63,1700224174903,1700224175997
10640000,10641000,24,1700224175004,1700224176231
10640000,10641000,47,1700224175026,1700224176231
10640000,10641000,13,1700224175228,1700224176432
10640000,10641000,100,1700224174709,1700224176432
10641000,10642000,54,1700224175755,1700224177063
10641000,10642000,63,1700224175967,1700224177063
10641000,10642000,24,1700224176176,1700224177304
10641000,10642000,47,1700224176194,1700224177304
10641000,10642000,13,1700224176399,1700224177600
10641000,10642000,100,1700224175671,1700224177600
10642000,10643000,54,1700224176817,1700224178128
10642000,10643000,63,1700224177031,1700224178128
10642000,10643000,24,1700224177241,1700224178472
10642000,10643000,47,1700224177259,1700224178472
10642000,10643000,13,1700224177566,1700224178775
10642000,10643000,100,1700224176734,1700224178775
10643000,10644000,54,1700224177988,1700224179302
10643000,10644000,63,1700224178097,1700224179302
10643000,10644000,24,1700224178412,1700224179619
10643000,10644000,47,1700224178432,1700224179619
10643000,10644000,13,1700224178739,1700224179948
10643000,10644000,100,1700224177793,1700224179948
10644000,10645000,54,1700224179050,1700224180369
10644000,10645000,63,1700224179268,1700224180369
10644000,10645000,24,1700224179584,1700224180786
10644000,10645000,47,1700224179500,1700224180786
10644000,10645000,13,1700224179913,1700224181118
10644000,10645000,100,1700224178854,1700224181118
10645000,10646000,54,1700224180113,1700224181433
10645000,10646000,63,1700224180335,1700224181433
10645000,10646000,24,1700224180749,1700224181958
10645000,10646000,47,1700224180669,1700224181958
10645000,10646000,13,1700224181085,1700224182292
10645000,10646000,100,1700224179813,1700224182292
10646000,10647000,54,1700224181284,1700224182499
10646000,10647000,63,1700224181400,1700224182499
10646000,10647000,24,1700224181920,1700224183022
10646000,10647000,47,1700224181736,1700224183022
10646000,10647000,13,1700224182256,1700224183458
10646000,10647000,100,1700224180877,1700224183458
10647000,10648000,54,1700224182346,1700224183562
10647000,10648000,63,1700224182467,1700224183562
10647000,10648000,24,1700224182987,1700224184195
10647000,10648000,47,1700224182804,1700224184195
10647000,10648000,13,1700224183424,1700224184627
10647000,10648000,100,1700224181945,1700224184627
10648000,10649000,54,1700224183410,1700224184728
10648000,10649000,63,1700224183532,1700224184728
10648000,10649000,24,1700224184161,1700224185371
10648000,10649000,47,1700224183973,1700224185371
10648000,10649000,13,1700224184592,1700224185801
10648000,10649000,100,1700224183007,1700224185801
10649000,10650000,54,1700224184582,1700224185813
10649000,10650000,63,1700224184696,1700224185813
10649000,10650000,24,1700224185334,1700224186544
10649000,10650000,47,1700224185041,1700224186544
10650000,10651000,54,1700224185647,1700224186879
10650000,10651000,63,1700224185756,1700224186879
10649000,10650000,13,1700224185764,1700224186966
10649000,10650000,100,1700224183968,1700224186966
10650000,10651000,24,1700224186506,1700224187602
10650000,10651000,47,1700224186211,1700224187602
10651000,10652000,54,1700224186817,1700224187917
10651000,10652000,63,1700224186818,1700224187917
10650000,10651000,13,1700224186933,1700224188143
10650000,10651000,100,1700224185028,1700224188143
10651000,10652000,24,1700224187567,1700224188559
10651000,10652000,47,1700224187278,1700224188559
10652000,10653000,54,1700224187882,1700224189116
10652000,10653000,63,1700224187885,1700224189116
10651000,10652000,13,1700224188107,1700224189318
10651000,10652000,100,1700224186091,1700224189318
10652000,10653000,24,1700224188521,1700224189626
10652000,10653000,47,1700224188445,1700224189626
10653000,10654000,54,1700224188948,1700224190176
10653000,10654000,63,1700224189055,1700224190176
10652000,10653000,13,1700224189281,1700224190490
10652000,10653000,100,1700224187153,1700224190490
10653000,10654000,24,1700224189590,1700224190798
10653000,10654000,47,1700224189510,1700224190798
10654000,10655000,54,1700224190116,1700224191241
10654000,10655000,63,1700224190115,1700224191241
10653000,10654000,13,1700224190453,1700224191662
10653000,10654000,100,1700224188111,1700224191662
10654000,10655000,24,1700224190761,1700224191971
10654000,10655000,47,1700224190676,1700224191971
10655000,10656000,54,1700224191182,1700224192306
10655000,10656000,63,1700224191180,1700224192306
10654000,10655000,13,1700224191628,1700224192729
10654000,10655000,100,1700224189177,1700224192729
10655000,10656000,24,1700224191933,1700224193143
10655000,10656000,47,1700224191743,1700224193143
10655000,10656000,13,1700224192693,1700224193897
10655000,10656000,100,1700224190238,1700224193897
10656000,10657000,24,1700224193106,1700224194211
10656000,10657000,47,1700224192809,1700224194211
10656000,10657000,13,1700224193865,1700224195066
10656000,10657000,100,1700224191301,1700224195066
10657000,10658000,24,1700224194175,1700224195382
10657000,10658000,47,1700224193977,1700224195382
10657000,10658000,13,1700224195030,1700224196233
10657000,10658000,100,1700224192262,1700224196233
10658000,10659000,24,1700224195346,1700224196254
10658000,10659000,47,1700224195046,1700224196254
10659000,10660000,24,1700224196091,1700224197316
10659000,10660000,47,1700224196216,1700224197316
10658000,10659000,13,1700224196197,1700224197401
10658000,10659000,100,1700224193326,1700224197401
10660000,10661000,24,1700224197258,1700224198485
10660000,10661000,47,1700224197280,1700224198485
10659000,10660000,13,1700224197366,1700224198570
10659000,10660000,100,1700224194390,1700224198570
10661000,10662000,24,1700224198322,1700224199554
10661000,10662000,47,1700224198447,1700224199554
10660000,10661000,13,1700224198535,1700224199741
10660000,10661000,100,1700224195453,1700224199741
10662000,10663000,24,1700224199494,1700224200715
10662000,10663000,47,1700224199513,1700224200715
10661000,10662000,13,1700224199705,1700224200914
10661000,10662000,100,1700224196412,1700224200914
10663000,10664000,24,1700224200346,1700224201781
10663000,10664000,47,1700224200679,1700224201781
10662000,10663000,13,1700224200879,1700224202087
10662000,10663000,100,1700224197480,1700224202087
10664000,10665000,24,1700224201516,1700224202843
10664000,10665000,47,1700224201744,1700224202843
10663000,10664000,13,1700224202051,1700224203261
10663000,10664000,100,1700224198544,1700224203261
10665000,10666000,24,1700224202685,1700224204013
10665000,10666000,47,1700224202807,1700224204013
10664000,10665000,13,1700224203225,1700224204433
10664000,10665000,100,1700224199608,1700224204433
10666000,10667000,24,1700224203854,1700224205077
10666000,10667000,47,1700224203975,1700224205077
10665000,10666000,13,1700224204397,1700224205601
10665000,10666000,100,1700224200569,1700224205601
10667000,10668000,24,1700224205026,1700224206246
10667000,10668000,47,1700224205042,1700224206246
10666000,10667000,13,1700224205568,1700224206775
10666000,10667000,100,1700224201635,1700224206775
10668000,10669000,24,1700224205981,1700224207303
10668000,10669000,47,1700224206208,1700224207303
10667000,10668000,13,1700224206738,1700224207945
10667000,10668000,100,1700224202695,1700224207945
10669000,10670000,24,1700224207047,1700224208475
10669000,10670000,47,1700224207270,1700224208475
10668000,10669000,13,1700224207910,1700224209115
10668000,10669000,100,1700224203757,1700224209115
10670000,10671000,24,1700224208218,1700224209540
10670000,10671000,47,1700224208438,1700224209540
10669000,10670000,13,1700224209081,1700224210291
10669000,10670000,100,1700224204718,1700224210291
10671000,10672000,24,1700224209388,1700224210604
10671000,10672000,47,1700224209505,1700224210604
10670000,10671000,13,1700224210254,1700224211466
10670000,10671000,100,1700224205781,1700224211466
10672000,10673000,24,1700224210553,1700224211777
10672000,10673000,47,1700224210570,1700224211777
