debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701171480000,1701171540000,24,1604287423,1701171540061
1701171480000,1701171540000,100,1811351699,1701171540062
1701171480000,1701171540000,54,1660704981,1701171540112
1701171480000,1701171540000,63,1258104636,1701171540113
1701171480000,1701171540000,47,1203742457,1701171540113
1701171480000,1701171540000,13,1459996935,1701171540165
1701171540000,1701171600000,47,4728286233,1701171600092
1701171540000,1701171600000,100,11245808059,1701171600093
1701171540000,1701171600000,24,4830386766,1701171600105
1701171540000,1701171600000,13,4882131189,1701171600139
1701171540000,1701171600000,63,4441311916,1701171600139
1701171540000,1701171600000,54,6647851545,1701171600140
1701171600000,1701171660000,13,12299030381,1701171660059
1701171600000,1701171660000,24,26007112182,1701171660113
1701171600000,1701171660000,100,12535672159,1701171660113
1701171600000,1701171660000,54,26434499741,1701171660127
1701171600000,1701171660000,47,25194191631,1701171660127
1701171600000,1701171660000,63,25582651692,1701171660130
1701171660000,1701171720000,63,24548462333,1701171720050
1701171660000,1701171720000,100,12366103402,1701171720085
1701171660000,1701171720000,54,22869061438,1701171720089
1701171660000,1701171720000,24,31475476878,1701171720090
1701171660000,1701171720000,13,15161683476,1701171720090
1701171660000,1701171720000,47,24934175535,1701171720119
1701171720000,1701171780000,100,13294493599,1701171780058
1701171720000,1701171780000,47,29987519373,1701171780136
1701171720000,1701171780000,54,26459516704,1701171780136
1701171720000,1701171780000,24,32188355924,1701171780136
1701171720000,1701171780000,63,31489207369,1701171780136
1701171720000,1701171780000,13,12388322799,1701171780136
1701171780000,1701171840000,63,24556402640,1701171840103
1701171780000,1701171840000,13,14453724580,1701171840103
1701171780000,1701171840000,100,9418825496,1701171840103
1701171780000,1701171840000,47,22850195983,1701171840122
1701171780000,1701171840000,24,25726533343,1701171840122
1701171780000,1701171840000,54,28555850220,1701171840122
1701171840000,1701171900000,100,12672874764,1701171900109
1701171840000,1701171900000,63,31598122923,1701171900130
1701171840000,1701171900000,47,24276119075,1701171900130
1701171840000,1701171900000,24,24115089797,1701171900131
1701171840000,1701171900000,13,13215284001,1701171900131
1701171840000,1701171900000,54,20901765155,1701171900145
1701171900000,1701171960000,47,30615877356,1701171960038
1701171900000,1701171960000,100,11711644612,1701171960117
1701171900000,1701171960000,13,12551858992,1701171960134
1701171900000,1701171960000,24,30011568001,1701171960136
1701171900000,1701171960000,63,25618757158,1701171960145
1701171900000,1701171960000,54,36220585316,1701171960145
1701171960000,1701172020000,13,15632728213,1701172020040
1701171960000,1701172020000,54,24554918598,1701172020047
1701171960000,1701172020000,24,25125927516,1701172020102
1701171960000,1701172020000,100,10498938695,1701172020103
1701171960000,1701172020000,47,23973683840,1701172020145
1701171960000,1701172020000,63,24222990697,1701172020154
1701172020000,1701172080000,54,27488770684,1701172080066
1701172020000,1701172080000,13,13926855936,1701172080066
1701172020000,1701172080000,24,29843578271,1701172080139
1701172020000,1701172080000,47,29261372135,1701172080139
1701172020000,1701172080000,100,10417063165,1701172080139
1701172020000,1701172080000,63,21200669121,1701172080171
