debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701172500000,1701172560000,13,1414348413,1701172560233
1701172500000,1701172560000,100,1775025460,1701172560358
1701172500000,1701172560000,47,1179056176,1701172560358
1701172500000,1701172560000,24,1553332737,1701172560598
1701172500000,1701172560000,54,1591914799,1701172560599
1701172500000,1701172560000,63,1227822838,1701172561445
1701172560000,1701172620000,100,11020529633,1701172620199
1701172560000,1701172620000,13,4798168871,1701172620314
1701172560000,1701172620000,47,4617777628,1701172620315
1701172560000,1701172620000,63,4434109071,1701172620442
1701172560000,1701172620000,54,6618533887,1701172620442
1701172560000,1701172620000,24,4786739310,1701172620442
1701172620000,1701172680000,13,12435248985,1701172680154
1701172620000,1701172680000,100,12683849684,1701172680166
1701172620000,1701172680000,47,25226757843,1701172680250
1701172620000,1701172680000,54,26559411031,1701172680250
1701172620000,1701172680000,63,25242283614,1701172680251
1701172620000,1701172680000,24,26086586836,1701172680251
1701172680000,1701172740000,100,12471042221,1701172740090
1701172680000,1701172740000,47,25082908748,1701172740331
1701172680000,1701172740000,13,15254109938,1701172740331
1701172680000,1701172740000,24,31837725856,1701172740332
1701172680000,1701172740000,63,25063932124,1701172740443
1701172680000,1701172740000,54,23528689453,1701172740443
1701172740000,1701172800000,13,12733283901,1701172800149
1701172740000,1701172800000,100,13393522396,1701172800149
1701172740000,1701172800000,47,31049574931,1701172800277
1701172740000,1701172800000,24,32169873575,1701172800373
1701172740000,1701172800000,63,32425937737,1701172800481
1701172740000,1701172800000,54,26748275134,1701172800482
1701172800000,1701172860000,13,14121571058,1701172860167
1701172800000,1701172860000,100,9742070095,1701172860174
1701172800000,1701172860000,24,25672910025,1701172860372
1701172800000,1701172860000,54,29244621797,1701172860386
1701172800000,1701172860000,47,22780496338,1701172860476
1701172800000,1701172860000,63,23880001287,1701172860587
1701172860000,1701172920000,24,26507630759,1701172920361
1701172860000,1701172920000,13,14010050495,1701172920361
1701172860000,1701172920000,54,21049126285,1701172920556
1701172860000,1701172920000,47,23829406576,1701172920557
1701172860000,1701172920000,100,12576391199,1701172920566
1701172860000,1701172920000,63,32387494580,1701172920748
1701172920000,1701172980000,13,11861685302,1701172980179
1701172920000,1701172980000,100,11828767105,1701172980179
1701172920000,1701172980000,47,31325360318,1701172980288
1701172920000,1701172980000,24,29834761391,1701172980289
1701172920000,1701172980000,63,25936002607,1701172980399
1701172920000,1701172980000,54,36505893688,1701172980411
1701172980000,1701173040000,100,10723174679,1701173040136
1701172980000,1701173040000,24,24809975290,1701173040155
1701172980000,1701173040000,47,26948087394,1701173040155
1701172980000,1701173040000,13,15529783389,1701173040156
1701172980000,1701173040000,54,26136985832,1701173040337
1701172980000,1701173040000,63,23409926500,1701173040563
1701173040000,1701173100000,100,10301796101,1701173100168
1701173040000,1701173100000,47,25452373379,1701173100371
1701173040000,1701173100000,13,15717272587,1701173100383
1701173040000,1701173100000,24,30624478265,1701173100384
1701173040000,1701173100000,54,27744003612,1701173100384
1701173040000,1701173100000,63,21541918012,1701173100402
