debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701175020000,1701175080000,54,23708250,1701175080036
1701175020000,1701175080000,24,28442372,1701175080043
1701175020000,1701175080000,13,21263511,1701175080046
1701175020000,1701175080000,47,18843856,1701175080046
1701175020000,1701175080000,63,14535931,1701175080067
1701175020000,1701175080000,100,25780479,1701175080067
1701175080000,1701175140000,47,1206023070,1701175140049
1701175080000,1701175140000,24,1606363863,1701175140050
1701175080000,1701175140000,100,1810881154,1701175140061
1701175080000,1701175140000,54,1700635888,1701175140070
1701175080000,1701175140000,13,1474151308,1701175140092
1701175080000,1701175140000,63,1267825687,1701175140137
1701175140000,1701175200000,100,11566264133,1701175200054
1701175140000,1701175200000,63,4528596013,1701175200055
1701175140000,1701175200000,54,6711289426,1701175200076
1701175140000,1701175200000,13,5570696847,1701175200085
1701175140000,1701175200000,47,4832365748,1701175200126
1701175140000,1701175200000,24,4899748029,1701175200131
1701175200000,1701175260000,54,26768252176,1701175260087
1701175200000,1701175260000,24,26211575682,1701175260097
1701175200000,1701175260000,47,25713823802,1701175260101
1701175200000,1701175260000,63,26584307652,1701175260112
1701175200000,1701175260000,100,12479973767,1701175260112
1701175200000,1701175260000,13,11899973810,1701175260122
1701175260000,1701175320000,100,12237842513,1701175320081
1701175260000,1701175320000,24,32003948798,1701175320097
1701175260000,1701175320000,63,23764889019,1701175320101
1701175260000,1701175320000,13,15079424553,1701175320105
1701175260000,1701175320000,54,23680647181,1701175320127
1701175260000,1701175320000,47,24658454752,1701175320130
1701175320000,1701175380000,54,26126915600,1701175380074
1701175320000,1701175380000,100,13311571660,1701175380092
1701175320000,1701175380000,13,12689746412,1701175380098
1701175320000,1701175380000,47,31276041797,1701175380101
1701175320000,1701175380000,63,32310880617,1701175380101
1701175320000,1701175380000,24,31670626993,1701175380112
1701175380000,1701175440000,100,9603752061,1701175440030
1701175380000,1701175440000,54,28784562564,1701175440081
1701175380000,1701175440000,24,25607348569,1701175440086
1701175380000,1701175440000,63,23669556776,1701175440107
1701175380000,1701175440000,47,21931553166,1701175440114
1701175380000,1701175440000,13,14005469379,1701175440119
1701175440000,1701175500000,63,32216098211,1701175500054
1701175440000,1701175500000,13,13766577612,1701175500062
1701175440000,1701175500000,47,23915354092,1701175500096
1701175440000,1701175500000,100,12465228738,1701175500102
1701175440000,1701175500000,24,24741654616,1701175500110
1701175440000,1701175500000,54,20741724599,1701175500138
1701175500000,1701175560000,63,25455276582,1701175560041
1701175500000,1701175560000,54,36086017260,1701175560089
1701175500000,1701175560000,13,11991276686,1701175560101
1701175500000,1701175560000,100,11745969466,1701175560126
1701175500000,1701175560000,24,29943576768,1701175560130
1701175500000,1701175560000,47,31229269500,1701175560132
1701175560000,1701175620000,54,25464272860,1701175620033
1701175560000,1701175620000,100,10442192984,1701175620064
1701175560000,1701175620000,13,15585905600,1701175620076
1701175560000,1701175620000,63,23859027796,1701175620085
1701175560000,1701175620000,47,24533940015,1701175620110
1701175560000,1701175620000,24,25016053864,1701175620117
