debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701176220000,1701176280000,24,685400860,1701176280085
1701176220000,1701176280000,47,559387823,1701176280095
1701176220000,1701176280000,54,645434838,1701176280108
1701176220000,1701176280000,63,416908943,1701176280238
1701176220000,1701176280000,100,683360265,1701176280349
1701176220000,1701176280000,13,526154662,1701176280357
1701176280000,1701176340000,47,2245724358,1701176340133
1701176280000,1701176340000,24,3118272155,1701176340158
1701176280000,1701176340000,13,2834298102,1701176340193
1701176280000,1701176340000,63,2377069510,1701176340224
1701176280000,1701176340000,54,3498450967,1701176340314
1701176280000,1701176340000,100,2789079869,1701176340322
1701176340000,1701176400000,24,11708454578,1701176400138
1701176340000,1701176400000,13,6896318542,1701176400153
1701176340000,1701176400000,100,15709887052,1701176400246
1701176340000,1701176400000,63,10674295895,1701176400246
1701176340000,1701176400000,54,15549523220,1701176400297
1701176340000,1701176400000,47,11687185487,1701176400297
1701176400000,1701176460000,100,11859191753,1701176460111
1701176400000,1701176460000,24,31225330449,1701176460132
1701176400000,1701176460000,54,26842170068,1701176460143
1701176400000,1701176460000,13,14225339088,1701176460192
1701176400000,1701176460000,47,29158432363,1701176460198
1701176400000,1701176460000,63,30305720766,1701176460234
1701176460000,1701176520000,54,24518499948,1701176520102
1701176460000,1701176520000,63,29447384673,1701176520126
1701176460000,1701176520000,100,13320152343,1701176520126
1701176460000,1701176520000,13,15161768747,1701176520166
1701176460000,1701176520000,24,34170027259,1701176520281
1701176460000,1701176520000,47,31384543050,1701176520301
1701176520000,1701176580000,13,14441104467,1701176580086
1701176520000,1701176580000,100,9309004936,1701176580165
1701176520000,1701176580000,54,36308367295,1701176580226
1701176520000,1701176580000,24,32367951433,1701176580267
1701176520000,1701176580000,63,28406725570,1701176580280
1701176520000,1701176580000,47,26997847248,1701176580683
1701176580000,1701176640000,13,12551124473,1701176640112
1701176580000,1701176640000,63,22060973434,1701176640226
1701176580000,1701176640000,100,14192520843,1701176640227
1701176580000,1701176640000,54,16122060790,1701176640259
1701176580000,1701176640000,47,19971518222,1701176640268
1701176580000,1701176640000,24,17700558540,1701176640313
1701176640000,1701176700000,54,30333734340,1701176700134
1701176640000,1701176700000,47,24852362194,1701176700150
1701176640000,1701176700000,13,11857378889,1701176700266
1701176640000,1701176700000,63,31589122171,1701176700281
1701176640000,1701176700000,24,30128078320,1701176700335
1701176640000,1701176700000,100,11549297009,1701176700389
1701176700000,1701176760000,54,27927544851,1701176760070
1701176700000,1701176760000,24,29989256316,1701176760127
1701176700000,1701176760000,13,17975551686,1701176760166
1701176700000,1701176760000,100,12412478014,1701176760176
1701176700000,1701176760000,63,23314513927,1701176760291
1701176700000,1701176760000,47,31581906931,1701176760513
1701176760000,1701176820000,13,11577634304,1701176820125
1701176760000,1701176820000,100,9746340066,1701176820153
1701176760000,1701176820000,63,27386237534,1701176820172
1701176760000,1701176820000,24,29102842529,1701176820177
1701176760000,1701176820000,47,24448879929,1701176820268
1701176760000,1701176820000,54,26603948953,1701176820324
