debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701161460000,1701161520000,13,123886027,1701161520141
1701161460000,1701161520000,54,157058759,1701161520150
1701161460000,1701161520000,47,149332698,1701161520201
1701161460000,1701161520000,100,274360941,1701161520277
1701161460000,1701161520000,24,140168687,1701161520284
1701161460000,1701161520000,63,85214804,1701161520304
1701161520000,1701161580000,63,1382837487,1701161580145
1701161520000,1701161580000,13,1533707956,1701161580157
1701161520000,1701161580000,47,1154953686,1701161580165
1701161520000,1701161580000,24,1646407019,1701161580189
1701161520000,1701161580000,100,1807819629,1701161580298
1701161520000,1701161580000,54,1981881786,1701161580362
1701161580000,1701161640000,47,5072699227,1701161640108
1701161580000,1701161640000,63,5031781999,1701161640112
1701161580000,1701161640000,13,6284592495,1701161640131
1701161580000,1701161640000,100,12674343012,1701161640140
1701161580000,1701161640000,24,5136414705,1701161640305
1701161580000,1701161640000,54,7127462847,1701161640310
1701161640000,1701161700000,63,28616934094,1701161700083
1701161640000,1701161700000,13,12410925278,1701161700100
1701161640000,1701161700000,47,28420529873,1701161700176
1701161640000,1701161700000,100,12158633135,1701161700297
1701161640000,1701161700000,54,29046408599,1701161700313
1701161640000,1701161700000,24,29568125904,1701161700357
1701161700000,1701161760000,13,15138734576,1701161760092
1701161700000,1701161760000,47,24099166750,1701161760110
1701161700000,1701161760000,63,28181580310,1701161760110
1701161700000,1701161760000,100,12516044226,1701161760192
1701161700000,1701161760000,24,33167564029,1701161760288
1701161700000,1701161760000,54,23702442538,1701161760533
1701161760000,1701161820000,100,12540042610,1701161820097
1701161760000,1701161820000,47,33713101896,1701161820099
1701161760000,1701161820000,13,13455061451,1701161820116
1701161760000,1701161820000,63,30532733378,1701161820144
1701161760000,1701161820000,24,32235153753,1701161820159
1701161760000,1701161820000,54,31595094833,1701161820164
1701161820000,1701161880000,13,12574561789,1701161880103
1701161820000,1701161880000,24,22821093540,1701161880187
1701161820000,1701161880000,47,21198247885,1701161880192
1701161820000,1701161880000,63,20702559666,1701161880306
1701161820000,1701161880000,54,25443369370,1701161880308
1701161820000,1701161880000,100,11014069958,1701161880321
1701161880000,1701161940000,13,14219878420,1701161940116
1701161880000,1701161940000,100,12121999287,1701161940136
1701161880000,1701161940000,47,21988836018,1701161940144
1701161880000,1701161940000,54,23122399306,1701161940163
1701161880000,1701161940000,63,33051322156,1701161940272
1701161880000,1701161940000,24,26692893981,1701161940315
1701161940000,1701162000000,13,14299867999,1701162000121
1701161940000,1701162000000,54,33423579240,1701162000161
1701161940000,1701162000000,100,11475699577,1701162000185
1701161940000,1701162000000,24,31003079563,1701162000188
1701161940000,1701162000000,63,26644315600,1701162000286
1701161940000,1701162000000,47,32762480822,1701162000567
1701162000000,1701162060000,13,12630070312,1701162060079
1701162000000,1701162060000,63,23360323055,1701162060105
1701162000000,1701162060000,54,27443037031,1701162060144
1701162000000,1701162060000,47,28597431013,1701162060161
1701162000000,1701162060000,24,26631663293,1701162060234
1701162000000,1701162060000,100,11115508390,1701162060326
