debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701169680000,1701169740000,24,149066981,1701169740122
1701169680000,1701169740000,47,160858243,1701169740122
1701169680000,1701169740000,13,138313477,1701169740138
1701169680000,1701169740000,100,300648711,1701169740138
1701169680000,1701169740000,54,170584667,1701169740161
1701169680000,1701169740000,63,92242698,1701169740161
1701169740000,1701169800000,54,1818556631,1701169800075
1701169740000,1701169800000,63,1257647646,1701169800075
1701169740000,1701169800000,24,1596676387,1701169800100
1701169740000,1701169800000,47,1129696825,1701169800100
1701169740000,1701169800000,13,1503709952,1701169800106
1701169740000,1701169800000,100,1715867475,1701169800106
1701169800000,1701169860000,54,6783349824,1701169860059
1701169800000,1701169860000,63,4804360278,1701169860059
1701169800000,1701169860000,24,5019691139,1701169860098
1701169800000,1701169860000,47,4886667812,1701169860098
1701169800000,1701169860000,13,6051077467,1701169860102
1701169800000,1701169860000,100,12289280215,1701169860102
1701169860000,1701169920000,13,12098456217,1701169920117
1701169860000,1701169920000,100,12164123376,1701169920117
1701169860000,1701169920000,54,27187394579,1701169920121
1701169860000,1701169920000,63,27498954097,1701169920121
1701169860000,1701169920000,24,27346445652,1701169920142
1701169860000,1701169920000,47,27046306301,1701169920142
1701169920000,1701169980000,54,23627508254,1701169980062
1701169920000,1701169980000,63,23655298924,1701169980062
1701169920000,1701169980000,24,32112143258,1701169980131
1701169920000,1701169980000,47,23787589114,1701169980131
1701169920000,1701169980000,13,14722320708,1701169980151
1701169920000,1701169980000,100,12191641078,1701169980151
1701169980000,1701170040000,13,12780518091,1701170040101
1701169980000,1701170040000,100,13035970533,1701170040101
1701169980000,1701170040000,54,25603329793,1701170040101
1701169980000,1701170040000,63,32277029298,1701170040101
1701169980000,1701170040000,24,30840074484,1701170040115
1701169980000,1701170040000,47,31211904241,1701170040115
1701170040000,1701170100000,13,13501228716,1701170100080
1701170040000,1701170100000,100,9663557863,1701170100080
1701170040000,1701170100000,54,28684138212,1701170100084
1701170040000,1701170100000,63,22688553730,1701170100084
1701170040000,1701170100000,24,25000332501,1701170100142
1701170040000,1701170100000,47,21697986673,1701170100142
1701170100000,1701170160000,24,24618554041,1701170160089
1701170100000,1701170160000,47,23588414812,1701170160089
1701170100000,1701170160000,54,20255971832,1701170160113
1701170100000,1701170160000,63,32017061016,1701170160113
1701170100000,1701170160000,13,13922320804,1701170160120
1701170100000,1701170160000,100,12405602104,1701170160120
1701170160000,1701170220000,54,35918566212,1701170220083
1701170160000,1701170220000,63,25152667075,1701170220083
1701170160000,1701170220000,24,29543108659,1701170220113
1701170160000,1701170220000,47,30748999017,1701170220113
1701170160000,1701170220000,13,11801337440,1701170220116
1701170160000,1701170220000,100,11593973104,1701170220116
1701170220000,1701170280000,13,15567672871,1701170280081
1701170220000,1701170280000,100,10364692254,1701170280081
1701170220000,1701170280000,24,24858644728,1701170280097
1701170220000,1701170280000,47,23584710785,1701170280097
1701170220000,1701170280000,54,24643797596,1701170280151
1701170220000,1701170280000,63,24039877930,1701170280151
