debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701170640000,1701170700000,13,95791041,1701170700115
1701170640000,1701170700000,100,180364558,1701170700115
1701170640000,1701170700000,24,108268205,1701170700116
1701170640000,1701170700000,47,119728127,1701170700116
1701170640000,1701170700000,54,107380925,1701170700147
1701170640000,1701170700000,63,64317798,1701170700147
1701170700000,1701170760000,24,1626326784,1701170760091
1701170700000,1701170760000,47,1166022351,1701170760091
1701170700000,1701170760000,13,1526703391,1701170760112
1701170700000,1701170760000,100,1769870105,1701170760112
1701170700000,1701170760000,54,1794555946,1701170760132
1701170700000,1701170760000,63,1278274445,1701170760132
1701170760000,1701170820000,54,6957833136,1701170820077
1701170760000,1701170820000,63,4955422268,1701170820077
1701170760000,1701170820000,13,6085616626,1701170820092
1701170760000,1701170820000,100,12523101699,1701170820092
1701170760000,1701170820000,24,5122751860,1701170820133
1701170760000,1701170820000,47,4992260378,1701170820133
1701170820000,1701170880000,13,12531078828,1701170880105
1701170820000,1701170880000,100,12323331240,1701170880105
1701170820000,1701170880000,54,28529422590,1701170880114
1701170820000,1701170880000,63,28385822754,1701170880114
1701170820000,1701170880000,24,28545592678,1701170880148
1701170820000,1701170880000,47,28003082659,1701170880148
1701170880000,1701170940000,24,32822499344,1701170940097
1701170880000,1701170940000,47,24168656095,1701170940097
1701170880000,1701170940000,54,23921070811,1701170940103
1701170880000,1701170940000,63,27174026969,1701170940103
1701170880000,1701170940000,13,15055424727,1701170940126
1701170880000,1701170940000,100,12493217602,1701170940126
1701170940000,1701171000000,54,29447868571,1701171000094
1701170940000,1701171000000,63,30866068220,1701171000094
1701170940000,1701171000000,24,32591645741,1701171000117
1701170940000,1701171000000,47,33698542383,1701171000117
1701170940000,1701171000000,13,13214692146,1701171000133
1701170940000,1701171000000,100,12673625568,1701171000133
1701171000000,1701171060000,24,23004314861,1701171060064
1701171000000,1701171060000,47,21239934960,1701171060064
1701171000000,1701171060000,54,26925603754,1701171060092
1701171000000,1701171060000,63,21159993581,1701171060092
1701171000000,1701171060000,13,12823129813,1701171060094
1701171000000,1701171060000,100,10444390323,1701171060094
1701171060000,1701171120000,24,26916188626,1701171120110
1701171060000,1701171120000,47,22345994517,1701171120110
1701171060000,1701171120000,54,21784848042,1701171120115
1701171060000,1701171120000,63,33192418783,1701171120115
1701171060000,1701171120000,13,14387347361,1701171120116
1701171060000,1701171120000,100,12497647734,1701171120116
1701171120000,1701171180000,13,14063371019,1701171180064
1701171120000,1701171180000,100,11562871936,1701171180064
1701171120000,1701171180000,54,35590380043,1701171180091
1701171120000,1701171180000,63,26737064449,1701171180091
1701171120000,1701171180000,24,30989866825,1701171180120
1701171120000,1701171180000,47,32662548014,1701171180120
1701171180000,1701171240000,54,27548545425,1701171240096
1701171180000,1701171240000,63,22813192761,1701171240096
1701171180000,1701171240000,24,25215704225,1701171240138
1701171180000,1701171240000,47,28724414501,1701171240138
1701171180000,1701171240000,13,12697376313,1701171240149
1701171180000,1701171240000,100,11122204663,1701171240149
