debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700489809000,1700489810000,100,18253052,1700489810139
1700489809000,1700489810000,13,18014219,1700489810540
1700489809000,1700489810000,24,26725009,1700489810658
1700489809000,1700489810000,47,15958535,1700489810801
1700489809000,1700489810000,63,11527918,1700489811093
1700489810000,1700489811000,100,20407843,1700489811094
1700489809000,1700489810000,54,19373408,1700489811198
1700489810000,1700489811000,13,26370847,1700489811405
1700489810000,1700489811000,24,21187027,1700489811627
1700489810000,1700489811000,47,17848861,1700489811737
1700489810000,1700489811000,54,28419229,1700489811935
1700489810000,1700489811000,63,17367516,1700489812047
1700489811000,1700489812000,100,56538901,1700489812149
1700489811000,1700489812000,13,22173279,1700489812489
1700489811000,1700489812000,24,29106297,1700489812499
1700489811000,1700489812000,47,17307280,1700489812499
1700489811000,1700489812000,63,12464947,1700489812593
1700489811000,1700489812000,54,28272491,1700489812801
1700489812000,1700489813000,100,46300279,1700489813109
1700489812000,1700489813000,13,21810725,1700489813220
1700489812000,1700489813000,24,27376651,1700489813231
1700489812000,1700489813000,47,42063644,1700489813326
1700489812000,1700489813000,54,22332633,1700489813523
1700489812000,1700489813000,63,16688819,1700489813629
1700489813000,1700489814000,24,15787185,1700489814162
1700489813000,1700489814000,13,19434254,1700489814175
1700489813000,1700489814000,100,67635766,1700489814176
1700489813000,1700489814000,47,38817644,1700489814377
1700489813000,1700489814000,54,26016675,1700489814494
1700489813000,1700489814000,63,16513939,1700489814614
1700489814000,1700489815000,13,17772297,1700489815132
1700489814000,1700489815000,100,53487456,1700489815132
1700489814000,1700489815000,24,23359216,1700489815364
1700489814000,1700489815000,47,17336734,1700489815365
1700489814000,1700489815000,54,30665864,1700489815447
1700489814000,1700489815000,63,10651665,1700489815459
1700489815000,1700489816000,100,56933548,1700489816190
1700489815000,1700489816000,13,22550145,1700489816303
1700489815000,1700489816000,24,23053547,1700489816304
1700489815000,1700489816000,47,21099584,1700489816390
1700489815000,1700489816000,63,17483193,1700489816676
1700489815000,1700489816000,54,27583600,1700489816676
1700489816000,1700489817000,24,23750931,1700489817102
1700489816000,1700489817000,100,24467193,1700489817102
1700489816000,1700489817000,13,17448189,1700489817267
1700489816000,1700489817000,47,18625786,1700489817519
1700489816000,1700489817000,54,31931002,1700489817781
1700489816000,1700489817000,63,14971619,1700489817900
1700489817000,1700489818000,13,18881758,1700489818195
1700489817000,1700489818000,24,24964609,1700489818273
1700489817000,1700489818000,100,21332944,1700489818283
1700489817000,1700489818000,47,17641691,1700489818510
1700489817000,1700489818000,63,18092895,1700489818598
1700489817000,1700489818000,54,23721366,1700489818679
1700489818000,1700489819000,24,23044573,1700489819224
1700489818000,1700489819000,13,28080167,1700489819231
1700489818000,1700489819000,100,17038108,1700489819337
1700489818000,1700489819000,47,14915642,1700489819347
1700489818000,1700489819000,63,12129272,1700489819516
1700489818000,1700489819000,54,29577498,1700489819527
1700489819000,1700489820000,100,17981789,1700489820231
1700489819000,1700489820000,13,19281992,1700489820293
1700489819000,1700489820000,24,25944785,1700489820303
1700489819000,1700489820000,47,14592308,1700489820304
1700489819000,1700489820000,54,30227361,1700489820415
1700489819000,1700489820000,63,19133586,1700489820730
1700489820000,1700489821000,100,16161830,1700489821499
1700489820000,1700489821000,13,23003317,1700489821507
1700489820000,1700489821000,24,36070830,1700489821507
1700489820000,1700489821000,47,18448906,1700489821593
1700489820000,1700489821000,63,17909213,1700489821600
1700489820000,1700489821000,54,28477111,1700489821681
1700489821000,1700489822000,100,18524387,1700489822359
1700489821000,1700489822000,13,23029062,1700489822441
1700489821000,1700489822000,24,30896729,1700489822451
1700489821000,1700489822000,47,13826696,1700489822451
1700489821000,1700489822000,63,15838056,1700489822744
1700489821000,1700489822000,54,20572529,1700489823073
1700489822000,1700489823000,13,19116629,1700489823178
1700489822000,1700489823000,24,37669606,1700489823298
1700489822000,1700489823000,100,21622371,1700489823307
1700489822000,1700489823000,47,18821792,1700489823639
1700489822000,1700489823000,63,14746368,1700489823647
