debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700492748000,1700492749000,54,931252,1700492749065
1700492748000,1700492749000,13,1956882,1700492749118
1700492748000,1700492749000,24,4060067,1700492749121
1700492748000,1700492749000,47,2609515,1700492749129
1700492748000,1700492749000,63,1790697,1700492749140
1700492748000,1700492749000,100,1537815,1700492749141
1700492749000,1700492750000,24,24382305,1700492750068
1700492749000,1700492750000,13,19306629,1700492750071
1700492749000,1700492750000,54,22776998,1700492750075
1700492749000,1700492750000,47,16234341,1700492750075
1700492749000,1700492750000,63,12745234,1700492750085
1700492749000,1700492750000,100,24242664,1700492750086
1700492750000,1700492751000,100,23242665,1700492751038
1700492750000,1700492751000,13,27845826,1700492751120
1700492750000,1700492751000,24,23127130,1700492751121
1700492750000,1700492751000,54,35550432,1700492751126
1700492750000,1700492751000,47,18936516,1700492751140
1700492750000,1700492751000,63,17073948,1700492751141
1700492751000,1700492752000,13,20789643,1700492752062
1700492751000,1700492752000,54,20627364,1700492752064
1700492751000,1700492752000,24,27845680,1700492752072
1700492751000,1700492752000,47,18034146,1700492752089
1700492751000,1700492752000,63,11970660,1700492752089
1700492751000,1700492752000,100,68131854,1700492752089
1700492752000,1700492753000,100,47065184,1700492753039
1700492752000,1700492753000,47,47654916,1700492753041
1700492752000,1700492753000,13,22953599,1700492753113
1700492752000,1700492753000,24,25739690,1700492753120
1700492752000,1700492753000,54,25413975,1700492753126
1700492752000,1700492753000,63,18518014,1700492753144
1700492753000,1700492754000,13,16047605,1700492754065
1700492753000,1700492754000,63,14823392,1700492754065
1700492753000,1700492754000,24,17098024,1700492754068
1700492753000,1700492754000,54,22184843,1700492754071
1700492753000,1700492754000,47,29919176,1700492754097
1700492753000,1700492754000,100,62697781,1700492754099
1700492754000,1700492755000,100,47442978,1700492755041
1700492754000,1700492755000,47,17872233,1700492755049
1700492754000,1700492755000,13,22118139,1700492755118
1700492754000,1700492755000,54,32559983,1700492755124
1700492754000,1700492755000,24,24490987,1700492755125
1700492754000,1700492755000,63,10428663,1700492755147
1700492755000,1700492756000,54,24879742,1700492756057
1700492755000,1700492756000,13,19211626,1700492756061
1700492755000,1700492756000,63,16469317,1700492756065
1700492755000,1700492756000,24,19851049,1700492756067
1700492755000,1700492756000,100,57156611,1700492756096
1700492755000,1700492756000,47,21053552,1700492756101
1700492756000,1700492757000,100,20834840,1700492757038
1700492756000,1700492757000,47,16743673,1700492757058
1700492756000,1700492757000,54,34179452,1700492757117
1700492756000,1700492757000,24,28610680,1700492757117
1700492756000,1700492757000,13,16689222,1700492757118
1700492756000,1700492757000,63,15441608,1700492757145
1700492757000,1700492758000,63,17794943,1700492758053
1700492757000,1700492758000,54,22704475,1700492758059
1700492757000,1700492758000,13,20737290,1700492758069
1700492757000,1700492758000,24,20104860,1700492758072
1700492757000,1700492758000,100,18692241,1700492758088
1700492757000,1700492758000,47,17641691,1700492758120
1700492758000,1700492759000,100,15329852,1700492759035
1700492758000,1700492759000,47,14915642,1700492759063
1700492758000,1700492759000,63,12327656,1700492759107
1700492758000,1700492759000,54,27907613,1700492759118
1700492758000,1700492759000,24,25568297,1700492759125
1700492758000,1700492759000,13,26888812,1700492759125
1700492759000,1700492760000,63,17641237,1700492760059
1700492759000,1700492760000,54,29870558,1700492760064
1700492759000,1700492760000,13,20453895,1700492760082
1700492759000,1700492760000,24,23421061,1700492760083
1700492759000,1700492760000,100,16902076,1700492760088
1700492759000,1700492760000,47,16769626,1700492760114
1700492760000,1700492761000,100,18173786,1700492761039
1700492760000,1700492761000,47,16271588,1700492761067
1700492760000,1700492761000,63,19734627,1700492761109
1700492760000,1700492761000,54,30235297,1700492761122
1700492760000,1700492761000,13,21332883,1700492761137
1700492760000,1700492761000,24,36070830,1700492761141
1700492761000,1700492762000,63,14012642,1700492762052
1700492761000,1700492762000,54,17348783,1700492762072
1700492761000,1700492762000,13,21518200,1700492762087
1700492761000,1700492762000,24,30896729,1700492762093
1700492761000,1700492762000,100,19422979,1700492762101
1700492761000,1700492762000,47,16829608,1700492762121
1700492762000,1700492763000,24,32394290,1700492763036
1700492762000,1700492763000,100,20095864,1700492763052
1700492762000,1700492763000,47,15818880,1700492763071
1700492762000,1700492763000,63,14746368,1700492763105
1700492762000,1700492763000,54,27617955,1700492763128
1700492762000,1700492763000,13,21504123,1700492763134
1700492763000,1700492764000,63,11669782,1700492764049
1700492763000,1700492764000,54,18159292,1700492764071
1700492763000,1700492764000,13,20337376,1700492764086
1700492763000,1700492764000,24,44166091,1700492764093
1700492763000,1700492764000,100,20416293,1700492764111
1700492763000,1700492764000,47,21289752,1700492764123
1700492764000,1700492765000,24,20690290,1700492765039
1700492764000,1700492765000,13,16578894,1700492765045
1700492764000,1700492765000,100,19060346,1700492765058
1700492764000,1700492765000,47,10940927,1700492765079
1700492764000,1700492765000,63,16542066,1700492765111
1700492764000,1700492765000,54,24110336,1700492765130
1700492765000,1700492766000,63,15325329,1700492766060
1700492765000,1700492766000,54,19366846,1700492766071
1700492765000,1700492766000,24,23461159,1700492766097
1700492765000,1700492766000,13,20075229,1700492766105
1700492765000,1700492766000,100,24520252,1700492766116
1700492765000,1700492766000,47,16614254,1700492766138
1700492766000,1700492767000,24,36966495,1700492767041
1700492766000,1700492767000,13,18597890,1700492767042
1700492766000,1700492767000,100,19305109,1700492767066
1700492766000,1700492767000,47,13649233,1700492767093
1700492766000,1700492767000,63,16151035,1700492767109
1700492766000,1700492767000,54,26514920,1700492767125
1700492767000,1700492768000,47,16853201,1700492768044
1700492767000,1700492768000,63,15093260,1700492768055
1700492767000,1700492768000,54,38131132,1700492768065
1700492767000,1700492768000,24,32513666,1700492768095
1700492767000,1700492768000,13,25859031,1700492768097
1700492767000,1700492768000,100,20075244,1700492768130
1700492768000,1700492769000,13,23442042,1700492769045
1700492768000,1700492769000,24,29112292,1700492769050
1700492768000,1700492769000,100,20555408,1700492769082
1700492768000,1700492769000,47,26669448,1700492769097
1700492768000,1700492769000,63,16987456,1700492769114
1700492768000,1700492769000,54,35560093,1700492769118
1700492769000,1700492770000,47,15437961,1700492770046
1700492769000,1700492770000,54,29411040,1700492770050
1700492769000,1700492770000,63,41835740,1700492770055
1700492769000,1700492770000,13,20337999,1700492770095
1700492769000,1700492770000,24,21083695,1700492770096
1700492769000,1700492770000,100,19996539,1700492770138
1700492770000,1700492771000,24,25297367,1700492771042
1700492770000,1700492771000,13,15682155,1700492771045
1700492770000,1700492771000,100,15382921,1700492771094
1700492770000,1700492771000,47,47852392,1700492771108
1700492770000,1700492771000,54,21366076,1700492771109
1700492770000,1700492771000,63,15214928,1700492771110
1700492771000,1700492772000,100,22395879,1700492772041
1700492771000,1700492772000,54,19242383,1700492772045
1700492771000,1700492772000,63,15961725,1700492772053
1700492771000,1700492772000,47,20535353,1700492772057
1700492771000,1700492772000,24,30915273,1700492772091
1700492771000,1700492772000,13,23666984,1700492772095
1700492772000,1700492773000,13,18917266,1700492773038
1700492772000,1700492773000,24,23815234,1700492773050
1700492772000,1700492773000,100,14598335,1700492773096
1700492772000,1700492773000,54,18289129,1700492773097
1700492772000,1700492773000,47,52114783,1700492773110
1700492772000,1700492773000,63,13493622,1700492773114
1700492773000,1700492774000,100,19095559,1700492774041
1700492773000,1700492774000,54,17366185,1700492774042
1700492773000,1700492774000,47,25477644,1700492774061
1700492773000,1700492774000,63,19810419,1700492774062
1700492773000,1700492774000,13,17517173,1700492774089
1700492773000,1700492774000,24,27869696,1700492774112
1700492774000,1700492775000,13,40628393,1700492775039
1700492774000,1700492775000,24,30577387,1700492775062
1700492774000,1700492775000,54,22410979,1700492775087
1700492774000,1700492775000,100,31409624,1700492775107
1700492774000,1700492775000,63,13347547,1700492775107
1700492774000,1700492775000,47,36328688,1700492775115
1700492775000,1700492776000,100,45911898,1700492776050
1700492775000,1700492776000,63,13125925,1700492776060
1700492775000,1700492776000,47,34531216,1700492776070
1700492775000,1700492776000,13,37408148,1700492776088
1700492775000,1700492776000,24,31695683,1700492776113
1700492775000,1700492776000,54,29799484,1700492776129
1700492776000,1700492777000,13,33119911,1700492777038
1700492776000,1700492777000,24,20877510,1700492777058
1700492776000,1700492777000,54,23074228,1700492777080
1700492776000,1700492777000,63,19680099,1700492777113
1700492776000,1700492777000,100,83486982,1700492777114
1700492776000,1700492777000,47,49368247,1700492777129
1700492777000,1700492778000,63,11959562,1700492778059
1700492777000,1700492778000,100,32552703,1700492778059
1700492777000,1700492778000,47,13860255,1700492778075
1700492777000,1700492778000,13,20818646,1700492778092
1700492777000,1700492778000,24,25680864,1700492778114
1700492777000,1700492778000,54,26024669,1700492778134
1700492778000,1700492779000,13,26876214,1700492779038
1700492778000,1700492779000,24,29562962,1700492779063
1700492778000,1700492779000,54,21498693,1700492779078
1700492778000,1700492779000,63,18177762,1700492779111
1700492778000,1700492779000,100,69496648,1700492779112
1700492778000,1700492779000,47,46963088,1700492779130
1700492779000,1700492780000,100,33569081,1700492780055
1700492779000,1700492780000,63,13452605,1700492780058
1700492779000,1700492780000,47,13571135,1700492780087
1700492779000,1700492780000,13,29710847,1700492780092
1700492779000,1700492780000,24,22323499,1700492780123
1700492779000,1700492780000,54,28900510,1700492780134
1700492780000,1700492781000,13,19081390,1700492781032
1700492780000,1700492781000,47,10017098,1700492781043
1700492780000,1700492781000,24,28438964,1700492781065
1700492780000,1700492781000,54,19698223,1700492781079
1700492780000,1700492781000,100,53905729,1700492781111
1700492780000,1700492781000,63,15197869,1700492781118
1700492781000,1700492782000,100,70705906,1700492782057
1700492781000,1700492782000,63,13408610,1700492782064
1700492781000,1700492782000,13,22864854,1700492782088
1700492781000,1700492782000,47,9697105,1700492782106
1700492781000,1700492782000,24,22217352,1700492782116
1700492781000,1700492782000,54,34664757,1700492782127
1700492782000,1700492783000,13,34203510,1700492783038
1700492782000,1700492783000,47,9999551,1700492783059
1700492782000,1700492783000,24,22647224,1700492783062
1700492782000,1700492783000,54,19614388,1700492783070
1700492782000,1700492783000,63,14893682,1700492783117
1700492782000,1700492783000,100,80308226,1700492783117
1700492783000,1700492784000,100,58855247,1700492784064
1700492783000,1700492784000,63,17552966,1700492784065
1700492783000,1700492784000,13,25807115,1700492784085
1700492783000,1700492784000,24,26527534,1700492784107
1700492783000,1700492784000,47,11690694,1700492784110
1700492783000,1700492784000,54,27392226,1700492784113
1700492784000,1700492785000,13,19726863,1700492785031
1700492784000,1700492785000,24,30131913,1700492785054
1700492784000,1700492785000,54,24482220,1700492785062
1700492784000,1700492785000,47,10554743,1700492785062
1700492784000,1700492785000,100,36776934,1700492785127
1700492784000,1700492785000,63,13817028,1700492785128
1700492785000,1700492786000,13,23892669,1700492786082
1700492785000,1700492786000,100,20483216,1700492786084
1700492785000,1700492786000,63,18087554,1700492786084
1700492785000,1700492786000,54,28904767,1700492786106
1700492785000,1700492786000,24,23621970,1700492786106
1700492785000,1700492786000,47,11087182,1700492786122
1700492786000,1700492787000,54,17225665,1700492787049
1700492786000,1700492787000,24,24311351,1700492787058
1700492786000,1700492787000,47,9597889,1700492787071
1700492786000,1700492787000,63,17830553,1700492787137
1700492786000,1700492787000,100,18744775,1700492787138
1700492786000,1700492787000,13,31832270,1700492787139
1700492787000,1700492788000,63,15384958,1700492788085
1700492787000,1700492788000,100,14078675,1700492788085
1700492787000,1700492788000,13,32140188,1700492788089
1700492787000,1700492788000,54,24294611,1700492788097
1700492787000,1700492788000,24,19525873,1700492788114
1700492787000,1700492788000,47,12901562,1700492788134
1700492788000,1700492789000,100,24124578,1700492789035
1700492788000,1700492789000,13,19248177,1700492789036
1700492788000,1700492789000,54,23469608,1700492789045
1700492788000,1700492789000,24,21049096,1700492789066
