debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700480032000,1700480033000,47,15958535,1700480033059
1700480032000,1700480033000,54,19373408,1700480033064
1700480032000,1700480033000,24,24870382,1700480033064
1700480032000,1700480033000,100,21678927,1700480033070
1700480032000,1700480033000,63,11527918,1700480033072
1700480032000,1700480033000,13,18014219,1700480033088
1700480033000,1700480034000,47,17848861,1700480034108
1700480033000,1700480034000,100,23679002,1700480034113
1700480033000,1700480034000,24,23041654,1700480034122
1700480033000,1700480034000,54,33480485,1700480034123
1700480033000,1700480034000,63,17367516,1700480034130
1700480033000,1700480034000,13,26370847,1700480034135
1700480034000,1700480035000,47,17307280,1700480035062
1700480034000,1700480035000,100,58000255,1700480035064
1700480034000,1700480035000,54,23211235,1700480035072
1700480034000,1700480035000,24,25941714,1700480035074
1700480034000,1700480035000,13,22173279,1700480035083
1700480034000,1700480035000,63,12464947,1700480035083
1700480035000,1700480036000,47,42063644,1700480036113
1700480035000,1700480036000,100,50608393,1700480036123
1700480035000,1700480036000,24,28206083,1700480036130
1700480035000,1700480036000,54,22332633,1700480036132
1700480035000,1700480036000,63,16688819,1700480036135
1700480035000,1700480036000,13,21810725,1700480036138
1700480036000,1700480037000,47,37286431,1700480037064
1700480036000,1700480037000,24,16851658,1700480037072
1700480036000,1700480037000,100,60415651,1700480037074
1700480036000,1700480037000,13,17983196,1700480037083
1700480036000,1700480037000,63,13396242,1700480037087
1700480036000,1700480037000,54,22234324,1700480037090
1700480037000,1700480038000,54,31406818,1700480038038
1700480037000,1700480038000,100,55462994,1700480038115
1700480037000,1700480038000,47,18867947,1700480038118
1700480037000,1700480038000,13,19223355,1700480038132
1700480037000,1700480038000,24,21257196,1700480038133
1700480037000,1700480038000,63,13769362,1700480038141
1700480038000,1700480039000,100,55394343,1700480039066
1700480038000,1700480039000,47,19220538,1700480039068
1700480038000,1700480039000,13,20817910,1700480039073
1700480038000,1700480039000,24,21202953,1700480039080
1700480038000,1700480039000,54,29113966,1700480039086
1700480038000,1700480039000,63,14920348,1700480039094
1700480039000,1700480040000,63,15224762,1700480040043
1700480039000,1700480040000,47,17672777,1700480040112
1700480039000,1700480040000,13,18062636,1700480040124
1700480039000,1700480040000,100,23488094,1700480040124
1700480039000,1700480040000,54,33442033,1700480040132
1700480039000,1700480040000,24,25505473,1700480040138
1700480040000,1700480041000,47,15919043,1700480041055
1700480040000,1700480041000,13,16977030,1700480041059
1700480040000,1700480041000,100,19387543,1700480041066
1700480040000,1700480041000,54,22260026,1700480041074
1700480040000,1700480041000,24,22088524,1700480041083
1700480040000,1700480041000,63,18403885,1700480041098
1700480041000,1700480042000,24,26495374,1700480042037
1700480041000,1700480042000,63,11089484,1700480042044
1700480041000,1700480042000,47,18355967,1700480042093
1700480041000,1700480042000,13,30083927,1700480042114
1700480041000,1700480042000,100,15923862,1700480042122
1700480041000,1700480042000,54,29605237,1700480042124
1700480042000,1700480043000,47,13955834,1700480043051
1700480042000,1700480043000,13,18115186,1700480043057
