debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700481401000,1700481402000,63,1790697,1700481402199
1700481401000,1700481402000,13,1956882,1700481402236
1700481401000,1700481402000,47,2609515,1700481402266
1700481401000,1700481402000,54,6078365,1700481402272
1700481401000,1700481402000,24,7024626,1700481402362
1700481401000,1700481402000,100,3377528,1700481402469
1700481402000,1700481403000,24,24633131,1700481403109
1700481402000,1700481403000,13,24391932,1700481403142
1700481402000,1700481403000,54,25868700,1700481403191
1700481402000,1700481403000,63,14816093,1700481403244
1700481402000,1700481403000,47,17617806,1700481403262
1700481402000,1700481403000,100,25782490,1700481403389
1700481403000,1700481404000,13,22760523,1700481404089
1700481403000,1700481404000,100,26717957,1700481404097
1700481403000,1700481404000,24,22894018,1700481404115
1700481403000,1700481404000,47,19412717,1700481404161
1700481403000,1700481404000,63,16241489,1700481404203
1700481403000,1700481404000,54,28752119,1700481404276
1700481404000,1700481405000,63,11800187,1700481405083
1700481404000,1700481405000,47,18288730,1700481405091
1700481404000,1700481405000,24,32366241,1700481405179
1700481404000,1700481405000,13,24253671,1700481405266
1700481404000,1700481405000,54,23714326,1700481405453
1700481404000,1700481405000,100,68390880,1700481405704
1700481405000,1700481406000,24,19993891,1700481406092
1700481405000,1700481406000,63,18722881,1700481406133
1700481405000,1700481406000,47,56753093,1700481406200
1700481405000,1700481406000,13,20777063,1700481406203
1700481405000,1700481406000,54,25249196,1700481406307
1700481405000,1700481406000,100,56095703,1700481406705
1700481406000,1700481407000,54,22260785,1700481407082
1700481406000,1700481407000,63,14726806,1700481407113
1700481406000,1700481407000,24,21904442,1700481407122
1700481406000,1700481407000,13,17282272,1700481407131
1700481406000,1700481407000,47,21990554,1700481407324
1700481406000,1700481407000,100,60318528,1700481407447
1700481407000,1700481408000,54,35477957,1700481408126
1700481407000,1700481408000,24,20250632,1700481408154
1700481407000,1700481408000,63,11597404,1700481408157
1700481407000,1700481408000,47,21732502,1700481408206
1700481407000,1700481408000,13,22519419,1700481408311
1700481407000,1700481408000,100,51613052,1700481408312
1700481408000,1700481409000,63,14913471,1700481409158
1700481408000,1700481409000,100,46490514,1700481409163
1700481408000,1700481409000,24,25674555,1700481409184
1700481408000,1700481409000,47,16933449,1700481409238
