debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700471630000,1700471631000,13,19679755,1700471631103
1700471630000,1700471631000,100,23860124,1700471631103
1700471630000,1700471631000,24,26725009,1700471631105
1700471630000,1700471631000,47,17288700,1700471631105
1700471630000,1700471631000,54,21033803,1700471631112
1700471630000,1700471631000,63,12972908,1700471631112
1700471631000,1700471632000,24,23048274,1700471632061
1700471631000,1700471632000,47,16518696,1700471632061
1700471631000,1700471632000,54,31820090,1700471632062
1700471631000,1700471632000,63,16141882,1700471632062
1700471631000,1700471632000,13,24705311,1700471632162
1700471631000,1700471632000,100,25163020,1700471632162
1700471632000,1700471633000,13,24074109,1700471633114
1700471632000,1700471633000,100,62310166,1700471633114
1700471632000,1700471633000,54,25011348,1700471633124
1700471632000,1700471633000,63,13114302,1700471633124
1700471632000,1700471633000,24,27245050,1700471633124
1700471632000,1700471633000,47,20023380,1700471633124
1700471633000,1700471634000,13,19909895,1700471634069
1700471633000,1700471634000,100,42633267,1700471634069
1700471633000,1700471634000,54,20532520,1700471634081
1700471633000,1700471634000,63,15820108,1700471634081
1700471633000,1700471634000,24,25041500,1700471634083
1700471633000,1700471634000,47,39347544,1700471634083
1700471634000,1700471635000,13,19434254,1700471635133
1700471634000,1700471635000,100,66470765,1700471635133
1700471634000,1700471635000,54,26016675,1700471635143
1700471634000,1700471635000,63,16513939,1700471635143
1700471634000,1700471635000,24,18122336,1700471635153
1700471634000,1700471635000,47,37286431,1700471635153
1700471635000,1700471636000,13,17772297,1700471636083
1700471635000,1700471636000,100,49407880,1700471636083
1700471635000,1700471636000,54,30665864,1700471636102
1700471635000,1700471636000,63,10651665,1700471636102
1700471635000,1700471636000,24,19986518,1700471636114
1700471635000,1700471636000,47,18867947,1700471636114
1700471636000,1700471637000,54,26072569,1700471637063
1700471636000,1700471637000,63,16351232,1700471637063
1700471636000,1700471637000,24,21202953,1700471637074
1700471636000,1700471637000,47,19220538,1700471637074
1700471636000,1700471637000,13,20817910,1700471637122
1700471636000,1700471637000,100,58478558,1700471637122
1700471637000,1700471638000,13,18062636,1700471638107
1700471637000,1700471638000,100,20403879,1700471638107
1700471637000,1700471638000,54,33442033,1700471638126
1700471637000,1700471638000,63,14822309,1700471638126
1700471637000,1700471638000,24,25505473,1700471638132
1700471637000,1700471638000,47,17672777,1700471638132
1700471638000,1700471639000,54,22260026,1700471639085
1700471638000,1700471639000,63,17375454,1700471639085
1700471638000,1700471639000,24,22088524,1700471639090
1700471638000,1700471639000,47,15919043,1700471639090
1700471638000,1700471639000,13,16977030,1700471639135
1700471638000,1700471639000,100,21131087,1700471639135
1700471639000,1700471640000,13,30083927,1700471640127
1700471639000,1700471640000,100,14180318,1700471640127
1700471639000,1700471640000,54,29605237,1700471640147
1700471639000,1700471640000,63,12636611,1700471640147
1700471639000,1700471640000,24,27897271,1700471640151
1700471639000,1700471640000,47,17409296,1700471640151
1700471640000,1700471641000,13,18115186,1700471641086
1700471640000,1700471641000,100,17405336,1700471641086
1700471640000,1700471641000,54,27728269,1700471641107
1700471640000,1700471641000,63,18085074,1700471641107
1700471640000,1700471641000,24,19912605,1700471641114
1700471640000,1700471641000,47,14902505,1700471641114
1700471641000,1700471642000,54,29050800,1700471642068
1700471641000,1700471642000,63,17168082,1700471642068
1700471641000,1700471642000,24,28556343,1700471642076
1700471641000,1700471642000,47,17561287,1700471642076
1700471641000,1700471642000,13,21526718,1700471642107
1700471641000,1700471642000,100,18195484,1700471642107
1700471642000,1700471643000,13,21282204,1700471643113
1700471642000,1700471643000,100,15423212,1700471643113
1700471642000,1700471643000,54,19726490,1700471643134
1700471642000,1700471643000,63,16012884,1700471643134
1700471642000,1700471643000,24,39880219,1700471643139
1700471642000,1700471643000,47,14896433,1700471643139
1700471643000,1700471644000,54,22361206,1700471644088
1700471643000,1700471644000,63,12954571,1700471644088
1700471643000,1700471644000,24,32155005,1700471644095
1700471643000,1700471644000,47,17290432,1700471644095
1700471643000,1700471644000,13,19975826,1700471644121
1700471643000,1700471644000,100,24543750,1700471644121
1700471644000,1700471645000,24,46802187,1700471645124
1700471644000,1700471645000,47,17503675,1700471645124
1700471644000,1700471645000,13,22497762,1700471645134
1700471644000,1700471645000,100,17618047,1700471645134
1700471644000,1700471645000,54,22719640,1700471645150
1700471644000,1700471645000,63,13219505,1700471645150
1700471645000,1700471646000,54,23314445,1700471646104
1700471645000,1700471646000,63,14655351,1700471646104
1700471645000,1700471646000,24,18969938,1700471646114
1700471645000,1700471646000,47,15320319,1700471646114
1700471645000,1700471646000,13,17789734,1700471646133
1700471645000,1700471646000,100,21506324,1700471646133
1700471646000,1700471647000,54,18193656,1700471647042
1700471646000,1700471647000,63,16095358,1700471647042
1700471646000,1700471647000,24,22840123,1700471647074
1700471646000,1700471647000,47,14037979,1700471647074
1700471646000,1700471647000,13,17367739,1700471647091
1700471646000,1700471647000,100,17681344,1700471647091
1700471647000,1700471648000,13,21791930,1700471648098
1700471647000,1700471648000,100,21960698,1700471648098
1700471647000,1700471648000,54,23767953,1700471648128
1700471647000,1700471648000,63,15293882,1700471648128
1700471647000,1700471648000,24,38197533,1700471648138
1700471647000,1700471648000,47,15693304,1700471648138
1700471648000,1700471649000,54,39129719,1700471649083
1700471648000,1700471649000,63,15911821,1700471649083
1700471648000,1700471649000,24,27200174,1700471649096
1700471648000,1700471649000,47,13429437,1700471649096
1700471648000,1700471649000,13,20686817,1700471649114
1700471648000,1700471649000,100,22853166,1700471649114
1700471649000,1700471650000,13,28160261,1700471650114
1700471649000,1700471650000,100,17310715,1700471650114
1700471649000,1700471650000,24,30935681,1700471650132
1700471649000,1700471650000,47,28447549,1700471650132
1700471649000,1700471650000,54,38468135,1700471650146
1700471649000,1700471650000,63,13900507,1700471650146
1700471650000,1700471651000,54,28975289,1700471651103
1700471650000,1700471651000,63,38278044,1700471651103
