debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700472142000,1700472143000,54,12314917,1700472143090
1700472142000,1700472143000,63,6983597,1700472143090
1700472142000,1700472143000,13,13625900,1700472143125
1700472142000,1700472143000,100,9424635,1700472143125
1700472142000,1700472143000,24,20447901,1700472143162
1700472142000,1700472143000,47,11279083,1700472143162
1700472143000,1700472144000,13,21961580,1700472144063
1700472143000,1700472144000,100,26011299,1700472144063
1700472143000,1700472144000,24,19339367,1700472144089
1700472143000,1700472144000,47,16268777,1700472144089
1700472143000,1700472144000,54,29413865,1700472144127
1700472143000,1700472144000,63,14180190,1700472144127
1700472144000,1700472145000,54,27009668,1700472145063
1700472144000,1700472145000,63,15933823,1700472145063
1700472144000,1700472145000,13,24980466,1700472145096
1700472144000,1700472145000,100,42864895,1700472145096
1700472144000,1700472145000,24,30789289,1700472145128
1700472144000,1700472145000,47,18230720,1700472145128
1700472145000,1700472146000,24,25201253,1700472146061
1700472145000,1700472146000,47,33487992,1700472146061
1700472145000,1700472146000,54,23399493,1700472146103
1700472145000,1700472146000,63,13576587,1700472146103
1700472145000,1700472146000,13,24024833,1700472146137
1700472145000,1700472146000,100,56111967,1700472146137
1700472146000,1700472147000,13,17867111,1700472147066
1700472146000,1700472147000,100,56732295,1700472147066
1700472146000,1700472147000,24,18040995,1700472147098
1700472146000,1700472147000,47,48029298,1700472147098
1700472146000,1700472147000,54,23414314,1700472147140
1700472146000,1700472147000,63,18120066,1700472147140
1700472147000,1700472148000,13,19379299,1700472148077
1700472147000,1700472148000,100,65821228,1700472148077
1700472147000,1700472148000,54,25224461,1700472148081
1700472147000,1700472148000,63,13183824,1700472148081
1700472147000,1700472148000,24,21030522,1700472148133
1700472147000,1700472148000,47,18317725,1700472148133
1700472148000,1700472149000,24,22502514,1700472149065
1700472148000,1700472149000,47,18403099,1700472149065
1700472148000,1700472149000,13,22619262,1700472149117
1700472148000,1700472149000,100,60187547,1700472149117
1700472148000,1700472149000,54,34758586,1700472149119
1700472148000,1700472149000,63,12980139,1700472149119
1700472149000,1700472150000,13,15764962,1700472150073
1700472149000,1700472150000,100,25764568,1700472150073
1700472149000,1700472150000,24,25716128,1700472150077
1700472149000,1700472150000,47,17635468,1700472150077
1700472149000,1700472150000,54,32371064,1700472150162
1700472149000,1700472150000,63,18959528,1700472150162
1700472150000,1700472151000,54,25040152,1700472151098
1700472150000,1700472151000,63,16139825,1700472151098
1700472150000,1700472151000,13,19129698,1700472151113
1700472150000,1700472151000,100,20004569,1700472151113
1700472150000,1700472151000,24,25040586,1700472151139
