debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700489111000,1700489112000,13,7132224,1700489112523
1700489111000,1700489112000,24,9018914,1700489112523
1700489111000,1700489112000,47,5893980,1700489112523
1700489111000,1700489112000,54,7950483,1700489112523
1700489111000,1700489112000,63,4652742,1700489112523
1700489111000,1700489112000,100,6227615,1700489112523
1700489112000,1700489113000,13,22787854,1700489113951
1700489112000,1700489113000,24,26807129,1700489113951
1700489112000,1700489113000,47,18458997,1700489113951
1700489112000,1700489113000,54,26812712,1700489113951
1700489112000,1700489113000,63,13617920,1700489113951
1700489112000,1700489113000,100,26985285,1700489113951
1700489113000,1700489114000,13,23393369,1700489115353
1700489113000,1700489114000,24,21677412,1700489115353
1700489113000,1700489114000,47,16769256,1700489115353
1700489113000,1700489114000,54,28957736,1700489115353
1700489113000,1700489114000,63,16368421,1700489115353
1700489113000,1700489114000,100,27853760,1700489115353
1700489114000,1700489115000,13,25950905,1700489117021
1700489114000,1700489115000,24,32603412,1700489117021
1700489114000,1700489115000,47,20766240,1700489117021
1700489114000,1700489115000,54,22999095,1700489117021
1700489114000,1700489115000,63,11843920,1700489117021
1700489114000,1700489115000,100,63202195,1700489117021
1700489115000,1700489116000,13,16526689,1700489118766
1700489115000,1700489116000,24,18161338,1700489118766
1700489115000,1700489116000,47,57839654,1700489118766
1700489115000,1700489116000,54,22942680,1700489118766
1700489115000,1700489116000,63,17834795,1700489118766
1700489115000,1700489116000,100,56095703,1700489118766
1700489116000,1700489117000,13,17792856,1700489120533
1700489116000,1700489117000,24,20548144,1700489120533
1700489116000,1700489117000,47,16944288,1700489120533
1700489116000,1700489117000,54,22260785,1700489120533
1700489116000,1700489117000,63,14698518,1700489120533
1700489116000,1700489117000,100,60318528,1700489120533
1700489117000,1700489118000,13,22021108,1700489122437
1700489117000,1700489118000,24,20250632,1700489122437
1700489117000,1700489118000,47,21732502,1700489122437
1700489117000,1700489118000,54,35477957,1700489122437
1700489117000,1700489118000,63,11798807,1700489122437
1700489117000,1700489118000,100,51613052,1700489122437
1700489118000,1700489119000,13,17798963,1700489124604
1700489118000,1700489119000,24,22307035,1700489124604
1700489118000,1700489119000,47,16933449,1700489124604
1700489118000,1700489119000,54,25237687,1700489124604
1700489118000,1700489119000,63,15048617,1700489124604
1700489118000,1700489119000,100,45058584,1700489124604
1700489119000,1700489120000,13,14854814,1700489126663
1700489119000,1700489120000,24,27901372,1700489126663
1700489119000,1700489120000,47,17260038,1700489126663
1700489119000,1700489120000,54,34496497,1700489126663
1700489119000,1700489120000,63,15436264,1700489126663
1700489119000,1700489120000,100,18061696,1700489126663
1700489120000,1700489121000,13,26799624,1700489129059
1700489120000,1700489121000,24,22073631,1700489129059
1700489120000,1700489121000,47,17574130,1700489129059
1700489120000,1700489121000,54,22063244,1700489129059
1700489120000,1700489121000,63,18511693,1700489129059
1700489120000,1700489121000,100,18700824,1700489129059
1700489121000,1700489122000,13,22046569,1700489131153
1700489121000,1700489122000,24,22371682,1700489131153
1700489121000,1700489122000,47,14658726,1700489131153
1700489121000,1700489122000,54,22107459,1700489131153
1700489121000,1700489122000,63,11740968,1700489131153
1700489121000,1700489122000,100,15372897,1700489131153
1700489122000,1700489123000,13,23041497,1700489133567
1700489122000,1700489123000,24,24929479,1700489133567
1700489122000,1700489123000,47,17045350,1700489133567
1700489122000,1700489123000,54,39961822,1700489133567
1700489122000,1700489123000,63,21917658,1700489133567
1700489122000,1700489123000,100,19054832,1700489133567
1700489123000,1700489124000,13,18111062,1700489135775
1700489123000,1700489124000,24,36696697,1700489135775
1700489123000,1700489124000,47,16825221,1700489135775
1700489123000,1700489124000,54,20263240,1700489135775
1700489123000,1700489124000,63,14610940,1700489135775
1700489123000,1700489124000,100,15859189,1700489135775
1700489124000,1700489125000,13,21798076,1700489137960
1700489124000,1700489125000,24,31516517,1700489137960
1700489124000,1700489125000,47,14899164,1700489137960
1700489124000,1700489125000,54,19235807,1700489137960
1700489124000,1700489125000,63,15605248,1700489137960
1700489124000,1700489125000,100,18330753,1700489137960
1700489125000,1700489126000,13,22768556,1700489140109
1700489125000,1700489126000,24,39561904,1700489140109
1700489125000,1700489126000,47,17309413,1700489140109
1700489125000,1700489126000,54,25538063,1700489140109
1700489125000,1700489126000,63,12874055,1700489140109
1700489125000,1700489126000,100,23782065,1700489140109
1700489126000,1700489127000,13,18942420,1700489142264
1700489126000,1700489127000,24,37175346,1700489142264
1700489126000,1700489127000,47,18537034,1700489142264
1700489126000,1700489127000,54,19487950,1700489142264
1700489126000,1700489127000,63,12149346,1700489142264
1700489126000,1700489127000,100,16998863,1700489142264
1700489127000,1700489128000,13,18192141,1700489144628
1700489127000,1700489128000,24,22542217,1700489144628
1700489127000,1700489128000,47,11142852,1700489144628
1700489127000,1700489128000,54,22256745,1700489144628
1700489127000,1700489128000,63,17054416,1700489144628
1700489127000,1700489128000,100,21410557,1700489144628
1700489128000,1700489129000,13,18900256,1700489146805
1700489128000,1700489129000,24,19016316,1700489146805
1700489128000,1700489129000,47,16798586,1700489146805
1700489128000,1700489129000,54,19588402,1700489146805
1700489128000,1700489129000,63,14280832,1700489146805
1700489128000,1700489129000,100,21819882,1700489146805
1700489129000,1700489130000,13,19636011,1700489148899
1700489129000,1700489130000,24,41120108,1700489148899
1700489129000,1700489130000,47,13179323,1700489148899
1700489129000,1700489130000,54,27015496,1700489148899
1700489129000,1700489130000,63,17103270,1700489148899
1700489129000,1700489130000,100,19712642,1700489148899
1700489130000,1700489131000,13,25081258,1700489150973
1700489130000,1700489131000,24,28405015,1700489150973
1700489130000,1700489131000,47,22677286,1700489150973
1700489130000,1700489131000,54,44651003,1700489150973
1700489130000,1700489131000,63,15031861,1700489150973
1700489130000,1700489131000,100,20793244,1700489150973
1700489131000,1700489132000,13,22026232,1700489153229
1700489131000,1700489132000,24,28701816,1700489153229
1700489131000,1700489132000,47,21661901,1700489153229
1700489131000,1700489132000,54,27326478,1700489153229
1700489131000,1700489132000,63,18298068,1700489153229
1700489131000,1700489132000,100,21048479,1700489153229
1700489132000,1700489133000,13,20394495,1700489155495
1700489132000,1700489133000,24,22352102,1700489155495
1700489132000,1700489133000,47,16535629,1700489155495
1700489132000,1700489133000,54,30628206,1700489155495
1700489132000,1700489133000,63,40075589,1700489155495
1700489132000,1700489133000,100,17956605,1700489155495
1700489133000,1700489134000,13,16535319,1700489157725
1700489133000,1700489134000,24,24864878,1700489157725
1700489133000,1700489134000,47,49008123,1700489157725
1700489133000,1700489134000,54,20148910,1700489157725
1700489133000,1700489134000,63,13784654,1700489157725
1700489133000,1700489134000,100,15752098,1700489157725
1700489134000,1700489135000,13,21399676,1700489160011
1700489134000,1700489135000,24,30080662,1700489160011
1700489134000,1700489135000,47,20299479,1700489160011
1700489134000,1700489135000,54,20176851,1700489160011
1700489134000,1700489135000,63,16709705,1700489160011
1700489134000,1700489135000,100,23272979,1700489160011
1700489135000,1700489136000,13,20276687,1700489162244
1700489135000,1700489136000,24,24525012,1700489162244
1700489135000,1700489136000,47,48511786,1700489162244
1700489135000,1700489136000,54,17354661,1700489162244
1700489135000,1700489136000,63,12745642,1700489162244
1700489135000,1700489136000,100,13555963,1700489162244
1700489136000,1700489137000,13,16157752,1700489164457
1700489136000,1700489137000,24,25925628,1700489164457
1700489136000,1700489137000,47,30125416,1700489164457
1700489136000,1700489137000,54,18042503,1700489164457
1700489136000,1700489137000,63,21561804,1700489164457
1700489136000,1700489137000,100,21359641,1700489164457
1700489137000,1700489138000,13,42840065,1700489166756
1700489137000,1700489138000,24,31050068,1700489166756
1700489137000,1700489138000,47,31680916,1700489166756
1700489137000,1700489138000,54,21734661,1700489166756
1700489137000,1700489138000,63,11596162,1700489166756
1700489137000,1700489138000,100,34086437,1700489166756
1700489138000,1700489139000,13,35196476,1700489169024
1700489138000,1700489139000,24,29641541,1700489169024
1700489138000,1700489139000,47,41994416,1700489169024
1700489138000,1700489139000,54,26443787,1700489169024
1700489138000,1700489139000,63,13125925,1700489169024
1700489138000,1700489139000,100,44305933,1700489169024
1700489139000,1700489140000,13,33119911,1700489171427
1700489139000,1700489140000,24,23999013,1700489171427
1700489139000,1700489140000,47,41905047,1700489171427
1700489139000,1700489140000,54,26429925,1700489171427
1700489139000,1700489140000,63,19680099,1700489171427
1700489139000,1700489140000,100,83595142,1700489171427
1700489140000,1700489141000,13,20818646,1700489173583
1700489140000,1700489141000,24,22559361,1700489173583
1700489140000,1700489141000,47,13860255,1700489173583
1700489140000,1700489141000,54,24735385,1700489173583
1700489140000,1700489141000,63,11959562,1700489173583
1700489140000,1700489141000,100,36025134,1700489173583
1700489141000,1700489142000,13,26876214,1700489175892
1700489141000,1700489142000,24,32354024,1700489175892
1700489141000,1700489142000,47,46963088,1700489175892
1700489141000,1700489142000,54,20534630,1700489175892
1700489141000,1700489142000,63,18177762,1700489175892
1700489141000,1700489142000,100,61018353,1700489175892
1700489142000,1700489143000,13,29710847,1700489178175
1700489142000,1700489143000,24,19532437,1700489178175
1700489142000,1700489143000,47,13571135,1700489178175
1700489142000,1700489143000,54,27607331,1700489178175
1700489142000,1700489143000,63,13452605,1700489178175
1700489142000,1700489143000,100,36537885,1700489178175
1700489143000,1700489144000,13,19081390,1700489180458
1700489143000,1700489144000,24,28438964,1700489180458
1700489143000,1700489144000,47,10639336,1700489180458
1700489143000,1700489144000,54,19780535,1700489180458
1700489143000,1700489144000,63,15197869,1700489180458
1700489143000,1700489144000,100,50936925,1700489180458
1700489144000,1700489145000,13,21001499,1700489182690
1700489144000,1700489145000,24,22217352,1700489182690
1700489144000,1700489145000,47,9074867,1700489182690
1700489144000,1700489145000,54,36180676,1700489182690
1700489144000,1700489145000,63,13408610,1700489182690
1700489144000,1700489145000,100,79364943,1700489182690
1700489145000,1700489146000,13,36066865,1700489184705
1700489145000,1700489146000,24,22647224,1700489184705
1700489145000,1700489146000,47,9999551,1700489184705
1700489145000,1700489146000,54,20030022,1700489184705
