debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700488530000,1700488531000,13,8462223,1700488531708
1700488530000,1700488531000,24,9018914,1700488531708
1700488530000,1700488531000,47,5893980,1700488531708
1700488530000,1700488531000,54,7950483,1700488531708
1700488530000,1700488531000,63,5976893,1700488531708
1700488530000,1700488531000,100,6227615,1700488531708
1700488531000,1700488532000,13,21457855,1700488534150
1700488531000,1700488532000,24,26807129,1700488534150
1700488531000,1700488532000,47,18458997,1700488534150
1700488531000,1700488532000,54,26812712,1700488534150
1700488531000,1700488532000,63,12293769,1700488534150
1700488531000,1700488532000,100,26985285,1700488534150
1700488532000,1700488533000,13,27017543,1700488536493
1700488532000,1700488533000,24,26483737,1700488536493
1700488532000,1700488533000,47,17828646,1700488536493
1700488532000,1700488533000,54,31117281,1700488536493
1700488532000,1700488533000,63,17598706,1700488536493
1700488532000,1700488533000,100,27853760,1700488536493
1700488533000,1700488534000,13,23634392,1700488538763
1700488533000,1700488534000,24,27797087,1700488538763
1700488533000,1700488534000,47,26316946,1700488538763
1700488533000,1700488534000,54,20839550,1700488538763
1700488533000,1700488534000,63,12861514,1700488538763
1700488533000,1700488534000,100,64694563,1700488538763
1700488534000,1700488535000,13,17464288,1700488540873
1700488534000,1700488535000,24,19538666,1700488540873
1700488534000,1700488535000,47,55945968,1700488540873
1700488534000,1700488535000,54,24568190,1700488540873
1700488534000,1700488535000,63,17153245,1700488540873
1700488534000,1700488535000,100,58002861,1700488540873
1700488535000,1700488536000,13,18977755,1700488542936
1700488535000,1700488536000,24,21810364,1700488542936
1700488535000,1700488536000,47,16121328,1700488542936
1700488535000,1700488536000,54,27595638,1700488542936
1700488535000,1700488536000,63,15036994,1700488542936
1700488535000,1700488536000,100,62430036,1700488542936
1700488536000,1700488537000,13,22588642,1700488545020
1700488536000,1700488537000,24,20244314,1700488545020
1700488536000,1700488537000,47,20292378,1700488545020
1700488536000,1700488537000,54,31700813,1700488545020
1700488536000,1700488537000,63,12463497,1700488545020
1700488536000,1700488537000,100,54454591,1700488545020
1700488537000,1700488538000,13,17092535,1700488546762
1700488537000,1700488538000,24,24917806,1700488546762
1700488537000,1700488538000,47,18413709,1700488546762
1700488537000,1700488538000,54,32942539,1700488546762
1700488537000,1700488538000,63,15422860,1700488546762
1700488537000,1700488538000,100,38137941,1700488546762
1700488538000,1700488539000,13,18031477,1700488549008
1700488538000,1700488539000,24,28013453,1700488549008
