wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689857925000,1689857926000,3,4755573095119803733,1689857927088
1689857925000,1689857926000,4,4751168343796001451,1689857927088
1689857925000,1689857926000,5,4726321020331709781,1689857927088
1689857925000,1689857926000,6,4726256535983532715,1689857927088
1689857925000,1689857926000,8,4725822559446455637,1689857927096
1689857925000,1689857926000,9,4725835143242055680,1689857927096
1689857925000,1689857926000,10,4726321677573554176,1689857927096
1689857925000,1689857926000,11,4726398314654728192,1689857927096
1689857926000,1689857927000,8,4725822661038090923,1689857927638
1689857926000,1689857927000,9,4725835236892475392,1689857927638
1689857926000,1689857927000,10,4726321771156865024,1689857927638
1689857926000,1689857927000,11,4726398406470838955,1689857927638
1689857926000,1689857927000,3,4755573096853099861,1689857928087
1689857926000,1689857927000,4,4751168347858534400,1689857928087
1689857926000,1689857927000,5,4726321128757264384,1689857928087
1689857926000,1689857927000,6,4726256622184868523,1689857928087
1689857927000,1689857928000,3,4755573098020689237,1689857928663
1689857927000,1689857928000,4,4751168350108079445,1689857928663
1689857927000,1689857928000,5,4726321198091905707,1689857928663
1689857927000,1689857928000,6,4726256685971843755,1689857928663
1689857927000,1689857928000,8,4725822720809719125,1689857928666
1689857927000,1689857928000,9,4725835329010576043,1689857928666
1689857927000,1689857928000,10,4726321813916396203,1689857928666
1689857927000,1689857928000,11,4726398488052847957,1689857928666
1689857928000,1689857929000,8,4725822827792433152,1689857929664
1689857928000,1689857929000,9,4725835433230641835,1689857929664
1689857928000,1689857929000,10,4726321934936047616,1689857929664
1689857928000,1689857929000,11,4726398605101891584,1689857929664
1689857928000,1689857929000,3,4755573099656817323,1689857929682
1689857928000,1689857929000,4,4751168353520145749,1689857929682
1689857928000,1689857929000,5,4726321278354107051,1689857929682
1689857928000,1689857929000,6,4726256788335230976,1689857929682
1689857929000,1689857930000,3,4755573101025209003,1689857930710
1689857929000,1689857930000,4,4751168356422604117,1689857930710
1689857929000,1689857930000,5,4726321353639067648,1689857930710
1689857929000,1689857930000,6,4726256870644252672,1689857930710
1689857929000,1689857930000,8,4725822888861499392,1689857930721
1689857929000,1689857930000,9,4725835499858558976,1689857930721
1689857929000,1689857930000,10,4726321998957903872,1689857930721
1689857929000,1689857930000,11,4726398666719013547,1689857930721
1689857930000,1689857931000,8,4725822991224886613,1689857931723
1689857930000,1689857931000,9,4725835598139490304,1689857931723
1689857930000,1689857931000,10,4726322107965068629,1689857931723
1689857930000,1689857931000,11,4726398772773388288,1689857931723
1689857930000,1689857931000,3,4755573102238760960,1689857931739
1689857930000,1689857931000,4,4751168358695916885,1689857931739
1689857930000,1689857931000,5,4726321439381826219,1689857931739
1689857930000,1689857931000,6,4726256959529943040,1689857931739
1689857931000,1689857932000,3,4755573103838188885,1689857932767
1689857931000,1689857932000,4,4751168361917841408,1689857932767
1689857931000,1689857932000,5,4726321544161132544,1689857932767
1689857931000,1689857932000,6,4726257062832854357,1689857932767
1689857931000,1689857932000,8,4725823095265995435,1689857932774
1689857931000,1689857932000,9,4725835704395191637,1689857932774
1689857931000,1689857932000,10,4726322195363179179,1689857932774
1689857931000,1689857932000,11,4726398877932978176,1689857932774
1689857932000,1689857933000,3,4755573105198017195,1689857933794
1689857932000,1689857933000,4,4751168364660566699,1689857933794
1689857932000,1689857933000,5,4726321613820133376,1689857933794
1689857932000,1689857933000,6,4726257131753657685,1689857933794
1689857932000,1689857933000,8,4725823165115138048,1689857933796
1689857932000,1689857933000,9,4725835777678071125,1689857933796
1689857932000,1689857933000,10,4726322282761289728,1689857933796
1689857932000,1689857933000,11,4726398953139645099,1689857933796
1689857933000,1689857934000,8,4725823278462009344,1689857934823
1689857933000,1689857934000,9,4725835888620208128,1689857934823
1689857933000,1689857934000,10,4726322395537735680,1689857934823
1689857933000,1689857934000,11,4726399062415245312,1689857934823
1689857933000,1689857934000,3,4755573106892516011,1689857934826
1689857933000,1689857934000,4,4751168367997485056,1689857934826
1689857933000,1689857934000,5,4726321731786331477,1689857934826
1689857933000,1689857934000,6,4726257241767455403,1689857934826
1689857934000,1689857935000,8,4725823349250676053,1689857935847
1689857934000,1689857935000,9,4725835960147072341,1689857935847
1689857934000,1689857935000,10,4726322470397673472,1689857935847
1689857934000,1689857935000,11,4726399133751967744,1689857935847
1689857934000,1689857935000,3,4755573108085970261,1689857935852
1689857934000,1689857935000,4,4751168370514766507,1689857935852
1689857934000,1689857935000,5,4726321802574998187,1689857935852
1689857934000,1689857935000,6,4726257318103788203,1689857935852
1689857935000,1689857936000,8,4725823453090458283,1689857936875
1689857935000,1689857936000,9,4725836065463249579,1689857936875
1689857935000,1689857936000,10,4726322578286357163,1689857936875
1689857935000,1689857936000,11,4726399242692023637,1689857936875
1689857935000,1689857936000,3,4755573109465896277,1689857936880
1689857935000,1689857936000,4,4751168373320755883,1689857936880
1689857935000,1689857936000,5,4726321907152977920,1689857936880
1689857935000,1689857936000,6,4726257424348304725,1689857936880
1689857936000,1689857937000,3,4755573111122995883,1689857937901
1689857936000,1689857937000,4,4751168376677597184,1689857937901
1689857936000,1689857937000,5,4726322011194086741,1689857937901
1689857936000,1689857937000,6,4726257526174821035,1689857937901
1689857936000,1689857937000,8,4725823538833216853,1689857937904
1689857936000,1689857937000,9,4725836160936793429,1689857937904
1689857936000,1689857937000,10,4726322665684467712,1689857937904
1689857936000,1689857937000,11,4726399331029658283,1689857937904
1689857937000,1689857938000,8,4725823628837388288,1689857938904
1689857937000,1689857938000,9,4725836247003911509,1689857938904
1689857937000,1689857938000,10,4726322750062679381,1689857938904
1689857937000,1689857938000,11,4726399416034219349,1689857938904
1689857937000,1689857938000,3,4755573112314178219,1689857938920
1689857937000,1689857938000,4,4751168379443391147,1689857938920
1689857937000,1689857938000,5,4726322084432226987,1689857938920
1689857937000,1689857938000,6,4726257597310216875,1689857938920
1689857938000,1689857939000,3,4755573114005007019,1689857939949
1689857938000,1689857939000,4,4751168382734172160,1689857939949
1689857938000,1689857939000,5,4726322203326764373,1689857939949
1689857938000,1689857939000,6,4726257708800409600,1689857939949
1689857938000,1689857939000,8,4725823739041327787,1689857939959
1689857938000,1689857939000,9,4725836360160641024,1689857939959
1689857938000,1689857939000,10,4726322855423595861,1689857939959
1689857938000,1689857939000,11,4726399512547950592,1689857939959
1689857939000,1689857940000,3,4755573115139915776,1689857940972
1689857939000,1689857940000,4,4751168385190286677,1689857940972
1689857939000,1689857940000,5,4726322273187091797,1689857940972
1689857939000,1689857940000,6,4726257783660347392,1689857940972
1689857939000,1689857940000,8,4725823808163457707,1689857940987
1689857939000,1689857940000,9,4725836432425702741,1689857940987
1689857939000,1689857940000,10,4726322941345311403,1689857940987
1689857939000,1689857940000,11,4726399600907954859,1689857940987
1689857940000,1689857941000,3,4755573116808374955,1689857942000
1689857940000,1689857941000,4,4751168387956080640,1689857942000
1689857940000,1689857941000,5,4726322377765071531,1689857942000
1689857940000,1689857941000,6,4726257888428468907,1689857942000
1689857940000,1689857941000,8,4725823912003239936,1689857942010
1689857940000,1689857941000,9,4725836538670219264,1689857942010
1689857940000,1689857941000,10,4726323045543007573,1689857942010
1689857940000,1689857941000,11,4726399705676076373,1689857942010
1689857941000,1689857942000,3,4755573118453940224,1689857943026
1689857941000,1689857942000,4,4751168391247211179,1689857943026
1689857941000,1689857942000,5,4726322464246027605,1689857943026
1689857941000,1689857942000,6,4726257974909424981,1689857943026
1689857941000,1689857942000,8,4725824004468069717,1689857943032
1689857941000,1689857942000,9,4725836626079514624,1689857943032
1689857941000,1689857942000,10,4726323128030986240,1689857943032
1689857941000,1689857942000,11,4726399792895229952,1689857943032
1689857942000,1689857943000,3,4755573119390318592,1689857944055
1689857942000,1689857943000,4,4751168393119967915,1689857944055
1689857942000,1689857943000,5,4726322540817241429,1689857944055
1689857942000,1689857943000,6,4726258050742441301,1689857944055
1689857942000,1689857943000,8,4725824086038893909,1689857944061
1689857942000,1689857943000,9,4725836703579067733,1689857944061
1689857942000,1689857943000,10,4726323217095633579,1689857944061
1689857942000,1689857943000,11,4726399871871178069,1689857944061
1689857943000,1689857944000,3,4755573121309911723,1689857945048
1689857943000,1689857944000,4,4751168396661009067,1689857945048
1689857943000,1689857944000,5,4726322668145126059,1689857945048
1689857943000,1689857944000,6,4726258171404178773,1689857945048
1689857943000,1689857944000,8,4725824190057633109,1689857945091
1689857943000,1689857944000,9,4725836812239503360,1689857945091
1689857943000,1689857944000,10,4726323321315699371,1689857945091
1689857943000,1689857944000,11,4726399954012427605,1689857945091
1689857944000,1689857945000,8,4725824249348314453,1689857946013
1689857944000,1689857945000,9,4725836874762594987,1689857946013
1689857944000,1689857945000,10,4726323391891854677,1689857946013
