debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700671066350,1700671126350,100,1537815,1700671126450
1700671066400,1700671126400,100,1537815,1700671126450
1700671066350,1700671126350,13,1956882,1700671126453
1700671066400,1700671126400,13,1956882,1700671126453
1700671066350,1700671126350,47,2609515,1700671126453
1700671066400,1700671126400,47,2609515,1700671126453
1700671066350,1700671126350,24,4060067,1700671126453
1700671066400,1700671126400,24,4060067,1700671126453
1700671066350,1700671126350,63,1790697,1700671126463
1700671066400,1700671126400,63,1790697,1700671126463
1700671066350,1700671126350,54,3686359,1700671126464
1700671066400,1700671126400,54,3686359,1700671126464
1700671066450,1700671126450,100,3377528,1700671126556
1700671066500,1700671126500,100,3377528,1700671126556
1700671066450,1700671126450,47,3928273,1700671126560
1700671066500,1700671126500,47,3928273,1700671126560
1700671066450,1700671126450,24,7024626,1700671126560
1700671066500,1700671126500,24,7024626,1700671126560
1700671066450,1700671126450,13,4836223,1700671126561
1700671066500,1700671126500,13,4836223,1700671126561
1700671066450,1700671126450,63,3170431,1700671126569
1700671066500,1700671126500,63,3170431,1700671126569
1700671066450,1700671126450,54,6078365,1700671126569
1700671066500,1700671126500,54,6078365,1700671126569
1700671066550,1700671126550,100,6227615,1700671126663
1700671066600,1700671126600,100,6227615,1700671126663
1700671066550,1700671126550,24,9018914,1700671126667
1700671066600,1700671126600,24,9018914,1700671126667
1700671066550,1700671126550,47,5893980,1700671126667
1700671066600,1700671126600,47,5893980,1700671126667
1700671066550,1700671126550,13,7132224,1700671126668
1700671066600,1700671126600,13,7132224,1700671126668
1700671066550,1700671126550,63,4652742,1700671126674
1700671066600,1700671126600,63,4652742,1700671126674
1700671066550,1700671126550,54,7950483,1700671126675
1700671066600,1700671126600,54,7950483,1700671126675
1700671066650,1700671126650,100,8337268,1700671126768
1700671066700,1700671126700,100,8337268,1700671126768
1700671066650,1700671126650,24,12272884,1700671126772
1700671066700,1700671126700,24,12272884,1700671126772
1700671066650,1700671126650,13,8462223,1700671126772
1700671066700,1700671126700,13,8462223,1700671126772
1700671066650,1700671126650,47,7972933,1700671126773
1700671066700,1700671126700,47,7972933,1700671126773
1700671066650,1700671126650,63,5976893,1700671126776
1700671066700,1700671126700,63,5976893,1700671126776
1700671066650,1700671126650,54,10986211,1700671126776
1700671066700,1700671126700,54,10986211,1700671126776
1700671066750,1700671126750,13,10359872,1700671126875
1700671066800,1700671126800,13,10359872,1700671126875
1700671066750,1700671126750,24,15288634,1700671126880
1700671066800,1700671126800,24,15288634,1700671126880
1700671066750,1700671126750,100,9424635,1700671126880
1700671066800,1700671126800,100,9424635,1700671126880
1700671066750,1700671126750,47,11279083,1700671126880
1700671066800,1700671126800,47,11279083,1700671126880
1700671066750,1700671126750,63,6983597,1700671126883
1700671066800,1700671126800,63,6983597,1700671126883
1700671066750,1700671126750,54,12314917,1700671126884
1700671066800,1700671126800,54,12314917,1700671126884
1700671066850,1700671126850,24,20447901,1700671126984
1700671066900,1700671126900,24,20447901,1700671126984
1700671066850,1700671126850,13,13625900,1700671126984
1700671066900,1700671126900,13,13625900,1700671126984
1700671066850,1700671126850,47,12966872,1700671126984
1700671066900,1700671126900,47,12966872,1700671126984
1700671066850,1700671126850,100,11600467,1700671126985
1700671066900,1700671126900,100,11600467,1700671126985
1700671066850,1700671126850,63,8090618,1700671126986
1700671066900,1700671126900,63,8090618,1700671126986
1700671066850,1700671126850,54,13931430,1700671126986
1700671066900,1700671126900,54,13931430,1700671126986
1700671066950,1700671126950,54,13931430,1700671126986
1700671066950,1700671126950,24,22836410,1700671127089
1700671067000,1700671127000,24,22836410,1700671127089
1700671066950,1700671126950,13,15638738,1700671127089
1700671067000,1700671127000,13,15638738,1700671127089
1700671066950,1700671126950,100,18253052,1700671127090
1700671067000,1700671127000,100,18253052,1700671127090
1700671067050,1700671127050,100,20582874,1700671127090
1700671066950,1700671126950,47,14305376,1700671127090
1700671067000,1700671127000,47,14305376,1700671127090
1700671067050,1700671127050,47,14835595,1700671127090
1700671066950,1700671126950,63,9838850,1700671127093
1700671067000,1700671127000,63,9838850,1700671127093
1700671067000,1700671127000,54,16915147,1700671127093
1700671067050,1700671127050,54,16915147,1700671127093
1700671067100,1700671127100,100,21678927,1700671127189
1700671067150,1700671127150,100,21678927,1700671127189
1700671067050,1700671127050,24,24870382,1700671127193
1700671067100,1700671127100,24,24870382,1700671127193
1700671067150,1700671127150,24,25633559,1700671127193
1700671067050,1700671127050,13,18014219,1700671127193
1700671067100,1700671127100,13,18014219,1700671127193
1700671067150,1700671127150,13,18014219,1700671127193
1700671067100,1700671127100,47,15958535,1700671127194
1700671067150,1700671127150,47,15958535,1700671127194
1700671067050,1700671127050,63,11527918,1700671127200
1700671067100,1700671127100,63,11527918,1700671127200
1700671067100,1700671127100,54,19373408,1700671127200
1700671067150,1700671127150,54,19373408,1700671127200
1700671067200,1700671127200,100,23860124,1700671127297
1700671067250,1700671127250,100,23860124,1700671127297
1700671067200,1700671127200,24,26725009,1700671127298
1700671067250,1700671127250,24,26725009,1700671127298
1700671067200,1700671127200,13,19679755,1700671127298
1700671067250,1700671127250,13,19679755,1700671127298
