debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700672272450,1700672332450,100,1393840,1700672332738
1700672272350,1700672332350,13,1956882,1700672332841
1700672272400,1700672332400,13,1956882,1700672332841
1700672272500,1700672332500,100,1537815,1700672332842
1700672272550,1700672332550,100,1537815,1700672332842
1700672272350,1700672332350,24,4060067,1700672332927
1700672272400,1700672332400,24,4060067,1700672332927
1700672272450,1700672332450,13,4836223,1700672332938
1700672272500,1700672332500,13,4836223,1700672332938
1700672272600,1700672332600,100,3377528,1700672332939
1700672272650,1700672332650,100,3377528,1700672332939
1700672272550,1700672332550,13,7132224,1700672333032
1700672272600,1700672332600,13,7132224,1700672333032
1700672272450,1700672332450,24,7024626,1700672333041
1700672272500,1700672332500,24,7024626,1700672333041
1700672272700,1700672332700,100,6227615,1700672333042
1700672272750,1700672332750,100,6227615,1700672333042
1700672272650,1700672332650,13,8462223,1700672333132
1700672272700,1700672332700,13,8462223,1700672333132
1700672272550,1700672332550,24,9018914,1700672333132
1700672272600,1700672332600,24,9018914,1700672333132
1700672272800,1700672332800,100,8337268,1700672333145
1700672272850,1700672332850,100,8337268,1700672333145
1700672272900,1700672332900,100,9424635,1700672333217
1700672272950,1700672332950,100,9424635,1700672333217
1700672272400,1700672332400,47,2609515,1700672333217
1700672272450,1700672332450,47,2609515,1700672333217
1700672272500,1700672332500,47,2609515,1700672333217
1700672272650,1700672332650,24,12272884,1700672333218
1700672272700,1700672332700,24,12272884,1700672333218
1700672272750,1700672332750,13,10359872,1700672333218
1700672272800,1700672332800,13,10359872,1700672333218
1700672272850,1700672332850,13,10359872,1700672333218
1700672272750,1700672332750,24,15288634,1700672333300
1700672272800,1700672332800,24,15288634,1700672333300
1700672273000,1700672333000,100,11600467,1700672333301
1700672273050,1700672333050,100,11600467,1700672333301
1700672272400,1700672332400,54,3686359,1700672333301
1700672272450,1700672332450,54,3686359,1700672333301
1700672272500,1700672332500,54,3686359,1700672333301
1700672272550,1700672332550,47,3928273,1700672333302
1700672272600,1700672332600,47,3928273,1700672333302
1700672272900,1700672332900,13,13625900,1700672333303
1700672272950,1700672332950,13,13625900,1700672333303
1700672272850,1700672332850,24,20447901,1700672333303
1700672272900,1700672332900,24,20447901,1700672333303
1700672272550,1700672332550,54,6078365,1700672333304
1700672272600,1700672332600,54,6078365,1700672333304
1700672272650,1700672332650,54,7950483,1700672333304
1700672272700,1700672332700,54,7950483,1700672333304
1700672272650,1700672332650,47,5893980,1700672333305
1700672272700,1700672332700,47,5893980,1700672333305
1700672272750,1700672332750,47,7972933,1700672333305
1700672272800,1700672332800,47,7972933,1700672333305
1700672273100,1700672333100,100,18253052,1700672333388
1700672273150,1700672333150,100,18253052,1700672333388
1700672273000,1700672333000,13,15638738,1700672333389
1700672273050,1700672333050,13,15638738,1700672333389
1700672272950,1700672332950,24,22836410,1700672333389
1700672273000,1700672333000,24,22836410,1700672333389
1700672273200,1700672333200,100,21678927,1700672333389
1700672273250,1700672333250,100,21678927,1700672333389
1700672273050,1700672333050,24,24870382,1700672333390
1700672273100,1700672333100,24,24870382,1700672333390
1700672273100,1700672333100,13,18014219,1700672333519
1700672273150,1700672333150,13,18014219,1700672333519
1700672273150,1700672333150,24,26725009,1700672333519
1700672273200,1700672333200,24,26725009,1700672333519
1700672272750,1700672332750,54,10986211,1700672333520
1700672272800,1700672332800,54,10986211,1700672333520
1700672273300,1700672333300,100,23860124,1700672333615
1700672273350,1700672333350,100,23860124,1700672333615
1700672273200,1700672333200,13,19679755,1700672333616
1700672273250,1700672333250,13,19679755,1700672333616
1700672272850,1700672332850,47,11279083,1700672333616
1700672272900,1700672332900,47,11279083,1700672333616
1700672273250,1700672333250,24,28442372,1700672333616
1700672273300,1700672333300,24,28442372,1700672333616
1700672273350,1700672333350,24,28442372,1700672333616
1700672272450,1700672332450,63,1790697,1700672333617
1700672272500,1700672332500,63,1790697,1700672333617
1700672272950,1700672332950,47,12966872,1700672333617
1700672273000,1700672333000,47,12966872,1700672333617
1700672273400,1700672333400,100,25780479,1700672333691
1700672273450,1700672333450,100,25780479,1700672333691
1700672273300,1700672333300,13,21263511,1700672333691
1700672273350,1700672333350,13,21263511,1700672333691
1700672273500,1700672333500,100,27131182,1700672333692
1700672273550,1700672333550,100,27131182,1700672333692
1700672272850,1700672332850,54,12314917,1700672333692
1700672272900,1700672332900,54,12314917,1700672333692
1700672273400,1700672333400,24,31657757,1700672333692
1700672273450,1700672333450,24,31657757,1700672333692
1700672273400,1700672333400,13,26348814,1700672333773
1700672273450,1700672333450,13,26348814,1700672333773
1700672273050,1700672333050,47,14305376,1700672333773
1700672273100,1700672333100,47,14305376,1700672333773
1700672272550,1700672332550,63,3170431,1700672333774
1700672272600,1700672332600,63,3170431,1700672333774
1700672272950,1700672332950,54,13931430,1700672333775
1700672273000,1700672333000,54,13931430,1700672333775
1700672273500,1700672333500,24,33993866,1700672333775
1700672273550,1700672333550,24,33993866,1700672333775
1700672273600,1700672333600,100,29160018,1700672333775
1700672273650,1700672333650,100,29160018,1700672333775
1700672273500,1700672333500,13,28579432,1700672333898
1700672273550,1700672333550,13,28579432,1700672333898
1700672273150,1700672333150,47,15958535,1700672333899
1700672273200,1700672333200,47,15958535,1700672333899
1700672272650,1700672332650,63,4652742,1700672333899
1700672272700,1700672332700,63,4652742,1700672333899
1700672273050,1700672333050,54,16915147,1700672333900
1700672273100,1700672333100,54,16915147,1700672333900
1700672273600,1700672333600,24,35826043,1700672333901
1700672273650,1700672333650,24,35826043,1700672333901
1700672273250,1700672333250,47,17288700,1700672333901
1700672273300,1700672333300,47,17288700,1700672333901
1700672273700,1700672333700,100,33212900,1700672333902
1700672273750,1700672333750,100,33212900,1700672333902
1700672273150,1700672333150,54,19373408,1700672334017
1700672273200,1700672333200,54,19373408,1700672334017
1700672272750,1700672332750,63,5976893,1700672334018
1700672272800,1700672332800,63,5976893,1700672334018
1700672273350,1700672333350,47,18843856,1700672334018
1700672273400,1700672333400,47,18843856,1700672334018
1700672272850,1700672332850,63,6983597,1700672334018
1700672272900,1700672332900,63,6983597,1700672334018
1700672273700,1700672333700,24,37628771,1700672334018
1700672273750,1700672333750,24,37628771,1700672334018
1700672273600,1700672333600,13,29920078,1700672334019
1700672273650,1700672333650,13,29920078,1700672334019
1700672273800,1700672333800,100,35130508,1700672334074
1700672273850,1700672333850,100,35130508,1700672334074
1700672273700,1700672333700,13,32563469,1700672334085
1700672273750,1700672333750,13,32563469,1700672334085
1700672273900,1700672333900,100,36656960,1700672334086
1700672273950,1700672333950,100,36656960,1700672334086
1700672274000,1700672334000,100,36656960,1700672334086
1700672273450,1700672333450,47,20227321,1700672334204
1700672273500,1700672333500,47,20227321,1700672334204
1700672273250,1700672333250,54,21033803,1700672334209
1700672273300,1700672333300,54,21033803,1700672334209
1700672272950,1700672332950,63,8090618,1700672334209
1700672273000,1700672333000,63,8090618,1700672334209
1700672273800,1700672333800,13,35587480,1700672334210
1700672273850,1700672333850,13,35587480,1700672334210
1700672273550,1700672333550,47,22906320,1700672334210
1700672273600,1700672333600,47,22906320,1700672334210
1700672273350,1700672333350,54,23708250,1700672334211
1700672273400,1700672333400,54,23708250,1700672334211
1700672273050,1700672333050,63,9838850,1700672334212
1700672273100,1700672333100,63,9838850,1700672334212
1700672273650,1700672333650,47,24352977,1700672334212
1700672273700,1700672333700,47,24352977,1700672334212
1700672273450,1700672333450,54,26609926,1700672334212
1700672273500,1700672333500,54,26609926,1700672334212
1700672273550,1700672333550,54,31947065,1700672334212
1700672273600,1700672333600,54,31947065,1700672334212
1700672273150,1700672333150,63,11527918,1700672334212
1700672273200,1700672333200,63,11527918,1700672334212
1700672273250,1700672333250,63,12972908,1700672334212
1700672273300,1700672333300,63,12972908,1700672334212
1700672274050,1700672334050,100,38660895,1700672334212
1700672274100,1700672334100,100,38660895,1700672334212
1700672273800,1700672333800,24,39787268,1700672334320
1700672273850,1700672333850,24,39787268,1700672334320
1700672273750,1700672333750,47,26170348,1700672334320
1700672273800,1700672333800,47,26170348,1700672334320
1700672273350,1700672333350,63,14535931,1700672334320
1700672273400,1700672333400,63,14535931,1700672334320
1700672273650,1700672333650,54,34763195,1700672334321
1700672273700,1700672333700,54,34763195,1700672334321
1700672273900,1700672333900,13,39412043,1700672334321
1700672273950,1700672333950,13,39412043,1700672334321
1700672274150,1700672334150,100,41959560,1700672334423
1700672274200,1700672334200,100,41959560,1700672334423
1700672273900,1700672333900,24,41509093,1700672334433
1700672273950,1700672333950,24,41509093,1700672334433
1700672273850,1700672333850,47,27547860,1700672334433
1700672273900,1700672333900,47,27547860,1700672334433
1700672273950,1700672333950,47,28988752,1700672334434
1700672274000,1700672334000,47,28988752,1700672334434
1700672274050,1700672334050,47,28988752,1700672334434
1700672273450,1700672333450,63,16606790,1700672334434
1700672273500,1700672333500,63,16606790,1700672334434
1700672273550,1700672333550,63,16606790,1700672334434
1700672273750,1700672333750,54,38871379,1700672334435
1700672273800,1700672333800,54,38871379,1700672334435
1700672273850,1700672333850,54,38871379,1700672334435
1700672273600,1700672333600,63,17377570,1700672334435
1700672273650,1700672333650,63,17377570,1700672334435
1700672274000,1700672334000,24,44064362,1700672334435
1700672274050,1700672334050,24,44064362,1700672334435
1700672274100,1700672334100,24,44064362,1700672334435
1700672274000,1700672334000,13,41324809,1700672334435
