debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700670393450,1700670453450,13,1285595,1700670453704
1700670393500,1700670453500,24,4060067,1700670453832
1700670393550,1700670453550,24,4060067,1700670453832
1700670393600,1700670453600,24,4060067,1700670453832
1700670393500,1700670453500,13,1956882,1700670453839
1700670393550,1700670453550,13,1956882,1700670453839
1700670393550,1700670453550,100,1537815,1700670453915
1700670393600,1700670453600,100,1537815,1700670453915
1700670393600,1700670453600,13,4836223,1700670453934
1700670393650,1700670453650,13,4836223,1700670453934
1700670393650,1700670453650,24,7024626,1700670453937
1700670393700,1700670453700,24,7024626,1700670453937
1700670393450,1700670453450,47,2609515,1700670453946
1700670393500,1700670453500,47,2609515,1700670453946
1700670393500,1700670453500,54,3686359,1700670453996
1700670393550,1700670453550,54,3686359,1700670453996
1700670393700,1700670453700,13,7132224,1700670453998
1700670393750,1700670453750,13,7132224,1700670453998
1700670393650,1700670453650,100,3377528,1700670454002
1700670393700,1700670453700,100,3377528,1700670454002
1700670393550,1700670453550,63,1790697,1700670454015
1700670393600,1700670453600,63,1790697,1700670454015
1700670393800,1700670453800,13,8462223,1700670454017
1700670393850,1700670453850,13,8462223,1700670454017
1700670393750,1700670453750,24,9018914,1700670454034
1700670393800,1700670453800,24,9018914,1700670454034
1700670393550,1700670453550,47,3928273,1700670454039
1700670393600,1700670453600,47,3928273,1700670454039
1700670393650,1700670453650,47,5893980,1700670454040
1700670393700,1700670453700,47,5893980,1700670454040
1700670393750,1700670453750,47,5893980,1700670454040
1700670393900,1700670453900,13,10359872,1700670454076
1700670393950,1700670453950,13,10359872,1700670454076
1700670394000,1700670454000,13,10359872,1700670454076
1700670393750,1700670453750,100,6227615,1700670454089
1700670393800,1700670453800,100,6227615,1700670454089
1700670393800,1700670453800,47,7972933,1700670454097
1700670393850,1700670453850,47,7972933,1700670454097
1700670393600,1700670453600,54,6078365,1700670454107
1700670393650,1700670453650,54,6078365,1700670454107
1700670393700,1700670453700,54,7950483,1700670454107
1700670393750,1700670453750,54,7950483,1700670454107
1700670393850,1700670453850,24,12272884,1700670454143
1700670393900,1700670453900,24,12272884,1700670454143
1700670393650,1700670453650,63,3170431,1700670454151
1700670393700,1700670453700,63,3170431,1700670454151
1700670393850,1700670453850,100,8337268,1700670454163
1700670393900,1700670453900,100,8337268,1700670454163
