debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700665313400,1700665373400,54,3686359,1700665373507
1700665313450,1700665373450,54,3686359,1700665373507
1700665313400,1700665373400,100,1537815,1700665373508
1700665313450,1700665373450,100,1537815,1700665373508
1700665313400,1700665373400,24,4060067,1700665373512
1700665313450,1700665373450,24,4060067,1700665373512
1700665313400,1700665373400,47,2609515,1700665373514
1700665313450,1700665373450,47,2609515,1700665373514
1700665313400,1700665373400,13,1956882,1700665373517
1700665313450,1700665373450,13,1956882,1700665373517
1700665313400,1700665373400,63,1790697,1700665373518
1700665313450,1700665373450,63,1790697,1700665373518
1700665313500,1700665373500,100,3377528,1700665373610
1700665313550,1700665373550,100,3377528,1700665373610
1700665313500,1700665373500,54,6078365,1700665373611
1700665313550,1700665373550,54,6078365,1700665373611
1700665313500,1700665373500,24,7024626,1700665373619
1700665313550,1700665373550,24,7024626,1700665373619
1700665313500,1700665373500,47,3928273,1700665373621
1700665313550,1700665373550,47,3928273,1700665373621
1700665313500,1700665373500,13,4836223,1700665373625
1700665313550,1700665373550,13,4836223,1700665373625
1700665313500,1700665373500,63,3170431,1700665373626
1700665313550,1700665373550,63,3170431,1700665373626
1700665313600,1700665373600,54,7950483,1700665373713
1700665313650,1700665373650,54,7950483,1700665373713
1700665313600,1700665373600,100,6227615,1700665373717
1700665313650,1700665373650,100,6227615,1700665373717
1700665313600,1700665373600,47,5893980,1700665373721
1700665313650,1700665373650,47,5893980,1700665373721
1700665313600,1700665373600,24,9018914,1700665373722
1700665313650,1700665373650,24,9018914,1700665373722
1700665313600,1700665373600,63,4652742,1700665373726
1700665313650,1700665373650,63,4652742,1700665373726
1700665313600,1700665373600,13,7132224,1700665373731
1700665313650,1700665373650,13,7132224,1700665373731
1700665313700,1700665373700,54,10986211,1700665373820
1700665313750,1700665373750,54,10986211,1700665373820
1700665313700,1700665373700,47,7972933,1700665373824
1700665313750,1700665373750,47,7972933,1700665373824
1700665313700,1700665373700,100,8337268,1700665373826
1700665313750,1700665373750,100,8337268,1700665373826
1700665313700,1700665373700,24,12272884,1700665373829
1700665313750,1700665373750,24,12272884,1700665373829
1700665313700,1700665373700,63,5976893,1700665373834
1700665313750,1700665373750,63,5976893,1700665373834
1700665313700,1700665373700,13,8462223,1700665373837
1700665313750,1700665373750,13,8462223,1700665373837
1700665313800,1700665373800,13,8462223,1700665373837
1700665313800,1700665373800,54,12314917,1700665373927
1700665313850,1700665373850,54,12314917,1700665373927
1700665313800,1700665373800,47,11279083,1700665373927
1700665313850,1700665373850,47,11279083,1700665373927
1700665313800,1700665373800,100,9424635,1700665373931
1700665313850,1700665373850,100,9424635,1700665373931
1700665313800,1700665373800,24,15288634,1700665373935
1700665313850,1700665373850,24,15288634,1700665373935
1700665313900,1700665373900,24,20259461,1700665373935
1700665313800,1700665373800,63,6983597,1700665373939
1700665313850,1700665373850,63,6983597,1700665373939
1700665313900,1700665373900,63,6983597,1700665373939
1700665313850,1700665373850,13,10359872,1700665373942
1700665313900,1700665373900,13,10359872,1700665373942
1700665313900,1700665373900,54,13931430,1700665374033
1700665313950,1700665373950,54,13931430,1700665374033
1700665313900,1700665373900,47,12966872,1700665374035
1700665313950,1700665373950,47,12966872,1700665374035
1700665314000,1700665374000,47,14157216,1700665374035
1700665313900,1700665373900,100,11600467,1700665374038
1700665313950,1700665373950,100,11600467,1700665374038
1700665314000,1700665374000,100,11942217,1700665374038
1700665313950,1700665373950,24,20447901,1700665374042
1700665314000,1700665374000,24,20447901,1700665374042
1700665313950,1700665373950,63,8090618,1700665374049
1700665314000,1700665374000,63,8090618,1700665374049
1700665313950,1700665373950,13,13625900,1700665374050
1700665314000,1700665374000,13,13625900,1700665374050
1700665314000,1700665374000,54,16915147,1700665374138
1700665314050,1700665374050,54,16915147,1700665374138
1700665314100,1700665374100,54,16915147,1700665374138
1700665314050,1700665374050,47,14305376,1700665374143
1700665314100,1700665374100,47,14305376,1700665374143
1700665314050,1700665374050,100,18253052,1700665374145
1700665314100,1700665374100,100,18253052,1700665374145
1700665314050,1700665374050,24,22836410,1700665374148
1700665314100,1700665374100,24,22836410,1700665374148
1700665314050,1700665374050,63,9838850,1700665374150
1700665314100,1700665374100,63,9838850,1700665374150
1700665314050,1700665374050,13,15638738,1700665374158
1700665314100,1700665374100,13,15638738,1700665374158
1700665314150,1700665374150,54,19373408,1700665374243
1700665314200,1700665374200,54,19373408,1700665374243
1700665314150,1700665374150,47,15958535,1700665374248
1700665314200,1700665374200,47,15958535,1700665374248
1700665314150,1700665374150,100,21678927,1700665374250
1700665314200,1700665374200,100,21678927,1700665374250
1700665314150,1700665374150,63,11527918,1700665374252
1700665314200,1700665374200,63,11527918,1700665374252
1700665314150,1700665374150,24,24870382,1700665374255
1700665314200,1700665374200,24,24870382,1700665374255
1700665314150,1700665374150,13,18014219,1700665374259
1700665314200,1700665374200,13,18014219,1700665374259
1700665314250,1700665374250,54,21033803,1700665374351
1700665314300,1700665374300,54,21033803,1700665374351
1700665314250,1700665374250,47,17288700,1700665374353
1700665314300,1700665374300,47,17288700,1700665374353
1700665314250,1700665374250,100,23860124,1700665374356
1700665314300,1700665374300,100,23860124,1700665374356
1700665314250,1700665374250,63,12972908,1700665374357
1700665314300,1700665374300,63,12972908,1700665374357
1700665314250,1700665374250,13,19679755,1700665374361
1700665314300,1700665374300,13,19679755,1700665374361
1700665314250,1700665374250,24,26725009,1700665374361
1700665314300,1700665374300,24,26725009,1700665374361
1700665314350,1700665374350,54,23708250,1700665374453
1700665314400,1700665374400,54,23708250,1700665374453
1700665314350,1700665374350,100,25780479,1700665374457
1700665314400,1700665374400,100,25780479,1700665374457
1700665314350,1700665374350,47,18843856,1700665374459
1700665314400,1700665374400,47,18843856,1700665374459
1700665314350,1700665374350,63,14535931,1700665374459
1700665314400,1700665374400,63,14535931,1700665374459
1700665314350,1700665374350,24,28442372,1700665374466
1700665314400,1700665374400,24,28442372,1700665374466
1700665314350,1700665374350,13,21263511,1700665374468
1700665314400,1700665374400,13,21263511,1700665374468
1700665314450,1700665374450,100,27131182,1700665374558
1700665314500,1700665374500,100,27131182,1700665374558
1700665314450,1700665374450,54,26609926,1700665374562
1700665314500,1700665374500,54,26609926,1700665374562
1700665314450,1700665374450,63,16606790,1700665374563
1700665314500,1700665374500,63,16606790,1700665374563
1700665314450,1700665374450,47,20227321,1700665374565
1700665314500,1700665374500,47,20227321,1700665374565
1700665314450,1700665374450,24,31657757,1700665374572
1700665314500,1700665374500,24,31657757,1700665374572
1700665314450,1700665374450,13,26348814,1700665374576
1700665314500,1700665374500,13,26348814,1700665374576
1700665314550,1700665374550,100,29160018,1700665374661
1700665314600,1700665374600,100,29160018,1700665374661
1700665314550,1700665374550,54,31947065,1700665374664
1700665314600,1700665374600,54,31947065,1700665374664
1700665314550,1700665374550,63,17377570,1700665374666
1700665314600,1700665374600,63,17377570,1700665374666
1700665314550,1700665374550,47,22906320,1700665374671
1700665314600,1700665374600,47,22906320,1700665374671
1700665314550,1700665374550,24,33993866,1700665374674
1700665314600,1700665374600,24,33993866,1700665374674
1700665314550,1700665374550,13,28579432,1700665374681
1700665314600,1700665374600,13,28579432,1700665374681
1700665314650,1700665374650,100,33212900,1700665374771
1700665314700,1700665374700,100,33212900,1700665374771
1700665314650,1700665374650,54,34763195,1700665374771
