debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700665947300,1700666007300,63,1790697,1700666007627
1700665947350,1700666007350,63,1790697,1700666007627
1700665947350,1700666007350,47,2609515,1700666007659
1700665947400,1700666007400,47,2609515,1700666007659
1700665947350,1700666007350,24,4060067,1700666007667
1700665947400,1700666007400,24,4060067,1700666007667
1700665947400,1700666007400,54,3686359,1700666007701
1700665947450,1700666007450,54,3686359,1700666007701
1700665947400,1700666007400,63,3170431,1700666007718
1700665947450,1700666007450,63,3170431,1700666007718
1700665947350,1700666007350,100,1537815,1700666007725
1700665947400,1700666007400,100,1537815,1700666007725
1700665947450,1700666007450,47,3928273,1700666007741
1700665947500,1700666007500,47,3928273,1700666007741
1700665947450,1700666007450,24,7024626,1700666007751
1700665947500,1700666007500,24,7024626,1700666007751
1700665947550,1700666007550,47,5893980,1700666007754
1700665947600,1700666007600,47,5893980,1700666007754
1700665947500,1700666007500,54,6078365,1700666007772
1700665947550,1700666007550,54,6078365,1700666007772
1700665947600,1700666007600,54,7950483,1700666007782
1700665947650,1700666007650,54,7950483,1700666007782
1700665947500,1700666007500,63,4652742,1700666007804
1700665947550,1700666007550,63,4652742,1700666007804
1700665947650,1700666007650,47,7972933,1700666007809
1700665947700,1700666007700,47,7972933,1700666007809
1700665947600,1700666007600,63,5976893,1700666007814
1700665947650,1700666007650,63,5976893,1700666007814
1700665947700,1700666007700,63,5976893,1700666007814
1700665947550,1700666007550,24,9018914,1700666007822
1700665947600,1700666007600,24,9018914,1700666007822
1700665947650,1700666007650,24,12272884,1700666007830
1700665947700,1700666007700,24,12272884,1700666007830
1700665947450,1700666007450,100,3377528,1700666007833
1700665947500,1700666007500,100,3377528,1700666007833
1700665947700,1700666007700,54,10986211,1700666007869
1700665947750,1700666007750,54,10986211,1700666007869
1700665947750,1700666007750,63,6983597,1700666007887
1700665947800,1700666007800,63,6983597,1700666007887
1700665947750,1700666007750,47,11279083,1700666007918
1700665947800,1700666007800,47,11279083,1700666007918
1700665947850,1700666007850,47,12927248,1700666007918
1700665947550,1700666007550,100,6227615,1700666007932
1700665947600,1700666007600,100,6227615,1700666007932
1700665947800,1700666007800,54,12314917,1700666007967
1700665947850,1700666007850,54,12314917,1700666007967
1700665947400,1700666007400,13,1956882,1700666007984
1700665947450,1700666007450,13,1956882,1700666007984
1700665947850,1700666007850,63,8090618,1700666007992
1700665947900,1700666007900,63,8090618,1700666007992
1700665947650,1700666007650,100,8337268,1700666007998
1700665947700,1700666007700,100,8337268,1700666007998
1700665947900,1700666007900,47,12966872,1700666008036
1700665947950,1700666007950,47,12966872,1700666008036
1700665947750,1700666007750,24,15288634,1700666008062
1700665947800,1700666007800,24,15288634,1700666008062
1700665947900,1700666007900,54,13931430,1700666008074
1700665947950,1700666007950,54,13931430,1700666008074
1700665947950,1700666007950,63,9838850,1700666008081
1700665948000,1700666008000,63,9838850,1700666008081
1700665947750,1700666007750,100,9424635,1700666008084
1700665947800,1700666007800,100,9424635,1700666008084
1700665947500,1700666007500,13,4836223,1700666008091
1700665947550,1700666007550,13,4836223,1700666008091
1700665947850,1700666007850,24,20447901,1700666008134
1700665947900,1700666007900,24,20447901,1700666008134
1700665947850,1700666007850,100,11600467,1700666008145
1700665947900,1700666007900,100,11600467,1700666008145
1700665947950,1700666007950,24,22836410,1700666008147
1700665948000,1700666008000,24,22836410,1700666008147
1700665948000,1700666008000,47,14305376,1700666008147
1700665948050,1700666008050,47,14305376,1700666008147
1700665947950,1700666007950,100,18253052,1700666008156
1700665948000,1700666008000,100,18253052,1700666008156
1700665948050,1700666008050,63,11527918,1700666008158
1700665948100,1700666008100,63,11527918,1700666008158
1700665947600,1700666007600,13,7132224,1700666008171
1700665947650,1700666007650,13,7132224,1700666008171
1700665947700,1700666007700,13,8427946,1700666008171
1700665948000,1700666008000,54,16915147,1700666008172
1700665948050,1700666008050,54,16915147,1700666008172
1700665948100,1700666008100,54,16915147,1700666008172
1700665948050,1700666008050,24,24870382,1700666008219
1700665948100,1700666008100,24,24870382,1700666008219
1700665947750,1700666007750,13,8462223,1700666008253
1700665947800,1700666007800,13,8462223,1700666008253
1700665948100,1700666008100,47,15958535,1700666008265
1700665948150,1700666008150,47,15958535,1700666008265
1700665948150,1700666008150,63,12972908,1700666008289
1700665948200,1700666008200,63,12972908,1700666008289
1700665948150,1700666008150,54,19373408,1700666008295
1700665948200,1700666008200,54,19373408,1700666008295
1700665948150,1700666008150,24,26725009,1700666008330
1700665948200,1700666008200,24,26725009,1700666008330
1700665947850,1700666007850,13,10359872,1700666008367
1700665947900,1700666007900,13,10359872,1700666008367
1700665948250,1700666008250,63,14535931,1700666008384
1700665948300,1700666008300,63,14535931,1700666008384
1700665948250,1700666008250,54,21033803,1700666008392
1700665948300,1700666008300,54,21033803,1700666008392
1700665948050,1700666008050,100,21678927,1700666008395
1700665948100,1700666008100,100,21678927,1700666008395
1700665948250,1700666008250,24,28442372,1700666008448
1700665948300,1700666008300,24,28442372,1700666008448
1700665948350,1700666008350,24,28442372,1700666008448
1700665947950,1700666007950,13,13625900,1700666008463
1700665948000,1700666008000,13,13625900,1700666008463
1700665948150,1700666008150,100,23860124,1700666008469
1700665948200,1700666008200,100,23860124,1700666008469
1700665948250,1700666008250,100,25106244,1700666008469
1700665948200,1700666008200,47,17288700,1700666008481
1700665948250,1700666008250,47,17288700,1700666008481
1700665948350,1700666008350,54,23708250,1700666008495
1700665948400,1700666008400,54,23708250,1700666008495
1700665948350,1700666008350,63,16606790,1700666008503
1700665948400,1700666008400,63,16606790,1700666008503
1700665948400,1700666008400,24,31657757,1700666008543
1700665948450,1700666008450,24,31657757,1700666008543
1700665948050,1700666008050,13,15638738,1700666008546
1700665948100,1700666008100,13,15638738,1700666008546
1700665948300,1700666008300,100,25780479,1700666008573
1700665948350,1700666008350,100,25780479,1700666008573
1700665948300,1700666008300,47,18843856,1700666008592
1700665948350,1700666008350,47,18843856,1700666008592
1700665948450,1700666008450,54,26609926,1700666008606
1700665948500,1700666008500,54,26609926,1700666008606
1700665948450,1700666008450,63,17377570,1700666008618
1700665948500,1700666008500,63,17377570,1700666008618
1700665948150,1700666008150,13,18014219,1700666008639
1700665948200,1700666008200,13,18014219,1700666008639
1700665948500,1700666008500,24,33993866,1700666008658
1700665948550,1700666008550,24,33993866,1700666008658
1700665948400,1700666008400,47,20227321,1700666008695
1700665948450,1700666008450,47,20227321,1700666008695
1700665948550,1700666008550,63,18270662,1700666008707
1700665948600,1700666008600,63,18270662,1700666008707
1700665948400,1700666008400,100,27131182,1700666008711
1700665948450,1700666008450,100,27131182,1700666008711
1700665948250,1700666008250,13,19679755,1700666008728
1700665948300,1700666008300,13,19679755,1700666008728
1700665948550,1700666008550,54,31947065,1700666008732
1700665948600,1700666008600,54,31947065,1700666008732
1700665948600,1700666008600,24,35826043,1700666008763
1700665948650,1700666008650,24,35826043,1700666008763
1700665948650,1700666008650,63,19075125,1700666008796
1700665948700,1700666008700,63,19075125,1700666008796
1700665948500,1700666008500,47,22906320,1700666008799
1700665948550,1700666008550,47,22906320,1700666008799
1700665948350,1700666008350,13,21263511,1700666008814
1700665948400,1700666008400,13,21263511,1700666008814
1700665948450,1700666008450,13,26348814,1700666008826
1700665948500,1700666008500,13,26348814,1700666008826
1700665948700,1700666008700,24,37628771,1700666008839
1700665948750,1700666008750,24,37628771,1700666008839
1700665948500,1700666008500,100,29160018,1700666008850
1700665948550,1700666008550,100,29160018,1700666008850
1700665948650,1700666008650,54,34763195,1700666008868
1700665948700,1700666008700,54,34763195,1700666008868
1700665948750,1700666008750,54,34763195,1700666008868
1700665948600,1700666008600,47,24352977,1700666008896
1700665948650,1700666008650,47,24352977,1700666008896
1700665948750,1700666008750,63,21163787,1700666008905
1700665948800,1700666008800,63,21163787,1700666008905
1700665948550,1700666008550,13,28579432,1700666008924
1700665948600,1700666008600,13,28579432,1700666008924
1700665948800,1700666008800,54,38871379,1700666008930
1700665948850,1700666008850,54,38871379,1700666008930
1700665948800,1700666008800,24,39787268,1700666008952
1700665948850,1700666008850,24,39787268,1700666008952
1700665948600,1700666008600,100,33212900,1700666008958
1700665948650,1700666008650,100,33212900,1700666008958
