debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1700663868850,1700663928850,24,4060067,1700663928973
1700663868900,1700663928900,24,4060067,1700663928973
1700663868850,1700663928850,47,2609515,1700663928973
1700663868900,1700663928900,47,2609515,1700663928973
1700663868850,1700663928850,54,3686359,1700663928979
1700663868900,1700663928900,54,3686359,1700663928979
1700663868850,1700663928850,63,1790697,1700663928979
1700663868900,1700663928900,63,1790697,1700663928979
1700663868850,1700663928850,13,1956882,1700663928994
1700663868900,1700663928900,13,1956882,1700663928994
1700663868850,1700663928850,100,1537815,1700663928994
1700663868900,1700663928900,100,1537815,1700663928994
1700663868950,1700663928950,24,7024626,1700663929079
1700663869000,1700663929000,24,7024626,1700663929079
1700663868950,1700663928950,47,3928273,1700663929079
1700663869000,1700663929000,47,3928273,1700663929079
1700663868950,1700663928950,54,6078365,1700663929088
1700663869000,1700663929000,54,6078365,1700663929088
1700663868950,1700663928950,63,3170431,1700663929088
1700663869000,1700663929000,63,3170431,1700663929088
1700663868950,1700663928950,13,4836223,1700663929101
1700663869000,1700663929000,13,4836223,1700663929101
1700663868950,1700663928950,100,3377528,1700663929101
1700663869000,1700663929000,100,3377528,1700663929101
1700663869050,1700663929050,24,9018914,1700663929186
1700663869100,1700663929100,24,9018914,1700663929186
1700663869050,1700663929050,47,5893980,1700663929186
1700663869100,1700663929100,47,5893980,1700663929186
1700663869050,1700663929050,54,7950483,1700663929197
1700663869100,1700663929100,54,7950483,1700663929197
1700663869050,1700663929050,63,4652742,1700663929197
1700663869100,1700663929100,63,4652742,1700663929197
1700663869050,1700663929050,13,7132224,1700663929205
1700663869100,1700663929100,13,7132224,1700663929205
1700663869050,1700663929050,100,6227615,1700663929205
1700663869100,1700663929100,100,6227615,1700663929205
1700663869150,1700663929150,24,12272884,1700663929290
1700663869200,1700663929200,24,12272884,1700663929290
1700663869150,1700663929150,47,7972933,1700663929290
1700663869200,1700663929200,47,7972933,1700663929290
1700663869150,1700663929150,54,10986211,1700663929298
1700663869200,1700663929200,54,10986211,1700663929298
1700663869150,1700663929150,63,5976893,1700663929298
1700663869200,1700663929200,63,5976893,1700663929298
1700663869150,1700663929150,13,8462223,1700663929308
