debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701184750250,1701184751250,13,1956882,1701184751375
1701184750300,1701184751300,13,1956882,1701184751375
1701184750250,1701184751250,24,4060067,1701184751376
1701184750300,1701184751300,24,4060067,1701184751376
1701184750250,1701184751250,54,3686359,1701184751376
1701184750300,1701184751300,54,3686359,1701184751376
1701184750250,1701184751250,63,1790697,1701184751376
1701184750300,1701184751300,63,1790697,1701184751376
1701184750250,1701184751250,47,2609515,1701184751376
1701184750300,1701184751300,47,2609515,1701184751376
1701184750250,1701184751250,100,1537815,1701184751377
1701184750300,1701184751300,100,1537815,1701184751377
1701184750350,1701184751350,13,4836223,1701184751483
1701184750400,1701184751400,13,4836223,1701184751483
1701184750350,1701184751350,24,7024626,1701184751484
1701184750400,1701184751400,24,7024626,1701184751484
1701184750350,1701184751350,54,6078365,1701184751484
1701184750400,1701184751400,54,6078365,1701184751484
1701184750350,1701184751350,63,3170431,1701184751484
1701184750400,1701184751400,63,3170431,1701184751484
1701184750350,1701184751350,47,3928273,1701184751484
1701184750400,1701184751400,47,3928273,1701184751484
1701184750350,1701184751350,100,3377528,1701184751485
1701184750400,1701184751400,100,3377528,1701184751485
1701184750450,1701184751450,13,7132224,1701184751583
1701184750500,1701184751500,13,7132224,1701184751583
1701184750450,1701184751450,24,9018914,1701184751583
1701184750500,1701184751500,24,9018914,1701184751583
1701184750450,1701184751450,54,7950483,1701184751584
1701184750500,1701184751500,54,7950483,1701184751584
1701184750450,1701184751450,63,4652742,1701184751584
1701184750500,1701184751500,63,4652742,1701184751584
1701184750450,1701184751450,47,5893980,1701184751584
1701184750500,1701184751500,47,5893980,1701184751584
1701184750450,1701184751450,100,6227615,1701184751584
1701184750500,1701184751500,100,6227615,1701184751584
1701184750550,1701184751550,100,6227615,1701184751584
1701184750550,1701184751550,13,8462223,1701184751693
1701184750600,1701184751600,13,8462223,1701184751693
1701184750550,1701184751550,24,12272884,1701184751693
1701184750600,1701184751600,24,12272884,1701184751693
1701184750550,1701184751550,54,10986211,1701184751693
1701184750600,1701184751600,54,10986211,1701184751693
1701184750550,1701184751550,63,5976893,1701184751693
1701184750600,1701184751600,63,5976893,1701184751693
1701184750550,1701184751550,47,7972933,1701184751694
1701184750600,1701184751600,47,7972933,1701184751694
1701184750600,1701184751600,100,8337268,1701184751694
1701184750650,1701184751650,100,8337268,1701184751694
1701184750650,1701184751650,13,10359872,1701184751798
1701184750700,1701184751700,13,10359872,1701184751798
1701184750650,1701184751650,24,15288634,1701184751799
1701184750700,1701184751700,24,15288634,1701184751799
1701184750650,1701184751650,54,12314917,1701184751799
1701184750700,1701184751700,54,12314917,1701184751799
1701184750650,1701184751650,63,6983597,1701184751799
1701184750700,1701184751700,63,6983597,1701184751799
1701184750650,1701184751650,47,11279083,1701184751800
1701184750700,1701184751700,47,11279083,1701184751800
1701184750750,1701184751750,47,11419792,1701184751800
1701184750700,1701184751700,100,9424635,1701184751800
1701184750750,1701184751750,100,9424635,1701184751800
1701184750750,1701184751750,13,13625900,1701184751903
