debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701185869900,1701185870900,13,1956882,1701185871347
1701185869950,1701185870950,13,1956882,1701185871347
1701185869950,1701185870950,100,1537815,1701185871357
1701185870000,1701185871000,100,1537815,1701185871357
1701185870050,1701185871050,100,1537815,1701185871357
1701185870000,1701185871000,13,4836223,1701185871438
1701185870050,1701185871050,13,4836223,1701185871438
1701185869900,1701185870900,24,4060067,1701185871438
1701185869950,1701185870950,24,4060067,1701185871438
1701185870100,1701185871100,100,3377528,1701185871438
1701185870150,1701185871150,100,3377528,1701185871438
1701185870100,1701185871100,13,7132224,1701185871565
1701185870150,1701185871150,13,7132224,1701185871565
1701185870000,1701185871000,24,7024626,1701185871565
1701185870050,1701185871050,24,7024626,1701185871565
1701185870200,1701185871200,100,6227615,1701185871566
1701185870250,1701185871250,100,6227615,1701185871566
1701185870200,1701185871200,13,8462223,1701185871646
1701185870250,1701185871250,13,8462223,1701185871646
1701185870100,1701185871100,24,9018914,1701185871646
1701185870150,1701185871150,24,9018914,1701185871646
1701185870300,1701185871300,100,8337268,1701185871646
1701185870350,1701185871350,100,8337268,1701185871646
1701185870200,1701185871200,24,12272884,1701185871734
1701185870250,1701185871250,24,12272884,1701185871734
1701185869950,1701185870950,47,2609515,1701185871747
1701185870000,1701185871000,47,2609515,1701185871747
1701185870300,1701185871300,24,15288634,1701185871748
1701185870350,1701185871350,24,15288634,1701185871748
1701185870050,1701185871050,47,3928273,1701185871749
1701185870100,1701185871100,47,3928273,1701185871749
1701185870300,1701185871300,13,10359872,1701185871749
1701185870350,1701185871350,13,10359872,1701185871749
1701185870400,1701185871400,100,9424635,1701185871749
1701185870450,1701185871450,100,9424635,1701185871749
1701185870500,1701185871500,100,11600467,1701185871825
1701185870550,1701185871550,100,11600467,1701185871825
1701185870400,1701185871400,13,13625900,1701185871830
1701185870450,1701185871450,13,13625900,1701185871830
1701185869950,1701185870950,54,3686359,1701185871832
1701185870000,1701185871000,54,3686359,1701185871832
1701185869900,1701185870900,63,1790697,1701185871833
1701185869950,1701185870950,63,1790697,1701185871833
1701185870000,1701185871000,63,1790697,1701185871833
1701185870050,1701185871050,54,6078365,1701185871845
1701185870100,1701185871100,54,6078365,1701185871845
1701185870500,1701185871500,13,15638738,1701185871920
1701185870550,1701185871550,13,15638738,1701185871920
1701185870600,1701185871600,100,18253052,1701185871920
1701185870650,1701185871650,100,18253052,1701185871920
1701185870400,1701185871400,24,20447901,1701185871921
1701185870450,1701185871450,24,20447901,1701185871921
1701185870150,1701185871150,47,5893980,1701185871921
1701185870200,1701185871200,47,5893980,1701185871921
1701185870050,1701185871050,63,3170431,1701185871923
1701185870100,1701185871100,63,3170431,1701185871923
1701185870150,1701185871150,54,7950483,1701185871923
1701185870200,1701185871200,54,7950483,1701185871923
1701185870250,1701185871250,47,7972933,1701185871924
1701185870300,1701185871300,47,7972933,1701185871924
1701185870350,1701185871350,47,7972933,1701185871924
1701185870150,1701185871150,63,4652742,1701185871924
1701185870200,1701185871200,63,4652742,1701185871924
1701185870250,1701185871250,54,10986211,1701185871924
1701185870300,1701185871300,54,10986211,1701185871924
1701185870400,1701185871400,47,11279083,1701185871924
1701185870450,1701185871450,47,11279083,1701185871924
1701185870600,1701185871600,13,18014219,1701185871999
1701185870650,1701185871650,13,18014219,1701185871999
1701185870700,1701185871700,100,21678927,1701185872012
1701185870750,1701185871750,100,21678927,1701185872012
1701185870500,1701185871500,47,12966872,1701185872013
1701185870550,1701185871550,47,12966872,1701185872013
1701185870250,1701185871250,63,5976893,1701185872013
1701185870300,1701185871300,63,5976893,1701185872013
1701185870600,1701185871600,47,14305376,1701185872013
1701185870650,1701185871650,47,14305376,1701185872013
1701185870350,1701185871350,54,12314917,1701185872014
1701185870400,1701185871400,54,12314917,1701185872014
1701185870500,1701185871500,24,22836410,1701185872014
1701185870550,1701185871550,24,22836410,1701185872014
1701185870800,1701185871800,100,23860124,1701185872074
1701185870850,1701185871850,100,23860124,1701185872074
1701185870700,1701185871700,13,19679755,1701185872084
1701185870750,1701185871750,13,19679755,1701185872084
1701185870350,1701185871350,63,6983597,1701185872084
1701185870400,1701185871400,63,6983597,1701185872084
1701185870450,1701185871450,54,13931430,1701185872085
1701185870500,1701185871500,54,13931430,1701185872085
1701185870700,1701185871700,47,15958535,1701185872085
1701185870750,1701185871750,47,15958535,1701185872085
1701185870600,1701185871600,24,24870382,1701185872086
1701185870650,1701185871650,24,24870382,1701185872086
1701185870700,1701185871700,24,26623078,1701185872086
1701185870900,1701185871900,100,25780479,1701185872086
1701185870950,1701185871950,100,24242664,1701185872086
1701185870800,1701185871800,13,21263511,1701185872154
1701185870850,1701185871850,13,21263511,1701185872154
1701185870750,1701185871750,24,26725009,1701185872164
1701185870800,1701185871800,24,26725009,1701185872164
1701185870450,1701185871450,63,8090618,1701185872165
1701185870500,1701185871500,63,8090618,1701185872165
1701185870550,1701185871550,54,16915147,1701185872165
1701185870600,1701185871600,54,16915147,1701185872165
1701185870800,1701185871800,47,17288700,1701185872165
1701185870850,1701185871850,47,17288700,1701185872165
1701185871000,1701185872000,100,25593367,1701185872166
1701185871050,1701185872050,100,25593367,1701185872166
1701185870900,1701185871900,13,24391932,1701185872267
1701185870950,1701185871950,13,24391932,1701185872267
1701185870850,1701185871850,24,28442372,1701185872280
1701185870900,1701185871900,24,24382305,1701185872280
1701185870550,1701185871550,63,9838850,1701185872280
1701185870600,1701185871600,63,9838850,1701185872280
1701185870650,1701185871650,54,19373408,1701185872281
1701185870700,1701185871700,54,19373408,1701185872281
1701185870900,1701185871900,47,18843856,1701185872282
1701185870950,1701185871950,47,16234341,1701185872282
1701185871100,1701185872100,100,25782490,1701185872282
1701185871150,1701185872150,100,25782490,1701185872282
1701185870950,1701185871950,24,27597690,1701185872396
1701185871000,1701185872000,24,24633131,1701185872396
1701185870650,1701185871650,63,11527918,1701185872397
1701185870700,1701185871700,63,11527918,1701185872397
1701185871000,1701185872000,13,23743209,1701185872397
1701185871050,1701185872050,13,23743209,1701185872397
1701185871200,1701185872200,100,26985285,1701185872398
1701185871250,1701185872250,100,26985285,1701185872398
1701185871100,1701185872100,13,22787854,1701185872515
1701185871150,1701185872150,13,22787854,1701185872515
1701185871200,1701185872200,13,21457855,1701185872515
1701185871050,1701185872050,24,26969240,1701185872516
1701185871100,1701185872100,24,24974952,1701185872516
1701185871000,1701185872000,47,17617806,1701185872516
1701185871050,1701185872050,47,16299048,1701185872516
1701185870750,1701185871750,54,21033803,1701185872517
1701185870800,1701185871800,54,21033803,1701185872517
1701185870850,1701185871850,54,23708250,1701185872517
1701185870900,1701185871900,54,23708250,1701185872517
1701185870750,1701185871750,63,12972908,1701185872517
1701185870800,1701185871800,63,12972908,1701185872517
1701185870850,1701185871850,63,14535931,1701185872518
1701185870900,1701185871900,63,12745234,1701185872518
1701185870950,1701185871950,63,14816093,1701185872518
1701185871000,1701185872000,63,14816093,1701185872518
1701185871050,1701185872050,63,14005149,1701185872518
1701185871300,1701185872300,100,26793240,1701185872634
1701185871350,1701185872350,100,26793240,1701185872634
1701185871150,1701185872150,24,26807129,1701185872644
1701185871200,1701185872200,24,23553159,1701185872644
1701185871100,1701185872100,47,18978047,1701185872652
1701185871150,1701185872150,47,17012340,1701185872652
1701185871100,1701185872100,63,14207139,1701185872652
1701185871150,1701185872150,63,12724828,1701185872652
1701185870950,1701185871950,54,22923567,1701185872653
1701185871000,1701185872000,54,22923567,1701185872653
1701185871050,1701185872050,54,20531561,1701185872653
1701185871200,1701185872200,47,18458997,1701185872653
1701185871250,1701185872250,47,16380044,1701185872653
1701185871250,1701185872250,13,24101246,1701185872653
1701185871300,1701185872300,13,22203597,1701185872653
1701185871250,1701185872250,24,25355887,1701185872654
1701185871300,1701185872300,24,22340137,1701185872654
1701185871200,1701185872200,63,13617920,1701185872654
1701185871250,1701185872250,63,12293769,1701185872654
1701185871100,1701185872100,54,25868700,1701185872654
1701185871150,1701185872150,54,23996582,1701185872654
1701185871300,1701185872300,47,18197415,1701185872654
1701185871350,1701185872350,47,18197415,1701185872654
1701185871350,1701185872350,24,24498634,1701185872655
1701185871400,1701185872400,24,19339367,1701185872655
1701185871350,1701185872350,13,25227608,1701185872655
1701185871400,1701185872400,13,21961580,1701185872655
1701185871200,1701185872200,54,26812712,1701185872655
1701185871250,1701185872250,54,23776984,1701185872655
1701185871450,1701185872450,13,25786143,1701185872655
1701185871500,1701185872500,13,23773305,1701185872655
1701185871300,1701185872300,63,13098232,1701185872655
1701185871350,1701185872350,63,12091528,1701185872655
1701185871400,1701185872400,47,16268777,1701185872656
1701185871450,1701185872450,47,16268777,1701185872656
1701185871450,1701185872450,24,21061192,1701185872656
1701185871500,1701185872500,24,18672683,1701185872656
1701185871400,1701185872400,100,27232325,1701185872738
1701185871450,1701185872450,100,27232325,1701185872738
1701185871550,1701185872550,13,25686071,1701185872748
1701185871600,1701185872600,13,23310590,1701185872748
1701185871550,1701185872550,24,21227952,1701185872749
1701185871600,1701185872600,24,19193980,1701185872749
1701185871300,1701185872300,54,27885168,1701185872749
1701185871350,1701185872350,54,26556462,1701185872749
1701185871400,1701185872400,63,14180190,1701185872870
1701185871450,1701185872450,63,13073169,1701185872870
1701185871500,1701185872500,100,27060428,1701185872871
1701185871550,1701185872550,100,27060428,1701185872871
1701185871600,1701185872600,100,20407843,1701185872871
1701185871650,1701185872650,13,26370847,1701185872871
1701185871700,1701185872700,13,24705311,1701185872871
1701185871500,1701185872500,47,16021880,1701185872976
1701185871550,1701185872550,47,16021880,1701185872976
1701185871400,1701185872400,54,29413865,1701185872984
1701185871450,1701185872450,54,27797352,1701185872984
1701185871500,1701185872500,63,15427425,1701185872984
1701185871550,1701185872550,63,13679193,1701185872984
1701185871600,1701185872600,47,16659316,1701185872985
1701185871650,1701185872650,47,16659316,1701185872985
1701185871500,1701185872500,54,31646885,1701185872996
1701185871550,1701185872550,54,28663168,1701185872996
1701185871600,1701185872600,63,17041438,1701185872997
1701185871650,1701185872650,63,15352370,1701185872997
1701185871650,1701185872650,24,23041654,1701185872997
1701185871700,1701185872700,24,21288958,1701185872997
1701185871600,1701185872600,54,30877490,1701185872997
1701185871650,1701185872650,54,28419229,1701185872997
1701185871650,1701185872650,100,23706508,1701185872997
1701185871700,1701185872700,100,20280633,1701185872997
1701185871750,1701185872750,13,27746657,1701185872998
1701185871800,1701185872800,13,26162901,1701185872998
1701185871750,1701185872750,100,23679002,1701185873067
