debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701186351000,1701186352000,54,931252,1701186352063
1701186351000,1701186352000,47,2609515,1701186352135
1701186351050,1701186352050,47,2609515,1701186352135
1701186351100,1701186352100,47,2609515,1701186352135
1701186351050,1701186352050,24,4060067,1701186352144
1701186351100,1701186352100,24,4060067,1701186352144
1701186351050,1701186352050,54,3686359,1701186352145
1701186351100,1701186352100,54,3686359,1701186352145
1701186351050,1701186352050,13,1956882,1701186352150
1701186351100,1701186352100,13,1956882,1701186352150
1701186351050,1701186352050,63,1790697,1701186352159
1701186351100,1701186352100,63,1790697,1701186352159
1701186351050,1701186352050,100,1537815,1701186352159
1701186351100,1701186352100,100,1537815,1701186352159
1701186351150,1701186352150,47,3928273,1701186352237
1701186351200,1701186352200,47,3928273,1701186352237
1701186351150,1701186352150,24,7024626,1701186352245
1701186351200,1701186352200,24,7024626,1701186352245
1701186351150,1701186352150,54,6078365,1701186352251
1701186351200,1701186352200,54,6078365,1701186352251
1701186351150,1701186352150,13,4836223,1701186352254
1701186351200,1701186352200,13,4836223,1701186352254
1701186351150,1701186352150,63,3170431,1701186352265
1701186351200,1701186352200,63,3170431,1701186352265
1701186351150,1701186352150,100,3377528,1701186352266
1701186351200,1701186352200,100,3377528,1701186352266
1701186351250,1701186352250,47,5893980,1701186352344
1701186351300,1701186352300,47,5893980,1701186352344
1701186351250,1701186352250,24,9018914,1701186352353
1701186351300,1701186352300,24,9018914,1701186352353
1701186351250,1701186352250,54,7950483,1701186352357
1701186351300,1701186352300,54,7950483,1701186352357
1701186351250,1701186352250,13,7132224,1701186352362
1701186351300,1701186352300,13,7132224,1701186352362
1701186351250,1701186352250,63,4652742,1701186352370
1701186351300,1701186352300,63,4652742,1701186352370
1701186351250,1701186352250,100,6227615,1701186352371
1701186351300,1701186352300,100,6227615,1701186352371
1701186351350,1701186352350,47,7972933,1701186352449
1701186351400,1701186352400,47,7972933,1701186352449
1701186351350,1701186352350,24,12272884,1701186352455
1701186351400,1701186352400,24,12272884,1701186352455
1701186351350,1701186352350,54,10986211,1701186352463
1701186351400,1701186352400,54,10986211,1701186352463
1701186351350,1701186352350,13,8462223,1701186352467
1701186351400,1701186352400,13,8462223,1701186352467
1701186351350,1701186352350,63,5976893,1701186352478
1701186351400,1701186352400,63,5976893,1701186352478
1701186351350,1701186352350,100,8337268,1701186352478
1701186351400,1701186352400,100,8337268,1701186352478
1701186351450,1701186352450,47,11279083,1701186352555
1701186351500,1701186352500,47,11279083,1701186352555
1701186351450,1701186352450,24,15288634,1701186352563
1701186351500,1701186352500,24,15288634,1701186352563
1701186351450,1701186352450,13,10359872,1701186352567
1701186351500,1701186352500,13,10359872,1701186352567
1701186351450,1701186352450,54,12314917,1701186352569
1701186351500,1701186352500,54,12314917,1701186352569
1701186351450,1701186352450,63,6983597,1701186352582
1701186351500,1701186352500,63,6983597,1701186352582
1701186351450,1701186352450,100,9424635,1701186352582
1701186351500,1701186352500,100,9424635,1701186352582
1701186351550,1701186352550,47,12966872,1701186352663
1701186351600,1701186352600,47,12966872,1701186352663
1701186351550,1701186352550,24,20447901,1701186352668
1701186351600,1701186352600,24,20447901,1701186352668
1701186351550,1701186352550,54,13931430,1701186352670
1701186351600,1701186352600,54,13931430,1701186352670
1701186351550,1701186352550,13,13625900,1701186352674
1701186351600,1701186352600,13,13625900,1701186352674
1701186351550,1701186352550,63,8090618,1701186352683
1701186351600,1701186352600,63,8090618,1701186352683
1701186351550,1701186352550,100,11600467,1701186352683
1701186351600,1701186352600,100,11600467,1701186352683
1701186351650,1701186352650,100,11600467,1701186352683
1701186351650,1701186352650,47,14305376,1701186352769
1701186351700,1701186352700,47,14305376,1701186352769
1701186351650,1701186352650,24,22836410,1701186352775
1701186351700,1701186352700,24,22836410,1701186352775
1701186351650,1701186352650,54,16915147,1701186352778
1701186351700,1701186352700,54,16915147,1701186352778
1701186351650,1701186352650,13,15638738,1701186352782
1701186351700,1701186352700,13,15638738,1701186352782
1701186351650,1701186352650,63,9838850,1701186352790
1701186351700,1701186352700,63,9838850,1701186352790
1701186351700,1701186352700,100,18253052,1701186352791
1701186351750,1701186352750,100,18253052,1701186352791
1701186351750,1701186352750,47,15958535,1701186352875
1701186351800,1701186352800,47,15958535,1701186352875
1701186351750,1701186352750,24,24870382,1701186352881
1701186351800,1701186352800,24,24870382,1701186352881
1701186351750,1701186352750,54,19373408,1701186352882
1701186351800,1701186352800,54,19373408,1701186352882
1701186351750,1701186352750,13,18014219,1701186352886
1701186351800,1701186352800,13,18014219,1701186352886
1701186351850,1701186352850,13,18117032,1701186352886
1701186351750,1701186352750,63,11527918,1701186352896
1701186351800,1701186352800,63,11527918,1701186352896
1701186351800,1701186352800,100,21678927,1701186352897
1701186351850,1701186352850,100,21678927,1701186352897
1701186351850,1701186352850,47,17288700,1701186352983
1701186351900,1701186352900,47,17288700,1701186352983
1701186351850,1701186352850,54,21033803,1701186352983
1701186351900,1701186352900,54,21033803,1701186352983
1701186351950,1701186352950,54,21033803,1701186352983
1701186351900,1701186352900,13,19679755,1701186352987
1701186351950,1701186352950,13,19679755,1701186352987
1701186351850,1701186352850,24,26725009,1701186352988
1701186351900,1701186352900,24,26725009,1701186352988
1701186351950,1701186352950,24,26822208,1701186352988
1701186351850,1701186352850,63,12972908,1701186353003
1701186351900,1701186352900,63,12972908,1701186353003
1701186351950,1701186352950,63,12972908,1701186353003
1701186351900,1701186352900,100,23860124,1701186353003
1701186351950,1701186352950,100,23860124,1701186353003
1701186351950,1701186352950,47,18843856,1701186353089
1701186352000,1701186353000,47,16234341,1701186353089
1701186352050,1701186353050,47,16234341,1701186353089
1701186352000,1701186353000,24,28442372,1701186353089
1701186352050,1701186353050,24,24382305,1701186353089
1701186352000,1701186353000,54,22776998,1701186353091
1701186352050,1701186353050,54,20021891,1701186353091
1701186352000,1701186353000,13,21263511,1701186353095
1701186352050,1701186353050,13,19306629,1701186353095
1701186352000,1701186353000,63,14535931,1701186353108
1701186352050,1701186353050,63,12745234,1701186353108
1701186352000,1701186353000,100,25780479,1701186353109
1701186352050,1701186353050,100,24242664,1701186353109
1701186352100,1701186353100,47,17617806,1701186353194
1701186352150,1701186353150,47,16299048,1701186353194
