debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701186964550,1701186965550,13,1956882,1701186965948
1701186964600,1701186965600,13,1956882,1701186965948
1701186964600,1701186965600,54,3686359,1701186965965
1701186964650,1701186965650,54,3686359,1701186965965
1701186964550,1701186965550,24,2088338,1701186966024
1701186964650,1701186965650,13,4836223,1701186966030
1701186964700,1701186965700,13,4836223,1701186966030
1701186964650,1701186965650,100,1537815,1701186966043
1701186964700,1701186965700,100,1537815,1701186966043
1701186964700,1701186965700,54,6078365,1701186966088
1701186964750,1701186965750,54,6078365,1701186966088
1701186964750,1701186965750,13,7132224,1701186966105
1701186964800,1701186965800,13,7132224,1701186966105
1701186964600,1701186965600,24,4060067,1701186966127
1701186964650,1701186965650,24,4060067,1701186966127
1701186964600,1701186965600,63,1790697,1701186966160
1701186964650,1701186965650,63,1790697,1701186966160
1701186964750,1701186965750,100,3377528,1701186966161
1701186964800,1701186965800,100,3377528,1701186966161
1701186964800,1701186965800,54,7950483,1701186966172
1701186964850,1701186965850,54,7950483,1701186966172
1701186964850,1701186965850,13,8462223,1701186966178
1701186964900,1701186965900,13,8462223,1701186966178
1701186964950,1701186965950,13,8462223,1701186966178
1701186964600,1701186965600,47,2609515,1701186966199
1701186964650,1701186965650,47,2609515,1701186966199
1701186964700,1701186965700,24,7024626,1701186966211
1701186964750,1701186965750,24,7024626,1701186966211
1701186964900,1701186965900,54,10986211,1701186966291
1701186964950,1701186965950,54,10986211,1701186966291
1701186965000,1701186966000,13,10359872,1701186966293
1701186965050,1701186966050,13,10359872,1701186966293
1701186964850,1701186965850,100,6227615,1701186966304
1701186964900,1701186965900,100,6227615,1701186966304
1701186964800,1701186965800,24,9018914,1701186966313
1701186964850,1701186965850,24,9018914,1701186966313
1701186964700,1701186965700,63,3170431,1701186966314
1701186964750,1701186965750,63,3170431,1701186966314
1701186964950,1701186965950,100,8337268,1701186966314
1701186965000,1701186966000,100,8337268,1701186966314
1701186964700,1701186965700,47,3928273,1701186966318
1701186964750,1701186965750,47,3928273,1701186966318
1701186964800,1701186965800,47,4778432,1701186966318
1701186965100,1701186966100,13,13625900,1701186966383
1701186965150,1701186966150,13,13625900,1701186966383
1701186965000,1701186966000,54,12314917,1701186966385
1701186965050,1701186966050,54,12314917,1701186966385
1701186965100,1701186966100,54,12314917,1701186966385
1701186965050,1701186966050,100,9424635,1701186966391
1701186965100,1701186966100,100,9424635,1701186966391
1701186965150,1701186966150,100,9424635,1701186966391
1701186964800,1701186965800,63,4652742,1701186966391
1701186964850,1701186965850,63,4652742,1701186966391
1701186964850,1701186965850,47,5893980,1701186966392
1701186964900,1701186965900,47,5893980,1701186966392
1701186964900,1701186965900,24,12272884,1701186966430
1701186964950,1701186965950,24,12272884,1701186966430
1701186965150,1701186966150,54,13931430,1701186966472
1701186965200,1701186966200,54,13931430,1701186966472
1701186965200,1701186966200,100,11600467,1701186966481
1701186965250,1701186966250,100,11600467,1701186966481
1701186964900,1701186965900,63,5976893,1701186966482
1701186964950,1701186965950,63,5976893,1701186966482
1701186964950,1701186965950,47,7972933,1701186966488
1701186965000,1701186966000,47,7972933,1701186966488
1701186965200,1701186966200,13,15638738,1701186966504
1701186965250,1701186966250,13,15638738,1701186966504
1701186965000,1701186966000,24,15288634,1701186966526
1701186965050,1701186966050,24,15288634,1701186966526
1701186965250,1701186966250,54,16915147,1701186966564
1701186965300,1701186966300,54,16915147,1701186966564
1701186965300,1701186966300,100,18253052,1701186966582
1701186965350,1701186966350,100,18253052,1701186966582
1701186965000,1701186966000,63,6983597,1701186966582
1701186965050,1701186966050,63,6983597,1701186966582
1701186965100,1701186966100,24,20447901,1701186966607
1701186965150,1701186966150,24,20447901,1701186966607
1701186965300,1701186966300,13,18014219,1701186966624
1701186965350,1701186966350,13,18014219,1701186966624
1701186965350,1701186966350,54,19373408,1701186966633
1701186965400,1701186966400,54,19373408,1701186966633
1701186965050,1701186966050,47,11279083,1701186966637
1701186965100,1701186966100,47,11279083,1701186966637
1701186965400,1701186966400,100,21678927,1701186966681
1701186965450,1701186966450,100,21678927,1701186966681
1701186965100,1701186966100,63,8090618,1701186966694
1701186965150,1701186966150,63,8090618,1701186966694
1701186965200,1701186966200,24,22836410,1701186966711
1701186965250,1701186966250,24,22836410,1701186966711
1701186965400,1701186966400,13,19679755,1701186966726
1701186965450,1701186966450,13,19679755,1701186966726
1701186965150,1701186966150,47,12966872,1701186966747
1701186965200,1701186966200,47,12966872,1701186966747
1701186965450,1701186966450,54,21033803,1701186966772
1701186965500,1701186966500,54,21033803,1701186966772
1701186965500,1701186966500,100,23860124,1701186966789
1701186965550,1701186966550,100,23860124,1701186966789
1701186965200,1701186966200,63,9838850,1701186966790
1701186965250,1701186966250,63,9838850,1701186966790
1701186965300,1701186966300,24,24870382,1701186966792
1701186965350,1701186966350,24,24870382,1701186966792
1701186965500,1701186966500,13,21263511,1701186966808
1701186965550,1701186966550,13,19306629,1701186966808
1701186965600,1701186966600,100,25780479,1701186966875
1701186965650,1701186966650,100,24242664,1701186966875
1701186965300,1701186966300,63,11527918,1701186966876
1701186965350,1701186966350,63,11527918,1701186966876
1701186965400,1701186966400,63,12972908,1701186966876
1701186965450,1701186966450,63,12972908,1701186966876
1701186965500,1701186966500,63,14535931,1701186966876
1701186965550,1701186966550,63,14535931,1701186966876
1701186965700,1701186966700,100,25593367,1701186966876
1701186965750,1701186966750,100,23753654,1701186966876
1701186965550,1701186966550,54,23708250,1701186966884
1701186965600,1701186966600,54,20021891,1701186966884
1701186965250,1701186966250,47,14305376,1701186966908
1701186965300,1701186966300,47,14305376,1701186966908
1701186965600,1701186966600,13,24391932,1701186966908
1701186965650,1701186966650,13,21512591,1701186966908
1701186965400,1701186966400,24,26725009,1701186966912
1701186965450,1701186966450,24,26725009,1701186966912
1701186965500,1701186966500,24,28442372,1701186966912
1701186965550,1701186966550,24,26354034,1701186966912
1701186965600,1701186966600,63,14816093,1701186966965
1701186965650,1701186966650,63,14816093,1701186966965
1701186965700,1701186966700,63,13436359,1701186966965
