debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701180820250,1701180821250,24,4060067,1701180821386
1701180820300,1701180821300,24,4060067,1701180821386
1701180820250,1701180821250,47,2609515,1701180821386
1701180820300,1701180821300,47,2609515,1701180821386
1701180820250,1701180821250,54,3686359,1701180821390
1701180820300,1701180821300,54,3686359,1701180821390
1701180820250,1701180821250,63,1790697,1701180821390
1701180820300,1701180821300,63,1790697,1701180821390
1701180820250,1701180821250,13,1956882,1701180821395
1701180820300,1701180821300,13,1956882,1701180821395
1701180820250,1701180821250,100,1537815,1701180821395
1701180820300,1701180821300,100,1537815,1701180821395
1701180820350,1701180821350,24,7024626,1701180821492
1701180820400,1701180821400,24,7024626,1701180821492
1701180820350,1701180821350,47,3928273,1701180821492
1701180820400,1701180821400,47,3928273,1701180821492
1701180820350,1701180821350,54,6078365,1701180821493
1701180820400,1701180821400,54,6078365,1701180821493
1701180820350,1701180821350,63,3170431,1701180821493
1701180820400,1701180821400,63,3170431,1701180821493
1701180820350,1701180821350,13,4836223,1701180821500
1701180820400,1701180821400,13,4836223,1701180821500
1701180820350,1701180821350,100,3377528,1701180821500
1701180820400,1701180821400,100,3377528,1701180821500
1701180820450,1701180821450,24,9018914,1701180821596
1701180820500,1701180821500,24,9018914,1701180821596
1701180820450,1701180821450,47,5893980,1701180821596
1701180820500,1701180821500,47,5893980,1701180821596
1701180820450,1701180821450,54,7950483,1701180821603
1701180820450,1701180821450,63,3170431,1701180821603
1701180820500,1701180821500,54,7950483,1701180821604
1701180820500,1701180821500,63,4652742,1701180821604
1701180820450,1701180821450,13,7132224,1701180821607
1701180820500,1701180821500,13,7132224,1701180821607
1701180820450,1701180821450,100,6227615,1701180821607
1701180820500,1701180821500,100,6227615,1701180821607
1701180820550,1701180821550,24,12272884,1701180821700
1701180820600,1701180821600,24,12272884,1701180821700
1701180820550,1701180821550,47,7972933,1701180821700
1701180820600,1701180821600,47,7972933,1701180821700
1701180820550,1701180821550,54,10986211,1701180821705
1701180820550,1701180821550,63,4652742,1701180821705
1701180820600,1701180821600,54,10986211,1701180821706
1701180820600,1701180821600,63,5976893,1701180821706
1701180820550,1701180821550,13,8462223,1701180821708
1701180820550,1701180821550,100,7425086,1701180821708
1701180820600,1701180821600,13,8462223,1701180821708
1701180820650,1701180821650,13,8462223,1701180821708
1701180820600,1701180821600,100,8337268,1701180821708
1701180820650,1701180821650,100,8337268,1701180821708
1701180820650,1701180821650,24,12272884,1701180821811
1701180820650,1701180821650,47,11279083,1701180821811
1701180820700,1701180821700,24,15288634,1701180821811
1701180820700,1701180821700,47,11279083,1701180821811
1701180820650,1701180821650,54,12314917,1701180821814
1701180820650,1701180821650,63,5976893,1701180821814
1701180820700,1701180821700,54,12314917,1701180821814
1701180820750,1701180821750,54,12314917,1701180821814
1701180820700,1701180821700,63,6983597,1701180821814
1701180820750,1701180821750,63,6983597,1701180821814
1701180820700,1701180821700,13,10359872,1701180821819
1701180820750,1701180821750,13,10359872,1701180821819
1701180820700,1701180821700,100,9424635,1701180821819
1701180820750,1701180821750,100,9424635,1701180821819
1701180820750,1701180821750,24,15288634,1701180821917
1701180820750,1701180821750,47,12966872,1701180821917
1701180820800,1701180821800,24,20447901,1701180821917
1701180820850,1701180821850,24,20447901,1701180821917
1701180820800,1701180821800,47,12966872,1701180821917
