debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701181526450,1701181527450,63,1790697,1701181527584
1701181526450,1701181527450,13,1956882,1701181527590
1701181526500,1701181527500,13,1956882,1701181527590
1701181526450,1701181527450,24,4060067,1701181527609
1701181526500,1701181527500,24,4060067,1701181527609
1701181526500,1701181527500,47,2609515,1701181527609
1701181526500,1701181527500,54,3686359,1701181527635
1701181526550,1701181527550,54,3686359,1701181527635
1701181526500,1701181527500,63,1790697,1701181527635
1701181526550,1701181527550,63,1790697,1701181527635
1701181526550,1701181527550,13,4836223,1701181527681
1701181526600,1701181527600,13,4836223,1701181527681
1701181526550,1701181527550,100,1537815,1701181527681
1701181526600,1701181527600,100,1537815,1701181527681
1701181526600,1701181527600,54,3686359,1701181527686
1701181526600,1701181527600,63,3170431,1701181527686
1701181526550,1701181527550,24,7024626,1701181527711
1701181526550,1701181527550,47,2609515,1701181527711
1701181526600,1701181527600,24,7024626,1701181527712
1701181526650,1701181527650,24,7024626,1701181527712
1701181526600,1701181527600,47,3928273,1701181527712
1701181526650,1701181527650,47,3928273,1701181527712
1701181526650,1701181527650,54,6078365,1701181527735
1701181526650,1701181527650,63,3170431,1701181527735
1701181526650,1701181527650,13,7132224,1701181527784
1701181526700,1701181527700,13,7132224,1701181527784
1701181526650,1701181527650,100,3377528,1701181527784
1701181526700,1701181527700,100,3377528,1701181527784
1701181526700,1701181527700,54,6078365,1701181527790
1701181526700,1701181527700,63,4652742,1701181527790
1701181526700,1701181527700,24,9018914,1701181527814
1701181526750,1701181527750,24,9018914,1701181527814
1701181526700,1701181527700,47,5893980,1701181527814
1701181526750,1701181527750,47,5893980,1701181527814
1701181526750,1701181527750,54,7950483,1701181527838
1701181526750,1701181527750,63,4652742,1701181527838
1701181526750,1701181527750,13,7132224,1701181527842
1701181526750,1701181527750,100,6227615,1701181527842
1701181526800,1701181527800,13,8462223,1701181527889
1701181526800,1701181527800,100,6227615,1701181527889
1701181526800,1701181527800,54,7950483,1701181527893
1701181526800,1701181527800,63,5976893,1701181527893
1701181526800,1701181527800,24,12272884,1701181527917
1701181526850,1701181527850,24,12272884,1701181527917
1701181526800,1701181527800,47,7972933,1701181527917
1701181526850,1701181527850,47,7972933,1701181527917
1701181526850,1701181527850,54,10986211,1701181527942
1701181526850,1701181527850,63,5976893,1701181527942
1701181526850,1701181527850,13,8462223,1701181527946
1701181526850,1701181527850,100,8337268,1701181527946
1701181526900,1701181527900,13,10359872,1701181527992
1701181526900,1701181527900,100,8337268,1701181527992
1701181526900,1701181527900,54,10986211,1701181528000
1701181526900,1701181527900,63,6983597,1701181528000
1701181526900,1701181527900,24,15288634,1701181528023
1701181526950,1701181527950,24,15288634,1701181528023
1701181526900,1701181527900,47,11279083,1701181528023
1701181526950,1701181527950,47,11279083,1701181528023
1701181526950,1701181527950,54,12314917,1701181528048
1701181526950,1701181527950,63,6983597,1701181528048
1701181526950,1701181527950,13,10359872,1701181528051
1701181526950,1701181527950,100,9424635,1701181528051
1701181527000,1701181528000,13,13625900,1701181528097
1701181527000,1701181528000,100,9424635,1701181528097
1701181527000,1701181528000,54,12314917,1701181528101
1701181527000,1701181528000,63,8090618,1701181528101
1701181527000,1701181528000,24,20447901,1701181528124
1701181527050,1701181528050,24,20447901,1701181528124
1701181527000,1701181528000,47,12966872,1701181528124
1701181527050,1701181528050,47,12966872,1701181528124
1701181527050,1701181528050,54,13931430,1701181528149
1701181527050,1701181528050,63,8090618,1701181528149
1701181527050,1701181528050,13,13625900,1701181528153
1701181527050,1701181528050,100,11600467,1701181528153
1701181527100,1701181528100,13,15638738,1701181528200
1701181527100,1701181528100,100,11600467,1701181528200
1701181527100,1701181528100,54,13931430,1701181528208
1701181527100,1701181528100,63,9838850,1701181528208
1701181527100,1701181528100,24,22836410,1701181528227
1701181527150,1701181528150,24,22836410,1701181528227
1701181527100,1701181528100,47,14305376,1701181528227
1701181527150,1701181528150,47,14305376,1701181528227
1701181527150,1701181528150,54,16915147,1701181528254
1701181527150,1701181528150,63,9838850,1701181528254
1701181527150,1701181528150,13,15638738,1701181528256
1701181527150,1701181528150,100,18253052,1701181528256
1701181527200,1701181528200,13,18014219,1701181528303
1701181527200,1701181528200,100,18253052,1701181528303
1701181527200,1701181528200,54,16915147,1701181528308
1701181527200,1701181528200,63,11527918,1701181528308
1701181527200,1701181528200,24,24870382,1701181528331
1701181527250,1701181528250,24,24870382,1701181528331
1701181527200,1701181528200,47,15958535,1701181528331
1701181527250,1701181528250,47,15958535,1701181528331
1701181527250,1701181528250,54,19373408,1701181528357
1701181527250,1701181528250,63,11527918,1701181528357
1701181527250,1701181528250,13,18014219,1701181528360
1701181527250,1701181528250,100,21678927,1701181528360
1701181527300,1701181528300,13,19679755,1701181528406
1701181527300,1701181528300,100,21678927,1701181528406
1701181527300,1701181528300,54,19373408,1701181528415
1701181527300,1701181528300,63,12972908,1701181528415
1701181527300,1701181528300,24,26725009,1701181528436
1701181527300,1701181528300,47,16297252,1701181528436
1701181527350,1701181528350,24,26725009,1701181528437
1701181527350,1701181528350,47,17288700,1701181528437
1701181527350,1701181528350,54,21033803,1701181528463
1701181527350,1701181528350,63,12972908,1701181528463
1701181527350,1701181528350,13,19679755,1701181528464
1701181527350,1701181528350,100,23860124,1701181528464
1701181527400,1701181528400,13,21263511,1701181528510
1701181527400,1701181528400,100,23860124,1701181528510
1701181527400,1701181528400,54,21033803,1701181528518
