debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701182118000,1701182119000,47,2609515,1701182119277
1701182118050,1701182119050,13,1956882,1701182119435
1701182118100,1701182119100,13,1956882,1701182119435
1701182118050,1701182119050,24,4060067,1701182119435
1701182118100,1701182119100,24,4060067,1701182119435
1701182118050,1701182119050,47,2609515,1701182119435
1701182118100,1701182119100,47,2609515,1701182119435
1701182118050,1701182119050,54,3686359,1701182119435
1701182118100,1701182119100,54,3686359,1701182119435
1701182118050,1701182119050,63,1790697,1701182119435
1701182118100,1701182119100,63,1790697,1701182119435
1701182118050,1701182119050,100,1537815,1701182119435
1701182118100,1701182119100,100,1537815,1701182119435
1701182118150,1701182119150,13,4836223,1701182119620
1701182118200,1701182119200,13,4836223,1701182119620
1701182118150,1701182119150,24,7024626,1701182119620
1701182118200,1701182119200,24,7024626,1701182119620
1701182118150,1701182119150,47,3928273,1701182119620
1701182118200,1701182119200,47,3928273,1701182119620
1701182118150,1701182119150,54,6078365,1701182119620
1701182118200,1701182119200,54,6078365,1701182119620
1701182118150,1701182119150,63,3170431,1701182119620
1701182118200,1701182119200,63,3170431,1701182119620
1701182118150,1701182119150,100,3377528,1701182119620
1701182118200,1701182119200,100,3377528,1701182119620
1701182118250,1701182119250,13,7132224,1701182119805
1701182118300,1701182119300,13,7132224,1701182119805
1701182118250,1701182119250,24,9018914,1701182119805
1701182118300,1701182119300,24,9018914,1701182119805
1701182118250,1701182119250,47,5893980,1701182119805
1701182118300,1701182119300,47,5893980,1701182119805
1701182118250,1701182119250,54,7950483,1701182119805
1701182118300,1701182119300,54,7950483,1701182119805
1701182118250,1701182119250,63,4652742,1701182119805
1701182118300,1701182119300,63,4652742,1701182119805
1701182118250,1701182119250,100,6227615,1701182119805
1701182118300,1701182119300,100,6227615,1701182119805
1701182118350,1701182119350,13,8462223,1701182119885
1701182118400,1701182119400,13,8462223,1701182119885
1701182118350,1701182119350,24,12272884,1701182119885
1701182118400,1701182119400,24,12272884,1701182119885
1701182118350,1701182119350,47,7972933,1701182119885
1701182118400,1701182119400,47,7972933,1701182119885
1701182118350,1701182119350,54,10986211,1701182119885
1701182118400,1701182119400,54,10986211,1701182119885
