debs$start:INTEGER(64 bits),debs$end:INTEGER(64 bits),debs$sid:INTEGER(64 bits),debs$absolute_v:INTEGER(64 bits),timestamp
1701183046700,1701183047700,47,2609515,1701183047951
1701183046700,1701183047700,54,3686359,1701183047951
1701183046750,1701183047750,13,1956882,1701183048011
1701183046750,1701183047750,24,4060067,1701183048011
1701183046750,1701183047750,47,2609515,1701183048011
1701183046750,1701183047750,54,3686359,1701183048011
1701183046750,1701183047750,63,1790697,1701183048011
1701183046800,1701183047800,13,1956882,1701183048117
1701183046800,1701183047800,24,4060067,1701183048117
1701183046800,1701183047800,47,2609515,1701183048117
1701183046800,1701183047800,54,6078365,1701183048117
1701183046800,1701183047800,63,1790697,1701183048117
1701183046800,1701183047800,100,1537815,1701183048117
1701183046850,1701183047850,13,4836223,1701183048278
1701183046850,1701183047850,24,7024626,1701183048278
1701183046850,1701183047850,47,3928273,1701183048278
1701183046850,1701183047850,54,6078365,1701183048278
1701183046850,1701183047850,63,3170431,1701183048278
1701183046850,1701183047850,100,1537815,1701183048278
1701183046900,1701183047900,13,4836223,1701183048384
1701183046900,1701183047900,24,7024626,1701183048384
1701183046900,1701183047900,47,3928273,1701183048384
1701183046900,1701183047900,54,7950483,1701183048384
1701183046900,1701183047900,63,3170431,1701183048384
1701183046900,1701183047900,100,3377528,1701183048384
1701183046950,1701183047950,13,7132224,1701183048544
1701183046950,1701183047950,24,9018914,1701183048544
1701183046950,1701183047950,47,5893980,1701183048544
1701183046950,1701183047950,54,7950483,1701183048544
1701183046950,1701183047950,63,4652742,1701183048544
1701183046950,1701183047950,100,3377528,1701183048544
1701183047000,1701183048000,13,7132224,1701183048598
1701183047000,1701183048000,24,9018914,1701183048598
1701183047000,1701183048000,47,5893980,1701183048598
1701183047000,1701183048000,54,10986211,1701183048598
1701183047000,1701183048000,63,4652742,1701183048598
1701183047000,1701183048000,100,6227615,1701183048598
1701183047050,1701183048050,13,8462223,1701183048759
1701183047050,1701183048050,24,12272884,1701183048759
1701183047050,1701183048050,47,7972933,1701183048759
