wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689848510000,1689848511000,8,4725588494320839339,1689848511296
1689848510000,1689848511000,9,4725597546848015701,1689848511296
1689848510000,1689848511000,10,4726090137963273330,1689848511296
1689848510000,1689848511000,11,4726168197342254421,1689848511296
1689848510000,1689848511000,3,4755569336870677163,1689848511300
1689848510000,1689848511000,4,4751160926782910919,1689848511300
1689848510000,1689848511000,5,4726079846979294549,1689848511300
1689848510000,1689848511000,6,4726020544647106105,1689848511300
1689848511000,1689848512000,3,4755569339438523278,1689848512275
1689848511000,1689848512000,4,4751160931929292800,1689848512275
1689848511000,1689848512000,5,4726079999494130043,1689848512275
1689848511000,1689848512000,6,4726020708705908964,1689848512275
1689848511000,1689848512000,8,4725588647925572494,1689848512299
1689848511000,1689848512000,9,4725597690233560178,1689848512299
1689848511000,1689848512000,10,4726090300133085943,1689848512299
1689848511000,1689848512000,11,4726168338413785847,1689848512299
1689848512000,1689848513000,3,4755569342130023689,1689848513259
1689848512000,1689848513000,4,4751160936946330889,1689848513259
1689848512000,1689848513000,5,4726080165961395465,1689848513259
1689848512000,1689848513000,6,4726020876371191884,1689848513259
1689848512000,1689848513000,8,4725588814278504296,1689848513284
1689848512000,1689848513000,9,4725597861719077319,1689848513284
1689848512000,1689848513000,10,4726090457270976512,1689848513284
1689848512000,1689848513000,11,4726168510597732276,1689848513284
1689848513000,1689848514000,8,4725589009241560405,1689848514235
1689848513000,1689848514000,9,4725598066234583116,1689848514235
1689848513000,1689848514000,10,4726090646183671429,1689848514235
1689848513000,1689848514000,11,4726168714345214407,1689848514235
1689848513000,1689848514000,3,4755569345061890731,1689848514272
1689848513000,1689848514000,4,4751160943365402472,1689848514272
1689848513000,1689848514000,5,4726080370616090017,1689848514272
1689848513000,1689848514000,6,4726021077014267676,1689848514272
1689848514000,1689848515000,3,4755569347767323610,1689848515255
1689848514000,1689848515000,4,4751160948930700174,1689848515255
1689848514000,1689848515000,5,4726080552670010482,1689848515255
1689848514000,1689848515000,6,4726021257315901137,1689848515255
1689848514000,1689848515000,8,4725589174958822135,1689848515304
1689848514000,1689848515000,9,4725598246138534419,1689848515304
1689848514000,1689848515000,10,4726090822568135642,1689848515304
1689848514000,1689848515000,11,4726168887955845575,1689848515304
1689848515000,1689848516000,8,4725589361141180492,1689848516235
1689848515000,1689848516000,9,4725598423435182080,1689848516235
1689848515000,1689848516000,10,4726091017365283726,1689848516235
1689848515000,1689848516000,11,4726169079231021056,1689848516235
1689848515000,1689848516000,3,4755569350515252945,1689848516241
1689848515000,1689848516000,4,4751160954444345799,1689848516241
1689848515000,1689848516000,5,4726080731950097901,1689848516241
1689848515000,1689848516000,6,4726021429023561045,1689848516241
1689848516000,1689848517000,8,4725589552423812513,1689848517225
1689848516000,1689848517000,9,4725598613571992386,1689848517225
1689848516000,1689848517000,10,4726091211277589011,1689848517225
1689848516000,1689848517000,11,4726169272651194671,1689848517225
1689848516000,1689848517000,3,4755569353774576678,1689848517282
1689848516000,1689848517000,4,4751160960744656441,1689848517282
1689848516000,1689848517000,5,4726080930048007889,1689848517282
1689848516000,1689848517000,6,4726021624150350355,1689848517282
1689848517000,1689848518000,8,4725589726069240870,1689848518255
1689848517000,1689848518000,9,4725598787190080095,1689848518255
1689848517000,1689848518000,10,4726091378241957129,1689848518255
1689848517000,1689848518000,11,4726169441596517035,1689848518255
1689848517000,1689848518000,3,4755569356395123447,1689848518258
1689848517000,1689848518000,4,4751160966226844786,1689848518258
1689848517000,1689848518000,5,4726081097345434814,1689848518258
1689848517000,1689848518000,6,4726021795002061559,1689848518258
1689848518000,1689848519000,8,4725589928327900425,1689848519251
