wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689847647000,1689847648000,1,4757893024895598592,1689847649989
1689847647000,1689847648000,3,4755568176035878229,1689847649989
1689847647000,1689847648000,4,4751158657087963136,1689847649989
1689847647000,1689847648000,5,4726007115410309120,1689847649989
1689847647000,1689847648000,6,4725948875206382933,1689847649989
1689847647000,1689847648000,8,4725517739409888597,1689847649989
1689847647000,1689847648000,9,4725526701373652992,1689847649989
1689847647000,1689847648000,10,4726019517083637077,1689847649989
1689847647000,1689847648000,11,4726098387245815125,1689847649989
1689847648000,1689847649000,1,4757893031392706560,1689847651004
1689847648000,1689847649000,3,4755568177610218003,1689847651004
1689847648000,1689847649000,4,4751158659946614329,1689847651004
1689847648000,1689847649000,5,4726007196835730773,1689847651004
1689847648000,1689847649000,6,4725948951223327251,1689847651004
1689847648000,1689847649000,8,4725517813204783863,1689847651004
1689847648000,1689847649000,9,4725526773324297254,1689847651004
1689847648000,1689847649000,10,4726019587821350760,1689847651004
1689847648000,1689847649000,11,4726098485366430834,1689847651004
1689847649000,1689847650000,1,4757893039673180160,1689847652020
1689847649000,1689847650000,3,4755568180592640000,1689847652020
1689847649000,1689847650000,4,4751158665844815493,1689847652020
1689847649000,1689847650000,5,4726007393757744333,1689847652020
1689847649000,1689847650000,6,4725949137902788305,1689847652020
1689847649000,1689847650000,8,4725517999501475840,1689847652020
1689847649000,1689847650000,9,4725526962857127784,1689847652020
1689847649000,1689847650000,10,4726019778522372627,1689847652020
1689847649000,1689847650000,11,4726098676604323612,1689847652020
1689847650000,1689847651000,1,4757893047730569216,1689847653033
1689847650000,1689847651000,3,4755568182868166428,1689847653033
1689847650000,1689847651000,4,4751158670431519934,1689847653033
1689847650000,1689847651000,5,4726007552445601109,1689847653033
1689847650000,1689847651000,6,4725949300448410556,1689847653033
1689847650000,1689847651000,8,4725518153633137854,1689847653033
1689847650000,1689847651000,9,4725527123319392635,1689847653033
1689847650000,1689847651000,10,4726019943299488882,1689847653033
1689847650000,1689847651000,11,4726098848858610074,1689847653033
1689847651000,1689847652000,1,4757893055157108736,1689847654049
1689847651000,1689847652000,3,4755568185897490842,1689847654049
1689847652000,1689847653000,3,4755568188669626747,1689847654049
1689847651000,1689847652000,4,4751158676269835757,1689847654049
1689847652000,1689847653000,4,4751158681522502466,1689847654049
1689847651000,1689847652000,5,4726007739530200860,1689847654049
1689847652000,1689847653000,5,4726007911768828587,1689847654049
1689847651000,1689847652000,6,4725949493149773672,1689847654049
1689847652000,1689847653000,6,4725949664148130171,1689847654049
1689847651000,1689847652000,8,4725518336705621743,1689847654049
1689847652000,1689847653000,8,4725518525369019657,1689847654049
1689847651000,1689847652000,9,4725527293952378652,1689847654049
