wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689855500000,1689855501000,1,4757899511877599232,1689855502674
1689855500000,1689855501000,3,4755571909487091166,1689855502674
1689855500000,1689855501000,4,4751165988559213909,1689855502674
1689855500000,1689855501000,5,4726246359354922325,1689855502674
1689855500000,1689855501000,6,4726182267302794581,1689855502674
1689855500000,1689855501000,8,4725748804249190400,1689855502674
1689855500000,1689855501000,9,4725761907366734507,1689855502674
1689855500000,1689855501000,10,4726248768518400683,1689855502674
1689855500000,1689855501000,11,4726325596501923157,1689855502674
1689855501000,1689855502000,1,4757899518952603648,1689855503684
1689855501000,1689855502000,3,4755571911818215424,1689855503684
1689855501000,1689855502000,4,4751165993361245374,1689855503684
1689855501000,1689855502000,5,4726246510700945105,1689855503684
1689855501000,1689855502000,6,4726182422374602069,1689855503684
1689855501000,1689855502000,8,4725748965553422943,1689855503684
1689855501000,1689855502000,9,4725762067269137446,1689855503684
1689855501000,1689855502000,10,4726248930378145489,1689855503684
1689855501000,1689855502000,11,4726325749772976128,1689855503684
1689855502000,1689855503000,1,4757899527229538304,1689855504696
1689855502000,1689855503000,3,4755571914349827413,1689855504696
1689855502000,1689855503000,4,4751165998733449747,1689855504696
1689855502000,1689855503000,5,4726246677570863711,1689855504696
1689855502000,1689855503000,6,4726182591884135993,1689855504696
1689855502000,1689855503000,8,4725749129828465474,1689855504696
1689855502000,1689855503000,9,4725762234616274641,1689855504696
1689855502000,1689855503000,10,4726249096079872759,1689855504696
1689855502000,1689855503000,11,4726325913043871213,1689855504696
1689855503000,1689855504000,1,4757899535538454528,1689855505706
1689855503000,1689855504000,3,4755571917411980023,1689855505706
1689855503000,1689855504000,4,4751166004872978735,1689855505706
1689855503000,1689855504000,5,4726246879374674299,1689855505706
1689855503000,1689855504000,6,4726182791301853639,1689855505706
1689855503000,1689855504000,8,4725749331853486763,1689855505706
1689855503000,1689855504000,9,4725762440424247448,1689855505706
1689855503000,1689855504000,10,4726249297970676319,1689855505706
1689855503000,1689855504000,11,4726326115757379736,1689855505706
1689855504000,1689855505000,1,4757899543215603712,1689855506718
1689855504000,1689855505000,3,4755571920379721956,1689855506718
1689855504000,1689855505000,4,4751166010741975116,1689855506718
1689855504000,1689855505000,5,4726247062837880908,1689855506718
1689855504000,1689855505000,6,4726182976405499145,1689855506718
1689855504000,1689855505000,8,4725749514083878684,1689855506718
1689855504000,1689855505000,9,4725762609633034240,1689855506718
1689855504000,1689855505000,10,4726249475535759436,1689855506718
1689855504000,1689855505000,11,4726326296695304647,1689855506718
1689855505000,1689855506000,1,4757899552016171008,1689855507730
1689855505000,1689855506000,3,4755571923057047173,1689855507730
1689855505000,1689855506000,4,4751166016186414725,1689855507730
1689855505000,1689855506000,5,4726247236495736832,1689855507730
1689855505000,1689855506000,6,4726183152441991471,1689855507730
1689855505000,1689855506000,8,4725749698347420634,1689855507730
1689855505000,1689855506000,9,4725762791580823279,1689855507730
1689855505000,1689855506000,10,4726249649875888811,1689855507730
1689855505000,1689855506000,11,4726326483426961484,1689855507730
1689855506000,1689855507000,1,4757899560442527744,1689855508745
1689855506000,1689855507000,3,4755571926261961463,1689855508745
1689855506000,1689855507000,4,4751166022433209154,1689855508745
1689855506000,1689855507000,5,4726247441508345325,1689855508745
1689855506000,1689855507000,6,4726183342246985728,1689855508745
1689855506000,1689855507000,8,4725749886077632512,1689855508745
1689855506000,1689855507000,9,4725762990070388053,1689855508745
1689855506000,1689855507000,10,4726249831540826415,1689855508745
1689855506000,1689855507000,11,4726326669136450901,1689855508745
1689855507000,1689855508000,1,4757899568729423872,1689855509758
1689855507000,1689855508000,3,4755571928853769481,1689855509758
1689855507000,1689855508000,4,4751166027624825439,1689855509758
1689855507000,1689855508000,5,4726247608065089233,1689855509758
1689855507000,1689855508000,6,4726183505934204321,1689855509758
1689855507000,1689855508000,8,4725750044721122873,1689855509758
1689855507000,1689855508000,9,4725763150465854729,1689855509758
1689855507000,1689855508000,10,4726250002069420866,1689855509758
1689855507000,1689855508000,11,4726326828756748060,1689855509758
1689855508000,1689855509000,1,4757899576842649600,1689855510770
1689855508000,1689855509000,3,4755571932042722114,1689855510770
1689855508000,1689855509000,4,4751166034022459468,1689855510770
1689855508000,1689855509000,5,4726247814859810892,1689855510770
1689855508000,1689855509000,6,4726183708337023659,1689855510770
1689855508000,1689855509000,8,4725750246507534867,1689855510770
1689855508000,1689855509000,9,4725763351881925215,1689855510770
1689855508000,1689855509000,10,4726250208797033662,1689855510770
1689855508000,1689855509000,11,4726327036602841922,1689855510770
1689855509000,1689855510000,1,4757899582811668480,1689855511787
1689855509000,1689855510000,3,4755571934778806424,1689855511787
1689855509000,1689855510000,4,4751166039394741513,1689855511787
1689855509000,1689855510000,5,4726247984598012056,1689855511787
1689855509000,1689855510000,6,4726183876648540084,1689855511787
1689855509000,1689855510000,8,4725750418654198594,1689855511787
1689855509000,1689855510000,9,4725763521289553086,1689855511787
1689855509000,1689855510000,10,4726250374864131413,1689855511787
1689855509000,1689855510000,11,4726327202389076651,1689855511787
1689855510000,1689855511000,1,4757899591648411648,1689855512801
1689855510000,1689855511000,3,4755571937632292409,1689855512801
1689855510000,1689855511000,4,4751166045308787826,1689855512801
1689855510000,1689855511000,5,4726248174468872420,1689855512801
1689855510000,1689855511000,6,4726184067617997407,1689855512801
1689855510000,1689855511000,8,4725750617582270085,1689855512801
1689855510000,1689855511000,9,4725763719951674633,1689855512801
1689855510000,1689855511000,10,4726250577585096476,1689855512801
1689855510000,1689855511000,11,4726327405398361278,1689855512801
1689855511000,1689855512000,1,4757899599284797440,1689855513815
1689855511000,1689855512000,3,4755571940630598391,1689855513815
1689855511000,1689855512000,4,4751166051194250733,1689855513815
1689855511000,1689855512000,5,4726248361076253582,1689855513815
1689855511000,1689855512000,6,4726184253377818472,1689855513815
1689855511000,1689855512000,8,4725750798706608507,1689855513815
1689855511000,1689855512000,9,4725763899728864749,1689855513815
1689855511000,1689855512000,10,4726250749880891013,1689855513815
1689855511000,1689855512000,11,4726327579466326926,1689855513815
1689855512000,1689855513000,1,4757899607887052800,1689855514829
1689855512000,1689855513000,3,4755571943417907579,1689855514829
1689855512000,1689855513000,4,4751166056392818688,1689855514829
1689855512000,1689855513000,5,4726248527189333333,1689855514829
