wrapped_network$start:INTEGER,wrapped_network$end:INTEGER,wrapped_network$node_id:INTEGER,wrapped_network$tBytes:INTEGER
1689862462000,1689862463000,3,4755576167278662997,1689862463870
1689862462000,1689862463000,4,4751174270447517696,1689862463998
1689862462000,1689862463000,10,4726511034818712917,1689862464040
1689862462000,1689862463000,11,4726580370511407787,1689862464042
1689862462000,1689862463000,6,4726443531198005248,1689862464051
1689862462000,1689862463000,9,4726020261880179371,1689862464082
1689862462000,1689862463000,8,4726007623402039979,1689862464083
1689862462000,1689862463000,5,4726509150714986496,1689862464122
1689862463000,1689862464000,5,4726509175343939584,1689862464610
1689862463000,1689862464000,3,4755576168130456235,1689862464886
1689862463000,1689862464000,4,4751174273078045355,1689862464985
1689862463000,1689862464000,6,4726443581596762112,1689862465024
1689862463000,1689862464000,11,4726580407700903253,1689862465034
1689862463000,1689862464000,10,4726511082421267115,1689862465063
1689862463000,1689862464000,8,4726007684057268224,1689862465070
1689862463000,1689862464000,9,4726020352275819179,1689862465090
1689862464000,1689862465000,5,4726509274117002581,1689862465635
1689862464000,1689862465000,3,4755576169731631787,1689862465927
1689862464000,1689862465000,4,4751174276477878272,1689862466022
1689862464000,1689862465000,11,4726580509370832213,1689862466057
1689862464000,1689862465000,6,4726443693601456128,1689862466068
1689862464000,1689862465000,10,4726511178700117333,1689862466076
1689862464000,1689862465000,8,4726007791990691157,1689862466103
1689862464000,1689862465000,9,4726020459739480064,1689862466107
1689862465000,1689862466000,9,4726020502644413781,1689862466612
1689862465000,1689862466000,8,4726007827614313131,1689862466637
1689862465000,1689862466000,5,4726509344189841408,1689862466652
1689862465000,1689862466000,3,4755576170881220608,1689862466935
1689862465000,1689862466000,4,4751174278675693568,1689862467063
1689862465000,1689862466000,10,4726511262463164416,1689862467080
1689862465000,1689862466000,11,4726580587015787861,1689862467097
1689862465000,1689862466000,6,4726443758160183296,1689862467108
1689862466000,1689862467000,8,4726007892486214997,1689862467628
1689862466000,1689862467000,9,4726020563937176235,1689862467644
1689862466000,1689862467000,5,4726509438052772523,1689862467674
1689862466000,1689862467000,3,4755576172407248213,1689862467959
1689862466000,1689862467000,4,4751174281626386432,1689862468056
1689862466000,1689862467000,10,4726511371872982357,1689862468069
1689862466000,1689862467000,6,4726443872838047061,1689862468112
1689862466000,1689862467000,11,4726580680364217685,1689862468136
1689862467000,1689862468000,9,4726020680874371755,1689862468661
1689862467000,1689862468000,8,4726008005765977429,1689862468677
1689862467000,1689862468000,5,4726509534443470848,1689862468686
1689862467000,1689862468000,3,4755576173507903488,1689862468992
1689862467000,1689862468000,4,4751174283672857259,1689862469100
1689862467000,1689862468000,10,4726511450468646912,1689862469101
1689862467000,1689862468000,6,4726443944051736576,1689862469139
1689862467000,1689862468000,11,4726580763545654613,1689862469152
1689862468000,1689862469000,10,4726511506079525547,1689862469607
1689862468000,1689862469000,11,4726580812825930411,1689862469628
1689862468000,1689862469000,6,4726444023173087232,1689862469662
1689862468000,1689862469000,9,4726020739661736619,1689862469692
1689862468000,1689862469000,8,4726008066074476544,1689862469697
1689862468000,1689862469000,5,4726509618038745771,1689862469727
1689862468000,1689862469000,3,4755576175019600555,1689862470050
1689862468000,1689862469000,4,4751174286742388736,1689862470150
1689862469000,1689862470000,10,4726511605109839189,1689862470636
1689862469000,1689862470000,4,4751174289775569579,1689862470642
1689862469000,1689862470000,6,4726444088257500501,1689862470644
1689862469000,1689862470000,11,4726580899608876373,1689862470667
1689862469000,1689862470000,8,4726008165026496512,1689862470711
1689862469000,1689862470000,9,4726020851521028096,1689862470728
1689862469000,1689862470000,5,4726509715402522624,1689862470735
1689862469000,1689862470000,3,4755576176526404267,1689862471000
1689862470000,1689862471000,10,4726511689622268587,1689862471637
1689862470000,1689862471000,11,4726580983215336107,1689862471685
1689862470000,1689862471000,6,4726444167725580288,1689862471702
1689862470000,1689862471000,4,4751174290878671531,1689862471706
1689862470000,1689862471000,8,4726008247156561237,1689862471731
1689862470000,1689862471000,9,4726020936726915755,1689862471737
1689862470000,1689862471000,5,4726509797129934165,1689862471755
1689862470000,1689862471000,3,4755576177733664768,1689862472044
1689862471000,1689862472000,6,4726444278992076800,1689862472642
1689862471000,1689862472000,10,4726511757290373120,1689862472651
1689862471000,1689862472000,11,4726581048870174720,1689862472695
1689862471000,1689862472000,4,4751174294549037056,1689862472740
1689862471000,1689862472000,9,4726021039347553621,1689862472746
1689862471000,1689862472000,5,4726509916717929813,1689862472766
1689862471000,1689862472000,8,4726008352897761280,1689862472773
1689862471000,1689862472000,3,4755576179416104960,1689862473064
1689862472000,1689862473000,10,4726511868467391147,1689862473676
1689862472000,1689862473000,6,4726444345921983829,1689862473683
1689862472000,1689862473000,11,4726581168905562795,1689862473734
1689862472000,1689862473000,8,4726008433898160128,1689862473770
1689862472000,1689862473000,4,4751174296834583211,1689862473785
1689862472000,1689862473000,9,4726021130559684608,1689862473808
1689862472000,1689862473000,5,4726509992550946133,1689862473810
1689862472000,1689862473000,3,4755576180283277312,1689862474077
1689862473000,1689862474000,10,4726511934345925973,1689862474675
1689862473000,1689862474000,6,4726444420435192491,1689862474686
1689862473000,1689862474000,11,4726581234739358379,1689862474708
1689862473000,1689862474000,9,4726021210721222656,1689862474775
1689862473000,1689862474000,4,4751174299424565931,1689862474778
1689862473000,1689862474000,8,4726008508232411819,1689862474787
1689862473000,1689862474000,5,4726510075944894464,1689862474804
1689862473000,1689862474000,3,4755576182120557227,1689862475092
1689862474000,1689862475000,11,4726581346341399211,1689862475706
1689862474000,1689862475000,10,4726512039729212075,1689862475731
1689862474000,1689862475000,6,4726444535840068949,1689862475744
1689862474000,1689862475000,4,4751174303064522752,1689862475762
1689862474000,1689862475000,9,4726021307682346325,1689862475798
1689862474000,1689862475000,8,4726008617821186731,1689862475808
1689862474000,1689862475000,5,4726510186942955520,1689862475841
1689862474000,1689862475000,3,4755576183296709973,1689862476113
1689862475000,1689862476000,3,4755576184169125205,1689862476650
1689862475000,1689862476000,10,4726512125516709888,1689862476744
1689862475000,1689862476000,6,4726444598631596032,1689862476757
1689862475000,1689862476000,11,4726581425037727061,1689862476771
1689862475000,1689862476000,4,4751174305444091221,1689862476816
1689862475000,1689862476000,9,4726021384700952576,1689862476826
1689862475000,1689862476000,5,4726510248616001536,1689862476859
1689862475000,1689862476000,8,4726008679561341611,1689862476871
1689862476000,1689862477000,3,4755576185603227648,1689862477637
1689862476000,1689862477000,11,4726581511418019840,1689862477750
1689862476000,1689862477000,10,4726512221683712000,1689862477755
1689862476000,1689862477000,6,4726444708175631701,1689862477760
1689862476000,1689862477000,9,4726021488853909504,1689862477839
1689862476000,1689862477000,4,4751174308593664000,1689862477864
1689862476000,1689862477000,5,4726510362980690603,1689862477865
1689862476000,1689862477000,8,4726008779766060373,1689862477884
1689862477000,1689862478000,3,4755576186978085547,1689862478649
1689862477000,1689862478000,6,4726444791793276245,1689862478776
1689862477000,1689862478000,10,4726512313511007573,1689862478782
1689862477000,1689862478000,11,4726581607618576384,1689862478787
1689862477000,1689862478000,9,4726021566431756288,1689862478827
1689862477000,1689862478000,8,4726008858842671787,1689862478863
1689862477000,1689862478000,5,4726510439249914539,1689862478889
1689862477000,1689862478000,4,4751174310862782464,1689862478926
1689862478000,1689862479000,3,4755576188537842347,1689862479665
1689862478000,1689862479000,6,4726444886808242859,1689862479777
1689862478000,1689862479000,10,4726512394175862101,1689862479788
1689862478000,1689862479000,11,4726581689099922091,1689862479803
1689862478000,1689862479000,9,4726021643495101781,1689862479857
1689862478000,1689862479000,5,4726510552641525077,1689862479910
1689862478000,1689862479000,8,4726008940693116245,1689862479920
1689862478000,1689862479000,4,4751174314412911275,1689862479931
1689862479000,1689862480000,3,4755576189962857131,1689862480677
1689862479000,1689862480000,6,4726444977304545963,1689862480812
1689862479000,1689862480000,10,4726512504033072469,1689862480821
1689862479000,1689862480000,11,4726581797536661504,1689862480832
